,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.332,0.331,0.097,0.097
1,0.332,0.332,0.098,0.098
2,0.33,0.332,0.098,0.098
3,0.333,0.332,0.099,0.098
4,0.333,0.332,0.099,0.099
5,0.333,0.333,0.099,0.1
6,0.329,0.332,0.102,0.1
7,0.333,0.33,0.1,0.1
8,0.329,0.329,0.1,0.1
9,0.327,0.329,0.1,0.1
10,0.329,0.329,0.101,0.101
11,0.331,0.328,0.102,0.102
12,0.326,0.328,0.103,0.102
13,0.325,0.326,0.102,0.103
14,0.327,0.326,0.103,0.102
15,0.326,0.326,0.103,0.101
16,0.325,0.326,0.098,0.1
17,0.325,0.324,0.099,0.099
18,0.325,0.324,0.1,0.099
19,0.321,0.323,0.1,0.1
20,0.324,0.324,0.101,0.101
21,0.325,0.324,0.101,0.101
22,0.326,0.325,0.102,0.1
23,0.324,0.32,0.096,0.103
24,0.325,0.331,0.096,0.092
25,0.328,0.346,0.096,0.076
26,0.379,0.352,0.041,0.073
27,0.352,0.346,0.062,0.066
28,0.316,0.334,0.088,0.048
29,0.312,0.313,0.026,0.04
30,0.315,0.309,0.001,0.025
31,0.307,0.31,0.036,0.021
32,0.309,0.307,0.04,0.042
33,0.301,0.302,0.061,0.061
34,0.299,0.297,0.073,0.069
35,0.294,0.295,0.079,0.079
36,0.293,0.298,0.081,0.086
37,0.304,0.301,0.095,0.094
38,0.309,0.304,0.105,0.1
39,0.302,0.305,0.108,0.11
40,0.302,0.302,0.106,0.113
41,0.303,0.301,0.124,0.112
42,0.301,0.304,0.103,0.106
43,0.308,0.307,0.099,0.102
44,0.311,0.309,0.095,0.098
45,0.31,0.309,0.105,0.1
46,0.306,0.307,0.103,0.101
47,0.305,0.306,0.099,0.103
48,0.306,0.319,0.104,0.087
49,0.309,0.285,0.109,0.13
50,0.303,0.266,0.114,0.17
51,0.166,0.261,0.292,0.184
52,0.312,0.273,0.155,0.178
53,0.319,0.296,0.108,0.153
54,0.317,0.327,0.121,0.103
55,0.303,0.308,0.117,0.108
56,0.3,0.301,0.103,0.112
57,0.298,0.297,0.107,0.107
58,0.296,0.295,0.115,0.108
59,0.293,0.293,0.103,0.11
60,0.291,0.293,0.116,0.111
61,0.296,0.297,0.105,0.109
62,0.303,0.3,0.115,0.111
63,0.306,0.305,0.106,0.112
64,0.301,0.306,0.117,0.117
65,0.309,0.302,0.121,0.117
66,0.298,0.297,0.117,0.117
67,0.287,0.294,0.11,0.112
68,0.292,0.293,0.109,0.109
69,0.301,0.297,0.108,0.107
70,0.303,0.302,0.109,0.11
71,0.301,0.303,0.111,0.115
72,0.304,0.302,0.124,0.118
73,0.298,0.301,0.119,0.118
74,0.301,0.299,0.113,0.114
75,0.297,0.296,0.107,0.109
76,0.295,0.3,0.106,0.108
77,0.3,0.301,0.112,0.11
78,0.311,0.303,0.111,0.113
79,0.298,0.304,0.114,0.112
80,0.303,0.303,0.109,0.106
81,0.305,0.302,0.099,0.102
82,0.303,0.304,0.095,0.098
83,0.305,0.306,0.102,0.098
84,0.305,0.307,0.097,0.099
85,0.31,0.305,0.101,0.101
86,0.303,0.303,0.1,0.102
87,0.298,0.302,0.101,0.1
88,0.304,0.304,0.098,0.093
89,0.309,0.309,0.08,0.085
90,0.314,0.308,0.074,0.075
91,0.306,0.306,0.065,0.06
92,0.295,0.304,0.048,0.039
93,0.311,0.306,0.027,0.039
94,0.308,0.309,0.025,0.052
95,0.317,0.312,0.106,0.069
96,0.306,0.311,0.085,0.083
97,0.311,0.312,0.073,0.088
98,0.315,0.312,0.081,0.08
99,0.314,0.315,0.09,0.088
100,0.312,0.313,0.097,0.097
101,0.316,0.312,0.103,0.102
102,0.308,0.314,0.103,0.103
103,0.319,0.317,0.103,0.103
104,0.323,0.32,0.101,0.103
105,0.324,0.325,0.103,0.103
106,0.326,0.327,0.104,0.102
107,0.33,0.328,0.102,0.102
108,0.33,0.33,0.099,0.101
109,0.329,0.33,0.101,0.1
110,0.332,0.329,0.101,0.101
111,0.325,0.328,0.103,0.102
112,0.328,0.329,0.102,0.102
113,0.329,0.328,0.102,0.103
114,0.332,0.329,0.105,0.104
115,0.326,0.33,0.104,0.105
116,0.332,0.331,0.105,0.104
117,0.333,0.33,0.103,0.103
118,0.329,0.33,0.102,0.103
119,0.326,0.329,0.104,0.103
120,0.33,0.328,0.104,0.103
121,0.33,0.33,0.101,0.102
122,0.329,0.33,0.099,0.1
123,0.33,0.328,0.1,0.098
124,0.326,0.326,0.098,0.098
125,0.321,0.324,0.096,0.098
126,0.325,0.324,0.099,0.097
127,0.324,0.324,0.097,0.098
128,0.329,0.326,0.099,0.1
129,0.323,0.327,0.103,0.1
130,0.33,0.328,0.1,0.101
131,0.328,0.328,0.1,0.1
132,0.329,0.331,0.099,0.101
133,0.331,0.33,0.103,0.101
134,0.333,0.329,0.102,0.102
135,0.325,0.33,0.1,0.101
136,0.331,0.332,0.099,0.1
137,0.337,0.334,0.097,0.097
138,0.336,0.337,0.095,0.094
