,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.331,0.331,0.101,0.101
1,0.334,0.333,0.102,0.102
2,0.335,0.334,0.102,0.103
3,0.333,0.335,0.103,0.103
4,0.336,0.334,0.104,0.103
5,0.334,0.334,0.102,0.103
6,0.333,0.334,0.103,0.103
7,0.335,0.333,0.102,0.103
8,0.333,0.333,0.104,0.104
9,0.333,0.334,0.103,0.103
10,0.334,0.334,0.103,0.102
11,0.335,0.335,0.099,0.101
12,0.334,0.334,0.101,0.1
13,0.335,0.334,0.101,0.101
14,0.331,0.333,0.101,0.102
15,0.333,0.333,0.103,0.101
16,0.332,0.332,0.101,0.102
17,0.334,0.332,0.101,0.102
18,0.33,0.332,0.103,0.1
19,0.333,0.333,0.098,0.1
20,0.336,0.334,0.099,0.1
21,0.334,0.336,0.101,0.1
22,0.336,0.336,0.103,0.103
23,0.336,0.333,0.102,0.103
24,0.331,0.33,0.102,0.101
25,0.322,0.326,0.096,0.097
26,0.326,0.326,0.091,0.091
27,0.326,0.325,0.077,0.074
28,0.327,0.325,0.06,0.052
29,0.318,0.319,0.025,0.035
30,0.317,0.315,0.021,0.029
31,0.303,0.31,0.04,0.034
32,0.315,0.309,0.051,0.047
33,0.304,0.305,0.056,0.056
34,0.305,0.303,0.057,0.062
35,0.294,0.299,0.07,0.067
36,0.303,0.303,0.077,0.073
37,0.309,0.308,0.075,0.081
38,0.316,0.314,0.084,0.083
39,0.316,0.315,0.094,0.087
40,0.313,0.315,0.082,0.091
41,0.313,0.312,0.097,0.095
42,0.312,0.311,0.097,0.096
43,0.306,0.311,0.104,0.097
44,0.315,0.311,0.088,0.097
45,0.312,0.311,0.094,0.097
46,0.309,0.313,0.108,0.094
47,0.313,0.312,0.09,0.099
48,0.317,0.313,0.096,0.102
49,0.308,0.313,0.113,0.106
50,0.315,0.311,0.113,0.111
51,0.31,0.311,0.112,0.112
52,0.31,0.313,0.104,0.11
53,0.315,0.311,0.114,0.113
54,0.312,0.312,0.116,0.112
55,0.305,0.31,0.113,0.111
56,0.314,0.308,0.099,0.106
57,0.303,0.305,0.104,0.101
58,0.304,0.303,0.099,0.097
59,0.297,0.301,0.094,0.098
60,0.307,0.303,0.096,0.102
61,0.309,0.313,0.098,0.084
62,0.319,0.323,0.09,0.073
63,0.341,0.327,0.022,0.071
64,0.321,0.327,0.099,0.079
65,0.319,0.321,0.105,0.094
66,0.313,0.313,0.109,0.112
67,0.312,0.309,0.101,0.104
68,0.305,0.307,0.098,0.101
69,0.303,0.307,0.1,0.096
70,0.311,0.305,0.093,0.092
71,0.307,0.307,0.087,0.088
72,0.304,0.309,0.085,0.09
73,0.315,0.311,0.096,0.097
74,0.314,0.313,0.112,0.109
75,0.316,0.316,0.114,0.117
76,0.313,0.316,0.122,0.114
77,0.32,0.318,0.106,0.108
78,0.32,0.321,0.086,0.089
79,0.323,0.32,0.089,0.078
80,0.32,0.317,0.053,0.077
81,0.312,0.32,0.101,0.088
82,0.321,0.322,0.098,0.099
83,0.333,0.324,0.115,0.109
84,0.324,0.325,0.102,0.098
85,0.318,0.322,0.092,0.105
86,0.32,0.317,0.092,0.105
87,0.319,0.319,0.137,0.103
88,0.32,0.323,0.085,0.095
89,0.333,0.333,0.067,0.078
90,0.339,0.339,0.062,0.056
91,0.351,0.341,0.05,0.045
92,0.331,0.339,0.044,0.046
93,0.332,0.333,0.035,0.056
94,0.333,0.328,0.088,0.069
95,0.324,0.329,0.088,0.08
96,0.332,0.33,0.076,0.089
97,0.332,0.332,0.087,0.088
98,0.338,0.337,0.1,0.094
99,0.337,0.338,0.099,0.101
100,0.34,0.339,0.103,0.102
101,0.336,0.338,0.1,0.102
102,0.339,0.339,0.104,0.104
103,0.338,0.339,0.105,0.104
104,0.342,0.339,0.106,0.105
105,0.338,0.339,0.104,0.105
106,0.336,0.338,0.104,0.105
107,0.339,0.336,0.106,0.104
108,0.334,0.336,0.103,0.104
109,0.336,0.337,0.102,0.103
110,0.339,0.336,0.102,0.101
111,0.337,0.337,0.101,0.1
112,0.335,0.337,0.098,0.1
113,0.338,0.337,0.1,0.101
114,0.338,0.338,0.103,0.101
115,0.337,0.338,0.103,0.102
116,0.339,0.338,0.101,0.103
117,0.336,0.337,0.102,0.102
118,0.337,0.336,0.102,0.1
119,0.334,0.335,0.098,0.099
120,0.335,0.335,0.097,0.098
121,0.334,0.335,0.099,0.099
122,0.337,0.335,0.101,0.101
123,0.336,0.335,0.103,0.102
124,0.331,0.335,0.102,0.102
125,0.335,0.334,0.1,0.103
126,0.335,0.333,0.105,0.103
127,0.333,0.335,0.103,0.103
128,0.334,0.334,0.101,0.101
129,0.337,0.333,0.098,0.098
130,0.331,0.334,0.095,0.097
131,0.331,0.333,0.099,0.097
132,0.337,0.333,0.1,0.1
133,0.333,0.334,0.1,0.102
134,0.332,0.334,0.105,0.103
135,0.333,0.332,0.104,0.103
136,0.334,0.331,0.101,0.103
137,0.329,0.33,0.1,0.103
138,0.329,0.329,0.105,0.103
