,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.315,0.316,0.101,0.1
1,0.318,0.316,0.098,0.099
2,0.316,0.315,0.097,0.098
3,0.313,0.316,0.099,0.098
4,0.317,0.316,0.099,0.099
5,0.317,0.317,0.099,0.099
6,0.319,0.317,0.099,0.099
7,0.316,0.317,0.098,0.098
8,0.314,0.316,0.098,0.098
9,0.319,0.314,0.099,0.099
10,0.311,0.313,0.099,0.099
11,0.312,0.314,0.101,0.1
12,0.313,0.314,0.098,0.099
13,0.32,0.316,0.099,0.098
14,0.314,0.316,0.095,0.096
15,0.315,0.315,0.096,0.096
16,0.313,0.315,0.095,0.095
17,0.317,0.316,0.097,0.096
18,0.319,0.317,0.094,0.096
19,0.316,0.317,0.096,0.095
20,0.316,0.316,0.096,0.095
21,0.315,0.315,0.093,0.095
22,0.316,0.317,0.095,0.095
23,0.318,0.317,0.094,0.093
24,0.319,0.317,0.092,0.092
25,0.313,0.317,0.087,0.09
26,0.319,0.315,0.088,0.087
27,0.315,0.316,0.081,0.077
28,0.31,0.313,0.062,0.059
29,0.318,0.308,0.037,0.039
30,0.296,0.305,0.021,0.029
31,0.302,0.304,0.03,0.03
32,0.306,0.301,0.048,0.045
33,0.302,0.3,0.059,0.061
34,0.294,0.297,0.077,0.07
35,0.293,0.297,0.074,0.078
36,0.304,0.3,0.079,0.083
37,0.304,0.305,0.09,0.084
38,0.309,0.307,0.086,0.086
39,0.305,0.304,0.084,0.088
40,0.3,0.301,0.092,0.093
41,0.296,0.295,0.099,0.097
42,0.294,0.293,0.107,0.099
43,0.288,0.293,0.091,0.1
44,0.298,0.294,0.099,0.102
45,0.298,0.298,0.111,0.103
46,0.3,0.302,0.106,0.107
47,0.304,0.302,0.103,0.104
48,0.304,0.303,0.101,0.1
49,0.299,0.303,0.1,0.102
50,0.302,0.3,0.105,0.107
51,0.301,0.298,0.116,0.113
52,0.293,0.299,0.118,0.116
53,0.301,0.3,0.116,0.116
54,0.307,0.303,0.112,0.114
55,0.303,0.305,0.112,0.113
56,0.305,0.304,0.116,0.113
57,0.302,0.303,0.113,0.112
58,0.301,0.3,0.11,0.111
59,0.299,0.297,0.109,0.111
60,0.292,0.295,0.112,0.113
61,0.295,0.295,0.119,0.112
62,0.297,0.297,0.109,0.112
63,0.301,0.298,0.108,0.113
64,0.296,0.296,0.117,0.113
65,0.29,0.292,0.118,0.114
66,0.29,0.289,0.109,0.115
67,0.286,0.288,0.112,0.112
68,0.295,0.291,0.115,0.111
69,0.29,0.294,0.106,0.11
70,0.301,0.298,0.109,0.108
71,0.301,0.301,0.105,0.106
72,0.303,0.304,0.108,0.107
73,0.304,0.304,0.104,0.106
74,0.303,0.303,0.108,0.105
75,0.304,0.302,0.103,0.103
76,0.301,0.304,0.099,0.102
77,0.303,0.304,0.101,0.1
78,0.311,0.305,0.103,0.102
79,0.301,0.304,0.102,0.106
80,0.305,0.306,0.11,0.107
81,0.306,0.309,0.109,0.106
82,0.319,0.314,0.101,0.103
83,0.316,0.314,0.096,0.096
84,0.309,0.313,0.093,0.092
85,0.31,0.309,0.086,0.09
86,0.311,0.31,0.089,0.087
87,0.309,0.314,0.084,0.083
88,0.319,0.315,0.073,0.071
89,0.315,0.31,0.058,0.051
90,0.305,0.308,0.036,0.048
91,0.298,0.306,0.039,0.055
92,0.315,0.306,0.092,0.067
93,0.31,0.309,0.079,0.078
94,0.306,0.313,0.072,0.082
95,0.317,0.314,0.077,0.079
96,0.319,0.318,0.092,0.086
97,0.32,0.32,0.091,0.092
98,0.318,0.319,0.093,0.094
99,0.316,0.318,0.095,0.094
100,0.318,0.315,0.095,0.096
101,0.315,0.314,0.097,0.097
102,0.31,0.314,0.097,0.098
103,0.316,0.313,0.098,0.098
104,0.315,0.314,0.098,0.097
105,0.312,0.314,0.095,0.096
106,0.315,0.314,0.094,0.095
107,0.315,0.316,0.095,0.094
108,0.317,0.315,0.095,0.095
109,0.315,0.315,0.094,0.095
110,0.311,0.315,0.097,0.095
111,0.318,0.315,0.095,0.097
112,0.316,0.315,0.099,0.098
113,0.314,0.315,0.1,0.098
114,0.312,0.312,0.098,0.099
115,0.314,0.312,0.098,0.099
116,0.309,0.313,0.101,0.1
117,0.318,0.315,0.101,0.1
118,0.316,0.316,0.099,0.1
119,0.318,0.318,0.097,0.097
120,0.318,0.317,0.098,0.096
121,0.318,0.318,0.092,0.095
122,0.317,0.319,0.096,0.094
123,0.32,0.32,0.095,0.094
124,0.322,0.32,0.093,0.095
125,0.319,0.32,0.095,0.094
126,0.319,0.32,0.095,0.094
127,0.321,0.319,0.094,0.095
128,0.32,0.319,0.095,0.095
129,0.316,0.319,0.098,0.096
130,0.321,0.32,0.096,0.098
131,0.323,0.322,0.099,0.098
132,0.324,0.324,0.098,0.098
133,0.322,0.323,0.097,0.098
134,0.323,0.322,0.098,0.098
135,0.32,0.321,0.1,0.098
136,0.321,0.32,0.097,0.098
137,0.319,0.32,0.099,0.098
138,0.321,0.32,0.097,0.097
