,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.33,0.331,0.106,0.106
1,0.332,0.331,0.106,0.106
2,0.331,0.331,0.107,0.107
3,0.329,0.331,0.107,0.107
4,0.332,0.331,0.107,0.107
5,0.331,0.331,0.107,0.107
6,0.332,0.331,0.107,0.107
7,0.33,0.331,0.108,0.108
8,0.332,0.331,0.108,0.108
9,0.332,0.332,0.107,0.108
10,0.333,0.333,0.108,0.108
11,0.334,0.333,0.108,0.108
12,0.332,0.333,0.108,0.108
13,0.332,0.332,0.107,0.107
14,0.332,0.332,0.107,0.106
15,0.331,0.331,0.103,0.104
16,0.332,0.332,0.103,0.104
17,0.332,0.333,0.105,0.104
18,0.334,0.334,0.104,0.105
19,0.334,0.333,0.106,0.106
20,0.333,0.333,0.106,0.105
21,0.331,0.333,0.106,0.104
22,0.335,0.333,0.1,0.103
23,0.334,0.333,0.102,0.102
24,0.332,0.334,0.101,0.1
25,0.334,0.334,0.1,0.1
26,0.335,0.335,0.095,0.098
27,0.335,0.335,0.094,0.09
28,0.334,0.334,0.081,0.08
29,0.329,0.329,0.058,0.062
30,0.328,0.326,0.048,0.038
31,0.317,0.322,0.014,0.021
32,0.324,0.321,0.004,0.012
33,0.319,0.32,0.022,0.014
34,0.321,0.318,0.024,0.028
35,0.312,0.311,0.043,0.04
36,0.306,0.31,0.049,0.047
37,0.31,0.312,0.054,0.056
38,0.322,0.319,0.06,0.061
39,0.325,0.323,0.069,0.068
40,0.325,0.324,0.072,0.073
41,0.317,0.32,0.08,0.077
42,0.319,0.317,0.077,0.08
43,0.313,0.314,0.08,0.079
44,0.316,0.316,0.083,0.08
45,0.317,0.319,0.077,0.083
46,0.326,0.324,0.09,0.087
47,0.326,0.325,0.091,0.092
48,0.324,0.322,0.097,0.096
49,0.314,0.316,0.098,0.097
50,0.31,0.311,0.096,0.099
51,0.309,0.307,0.099,0.098
52,0.305,0.306,0.101,0.099
53,0.306,0.306,0.096,0.1
54,0.307,0.309,0.102,0.1
55,0.314,0.314,0.101,0.101
56,0.319,0.315,0.099,0.101
57,0.314,0.314,0.102,0.099
58,0.309,0.31,0.096,0.096
59,0.307,0.308,0.094,0.095
60,0.308,0.308,0.093,0.096
61,0.313,0.311,0.099,0.099
62,0.31,0.313,0.105,0.1
63,0.32,0.317,0.099,0.101
64,0.316,0.321,0.097,0.1
65,0.325,0.32,0.101,0.1
66,0.319,0.315,0.104,0.1
67,0.303,0.311,0.1,0.102
68,0.305,0.305,0.098,0.101
69,0.308,0.304,0.106,0.1
70,0.302,0.305,0.096,0.098
71,0.306,0.306,0.097,0.096
72,0.306,0.306,0.09,0.092
73,0.309,0.306,0.094,0.095
74,0.304,0.304,0.095,0.098
75,0.301,0.304,0.104,0.097
76,0.305,0.305,0.096,0.095
77,0.311,0.309,0.083,0.092
78,0.312,0.313,0.095,0.091
79,0.317,0.316,0.091,0.092
80,0.315,0.316,0.097,0.093
81,0.319,0.316,0.088,0.091
82,0.312,0.314,0.087,0.09
83,0.313,0.314,0.089,0.084
84,0.314,0.314,0.078,0.079
85,0.318,0.315,0.067,0.069
86,0.318,0.321,0.061,0.057
87,0.322,0.327,0.045,0.048
88,0.339,0.33,0.038,0.04
89,0.333,0.33,0.041,0.031
90,0.322,0.329,0.034,0.042
91,0.325,0.326,0.042,0.06
92,0.333,0.329,0.102,0.078
93,0.332,0.333,0.096,0.094
94,0.334,0.334,0.091,0.1
95,0.332,0.332,0.095,0.095
96,0.332,0.332,0.099,0.097
97,0.331,0.331,0.099,0.099
98,0.331,0.332,0.099,0.098
99,0.334,0.333,0.098,0.098
100,0.335,0.334,0.096,0.098
101,0.333,0.334,0.101,0.099
102,0.333,0.333,0.1,0.1
103,0.335,0.334,0.099,0.101
104,0.333,0.334,0.103,0.101
105,0.336,0.335,0.101,0.103
106,0.333,0.335,0.106,0.104
107,0.337,0.336,0.104,0.104
108,0.336,0.335,0.102,0.104
109,0.334,0.335,0.105,0.103
110,0.335,0.335,0.101,0.103
111,0.335,0.335,0.105,0.104
112,0.335,0.335,0.103,0.104
113,0.336,0.336,0.106,0.105
114,0.336,0.336,0.105,0.105
115,0.336,0.336,0.104,0.106
116,0.337,0.336,0.107,0.106
117,0.335,0.336,0.107,0.106
118,0.336,0.335,0.104,0.104
119,0.333,0.333,0.101,0.103
120,0.333,0.332,0.102,0.101
121,0.33,0.331,0.101,0.099
122,0.332,0.332,0.098,0.098
123,0.332,0.332,0.095,0.097
124,0.333,0.333,0.1,0.099
125,0.332,0.333,0.101,0.102
126,0.335,0.334,0.105,0.104
127,0.332,0.333,0.104,0.104
128,0.335,0.334,0.103,0.103
129,0.332,0.334,0.102,0.103
130,0.337,0.334,0.104,0.104
131,0.332,0.334,0.107,0.105
132,0.333,0.334,0.105,0.106
133,0.335,0.334,0.105,0.105
134,0.334,0.335,0.105,0.105
135,0.335,0.335,0.104,0.104
136,0.335,0.335,0.104,0.104
137,0.333,0.335,0.103,0.103
138,0.336,0.335,0.102,0.102
