,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.356,0.357,0.102,0.102
1,0.358,0.357,0.102,0.102
2,0.358,0.357,0.102,0.103
3,0.356,0.357,0.103,0.103
4,0.356,0.356,0.104,0.103
5,0.357,0.356,0.102,0.102
6,0.356,0.356,0.101,0.101
7,0.357,0.356,0.098,0.099
8,0.354,0.356,0.098,0.098
9,0.358,0.356,0.098,0.098
10,0.356,0.356,0.098,0.098
11,0.356,0.357,0.099,0.099
12,0.358,0.357,0.099,0.099
13,0.359,0.358,0.1,0.1
14,0.358,0.359,0.101,0.101
15,0.359,0.358,0.102,0.102
16,0.357,0.357,0.102,0.102
17,0.355,0.356,0.103,0.103
18,0.354,0.355,0.103,0.103
19,0.356,0.355,0.103,0.104
20,0.355,0.356,0.103,0.103
21,0.356,0.356,0.104,0.102
22,0.357,0.355,0.099,0.101
23,0.353,0.354,0.1,0.101
24,0.353,0.354,0.101,0.1
25,0.352,0.352,0.098,0.099
26,0.355,0.354,0.092,0.092
27,0.35,0.352,0.082,0.078
28,0.354,0.349,0.059,0.056
29,0.34,0.343,0.032,0.032
30,0.339,0.341,0.01,0.019
31,0.335,0.338,0.018,0.02
32,0.345,0.335,0.039,0.032
33,0.326,0.331,0.046,0.045
34,0.322,0.326,0.055,0.055
35,0.326,0.322,0.059,0.063
36,0.321,0.324,0.074,0.073
37,0.329,0.329,0.081,0.08
38,0.331,0.332,0.088,0.085
39,0.341,0.335,0.085,0.088
40,0.33,0.333,0.087,0.088
41,0.329,0.331,0.093,0.089
42,0.33,0.331,0.088,0.092
43,0.334,0.334,0.095,0.094
44,0.336,0.333,0.097,0.093
45,0.33,0.33,0.092,0.095
46,0.323,0.326,0.094,0.096
47,0.324,0.325,0.099,0.098
48,0.327,0.327,0.103,0.102
49,0.332,0.33,0.104,0.104
50,0.331,0.332,0.105,0.106
51,0.335,0.334,0.106,0.106
52,0.333,0.335,0.107,0.107
53,0.337,0.336,0.105,0.104
54,0.337,0.335,0.103,0.101
55,0.331,0.334,0.092,0.097
56,0.334,0.332,0.098,0.094
57,0.329,0.33,0.09,0.092
58,0.331,0.331,0.092,0.091
59,0.33,0.331,0.09,0.088
60,0.336,0.334,0.087,0.091
61,0.335,0.336,0.094,0.095
62,0.338,0.339,0.104,0.099
63,0.342,0.342,0.101,0.103
64,0.345,0.343,0.103,0.103
65,0.343,0.342,0.105,0.105
66,0.337,0.339,0.107,0.11
67,0.334,0.336,0.115,0.112
68,0.336,0.335,0.115,0.112
69,0.335,0.334,0.107,0.111
70,0.334,0.335,0.108,0.107
71,0.334,0.335,0.105,0.103
72,0.338,0.337,0.098,0.101
73,0.337,0.337,0.1,0.101
74,0.338,0.336,0.102,0.101
75,0.331,0.333,0.104,0.102
76,0.33,0.329,0.097,0.097
77,0.328,0.327,0.095,0.095
78,0.326,0.329,0.089,0.095
79,0.334,0.332,0.101,0.096
80,0.337,0.335,0.103,0.099
81,0.338,0.341,0.093,0.103
82,0.342,0.344,0.107,0.102
83,0.349,0.341,0.103,0.098
84,0.337,0.338,0.091,0.094
85,0.324,0.333,0.084,0.091
86,0.333,0.325,0.092,0.089
87,0.323,0.322,0.093,0.085
88,0.314,0.318,0.075,0.08
89,0.317,0.315,0.064,0.069
90,0.316,0.319,0.061,0.054
91,0.327,0.328,0.044,0.035
92,0.338,0.336,0.019,0.028
93,0.345,0.343,0.018,0.039
94,0.344,0.347,0.075,0.06
95,0.347,0.347,0.096,0.084
96,0.347,0.345,0.089,0.097
97,0.342,0.343,0.093,0.095
98,0.339,0.341,0.096,0.094
99,0.342,0.34,0.096,0.097
100,0.34,0.34,0.097,0.097
101,0.34,0.341,0.098,0.097
102,0.34,0.341,0.097,0.099
103,0.344,0.341,0.1,0.099
104,0.34,0.343,0.101,0.1
105,0.343,0.344,0.099,0.101
106,0.348,0.344,0.103,0.102
107,0.342,0.345,0.103,0.103
108,0.344,0.345,0.103,0.103
109,0.346,0.344,0.102,0.102
110,0.345,0.345,0.099,0.102
111,0.344,0.345,0.103,0.1
112,0.345,0.346,0.1,0.1
113,0.349,0.346,0.097,0.1
114,0.346,0.347,0.102,0.099
115,0.345,0.346,0.1,0.1
116,0.347,0.345,0.099,0.101
117,0.344,0.345,0.103,0.101
118,0.344,0.346,0.1,0.102
119,0.348,0.346,0.104,0.103
120,0.347,0.347,0.102,0.102
121,0.347,0.347,0.102,0.103
122,0.345,0.347,0.102,0.102
123,0.348,0.346,0.103,0.102
124,0.346,0.346,0.101,0.102
125,0.344,0.347,0.101,0.102
126,0.348,0.346,0.104,0.102
127,0.348,0.347,0.102,0.104
128,0.346,0.348,0.105,0.104
129,0.348,0.346,0.105,0.104
130,0.345,0.346,0.103,0.105
131,0.344,0.345,0.106,0.104
132,0.347,0.346,0.105,0.105
133,0.347,0.347,0.103,0.105
134,0.35,0.348,0.105,0.103
135,0.346,0.349,0.104,0.103
136,0.351,0.35,0.101,0.103
137,0.351,0.35,0.105,0.104
138,0.349,0.35,0.105,0.105
