,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.309,0.309,0.097,0.097
1,0.312,0.311,0.098,0.098
2,0.312,0.313,0.099,0.098
3,0.315,0.314,0.098,0.098
4,0.312,0.313,0.098,0.099
5,0.313,0.312,0.099,0.099
6,0.311,0.312,0.1,0.098
7,0.312,0.312,0.094,0.096
8,0.312,0.311,0.094,0.095
9,0.313,0.313,0.095,0.095
10,0.311,0.314,0.096,0.095
11,0.317,0.314,0.096,0.096
12,0.315,0.314,0.095,0.096
13,0.312,0.314,0.098,0.097
14,0.312,0.312,0.098,0.098
15,0.313,0.313,0.1,0.1
16,0.313,0.313,0.1,0.1
17,0.315,0.313,0.1,0.1
18,0.311,0.313,0.101,0.101
19,0.313,0.313,0.101,0.101
20,0.315,0.313,0.102,0.102
21,0.311,0.314,0.101,0.102
22,0.315,0.314,0.102,0.101
23,0.313,0.313,0.097,0.098
24,0.314,0.313,0.095,0.095
25,0.31,0.313,0.09,0.092
26,0.315,0.312,0.088,0.088
27,0.312,0.312,0.079,0.078
28,0.31,0.314,0.064,0.054
29,0.312,0.309,0.03,0.031
30,0.309,0.302,0.001,0.019
31,0.289,0.297,0.029,0.024
32,0.288,0.294,0.047,0.045
33,0.301,0.292,0.072,0.069
34,0.295,0.293,0.083,0.081
35,0.284,0.288,0.087,0.089
36,0.283,0.281,0.093,0.095
37,0.276,0.278,0.098,0.098
38,0.281,0.28,0.104,0.099
39,0.282,0.284,0.094,0.099
40,0.289,0.289,0.097,0.099
41,0.293,0.289,0.102,0.1
42,0.287,0.288,0.104,0.102
43,0.282,0.286,0.103,0.103
44,0.286,0.285,0.1,0.106
45,0.288,0.285,0.112,0.107
46,0.282,0.285,0.112,0.111
47,0.283,0.284,0.108,0.114
48,0.284,0.282,0.12,0.113
49,0.284,0.283,0.109,0.11
50,0.28,0.284,0.105,0.106
51,0.285,0.284,0.1,0.101
52,0.287,0.282,0.101,0.1
53,0.28,0.281,0.101,0.101
54,0.274,0.279,0.1,0.101
55,0.282,0.28,0.102,0.099
56,0.286,0.287,0.098,0.101
57,0.293,0.294,0.098,0.103
58,0.299,0.294,0.114,0.104
59,0.292,0.291,0.101,0.107
60,0.281,0.284,0.106,0.105
61,0.278,0.279,0.104,0.1
62,0.279,0.278,0.098,0.101
63,0.281,0.281,0.099,0.103
64,0.283,0.283,0.109,0.107
65,0.285,0.284,0.116,0.112
66,0.285,0.284,0.112,0.116
67,0.281,0.285,0.116,0.119
68,0.287,0.287,0.122,0.117
69,0.292,0.289,0.12,0.114
70,0.29,0.29,0.103,0.113
71,0.289,0.291,0.11,0.111
72,0.292,0.293,0.121,0.113
73,0.296,0.295,0.114,0.117
74,0.299,0.297,0.119,0.119
75,0.296,0.296,0.117,0.121
76,0.294,0.294,0.128,0.123
77,0.29,0.292,0.121,0.121
78,0.29,0.288,0.116,0.119
79,0.288,0.287,0.113,0.11
80,0.282,0.288,0.107,0.106
81,0.292,0.288,0.098,0.105
82,0.29,0.288,0.109,0.107
83,0.286,0.29,0.113,0.109
84,0.286,0.285,0.112,0.11
85,0.285,0.279,0.102,0.112
86,0.27,0.274,0.112,0.111
87,0.271,0.273,0.117,0.104
88,0.281,0.284,0.091,0.099
89,0.298,0.3,0.078,0.085
90,0.323,0.312,0.08,0.069
91,0.314,0.315,0.05,0.045
92,0.308,0.308,0.034,0.034
93,0.298,0.301,0.006,0.038
94,0.295,0.301,0.076,0.056
95,0.31,0.302,0.091,0.076
96,0.305,0.306,0.08,0.093
97,0.305,0.307,0.09,0.09
98,0.306,0.306,0.096,0.093
99,0.307,0.306,0.095,0.098
100,0.307,0.307,0.101,0.099
101,0.307,0.308,0.1,0.1
102,0.311,0.309,0.1,0.101
103,0.309,0.31,0.101,0.1
104,0.311,0.311,0.101,0.1
105,0.313,0.311,0.099,0.1
106,0.311,0.311,0.101,0.101
107,0.31,0.311,0.1,0.1
108,0.31,0.31,0.103,0.101
109,0.31,0.31,0.097,0.099
110,0.309,0.31,0.1,0.098
111,0.31,0.309,0.096,0.099
112,0.31,0.309,0.101,0.1
113,0.308,0.309,0.102,0.1
114,0.31,0.309,0.1,0.102
115,0.308,0.309,0.1,0.1
116,0.311,0.309,0.1,0.097
117,0.307,0.308,0.094,0.098
118,0.307,0.308,0.097,0.098
119,0.308,0.307,0.103,0.099
120,0.309,0.308,0.1,0.1
121,0.306,0.308,0.097,0.1
122,0.31,0.31,0.101,0.099
123,0.312,0.311,0.099,0.1
124,0.314,0.313,0.101,0.101
125,0.313,0.314,0.1,0.1
126,0.314,0.313,0.1,0.099
127,0.313,0.312,0.099,0.099
128,0.31,0.312,0.096,0.098
129,0.313,0.312,0.1,0.098
130,0.313,0.312,0.098,0.098
131,0.311,0.313,0.097,0.098
132,0.314,0.314,0.097,0.097
133,0.315,0.314,0.098,0.098
134,0.315,0.315,0.1,0.099
135,0.314,0.314,0.1,0.099
136,0.312,0.314,0.098,0.099
137,0.313,0.314,0.096,0.097
138,0.315,0.314,0.096,0.095
