,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.319,0.319,0.094,0.095
1,0.321,0.32,0.094,0.093
2,0.32,0.321,0.094,0.092
3,0.322,0.322,0.089,0.091
4,0.324,0.323,0.088,0.09
5,0.321,0.322,0.091,0.089
6,0.323,0.322,0.09,0.09
7,0.32,0.321,0.09,0.091
8,0.322,0.322,0.091,0.091
9,0.322,0.321,0.092,0.092
10,0.321,0.322,0.092,0.092
11,0.321,0.321,0.092,0.092
12,0.323,0.321,0.092,0.092
13,0.32,0.321,0.091,0.092
14,0.321,0.322,0.092,0.09
15,0.321,0.322,0.089,0.09
16,0.325,0.322,0.088,0.089
17,0.321,0.323,0.09,0.089
18,0.324,0.324,0.089,0.09
19,0.326,0.324,0.09,0.091
20,0.324,0.324,0.092,0.091
21,0.323,0.325,0.09,0.09
22,0.324,0.324,0.089,0.089
23,0.327,0.323,0.087,0.089
24,0.321,0.324,0.089,0.088
25,0.321,0.323,0.088,0.088
26,0.325,0.321,0.082,0.084
27,0.318,0.32,0.079,0.075
28,0.315,0.313,0.057,0.053
29,0.307,0.307,0.035,0.033
30,0.297,0.303,0.005,0.021
31,0.306,0.301,0.028,0.024
32,0.303,0.302,0.043,0.039
33,0.301,0.304,0.057,0.06
34,0.305,0.302,0.072,0.069
35,0.302,0.303,0.078,0.075
36,0.301,0.302,0.073,0.079
37,0.304,0.302,0.079,0.079
38,0.299,0.303,0.086,0.078
39,0.305,0.302,0.074,0.081
40,0.301,0.301,0.08,0.081
41,0.298,0.301,0.088,0.084
42,0.301,0.3,0.087,0.089
43,0.3,0.299,0.092,0.09
44,0.3,0.298,0.09,0.092
45,0.292,0.296,0.094,0.095
46,0.296,0.296,0.097,0.093
47,0.297,0.296,0.094,0.095
48,0.301,0.3,0.089,0.096
49,0.298,0.302,0.104,0.098
50,0.306,0.302,0.101,0.1
51,0.3,0.3,0.1,0.102
52,0.297,0.299,0.1,0.101
53,0.298,0.297,0.1,0.1
54,0.299,0.3,0.102,0.098
55,0.302,0.303,0.094,0.097
56,0.308,0.305,0.096,0.098
57,0.305,0.308,0.1,0.097
58,0.309,0.308,0.101,0.101
59,0.306,0.304,0.098,0.105
60,0.302,0.303,0.11,0.103
61,0.298,0.302,0.105,0.101
62,0.308,0.304,0.09,0.1
63,0.306,0.306,0.099,0.098
64,0.307,0.308,0.102,0.098
65,0.307,0.305,0.101,0.1
66,0.304,0.305,0.094,0.099
67,0.303,0.305,0.101,0.101
68,0.308,0.306,0.105,0.101
69,0.308,0.308,0.104,0.102
70,0.309,0.309,0.094,0.103
71,0.308,0.307,0.108,0.104
72,0.303,0.303,0.111,0.106
73,0.299,0.3,0.102,0.106
74,0.298,0.3,0.1,0.099
75,0.303,0.299,0.097,0.096
76,0.302,0.302,0.093,0.097
77,0.3,0.306,0.101,0.1
78,0.313,0.309,0.102,0.1
79,0.314,0.313,0.102,0.101
80,0.312,0.312,0.092,0.096
81,0.311,0.31,0.097,0.092
82,0.304,0.309,0.086,0.088
83,0.314,0.31,0.088,0.091
84,0.307,0.309,0.09,0.093
85,0.31,0.307,0.101,0.093
86,0.301,0.302,0.09,0.089
87,0.3,0.304,0.077,0.084
88,0.304,0.306,0.078,0.078
89,0.316,0.308,0.079,0.074
90,0.308,0.308,0.068,0.071
91,0.299,0.307,0.058,0.057
92,0.309,0.303,0.049,0.033
93,0.306,0.305,0.012,0.028
94,0.301,0.309,0.017,0.039
95,0.316,0.311,0.083,0.058
96,0.318,0.316,0.087,0.08
97,0.315,0.318,0.081,0.091
98,0.319,0.316,0.084,0.087
99,0.314,0.316,0.093,0.088
100,0.317,0.318,0.09,0.091
101,0.319,0.317,0.089,0.091
102,0.318,0.317,0.091,0.089
103,0.314,0.317,0.091,0.09
104,0.316,0.316,0.088,0.091
105,0.318,0.316,0.094,0.092
106,0.316,0.317,0.093,0.093
107,0.317,0.317,0.094,0.094
108,0.318,0.317,0.092,0.094
109,0.317,0.318,0.097,0.094
110,0.32,0.32,0.091,0.093
111,0.322,0.321,0.093,0.092
112,0.322,0.321,0.091,0.09
113,0.321,0.321,0.088,0.089
114,0.318,0.32,0.086,0.088
115,0.321,0.318,0.09,0.088
116,0.317,0.319,0.091,0.09
117,0.318,0.319,0.088,0.09
118,0.322,0.319,0.091,0.09
119,0.319,0.32,0.088,0.091
120,0.32,0.32,0.094,0.091
121,0.319,0.32,0.091,0.091
122,0.321,0.32,0.089,0.092
123,0.321,0.32,0.092,0.09
124,0.319,0.319,0.092,0.091
125,0.318,0.318,0.088,0.091
126,0.316,0.318,0.092,0.091
127,0.321,0.318,0.092,0.091
128,0.316,0.318,0.091,0.093
129,0.319,0.318,0.094,0.094
130,0.315,0.317,0.095,0.095
131,0.319,0.317,0.096,0.095
132,0.317,0.317,0.094,0.094
133,0.318,0.318,0.093,0.093
134,0.319,0.319,0.09,0.093
135,0.32,0.32,0.095,0.093
136,0.321,0.321,0.095,0.094
137,0.322,0.322,0.095,0.094
138,0.324,0.324,0.094,0.095
