,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.336,0.337,0.105,0.105
1,0.34,0.337,0.104,0.105
2,0.337,0.338,0.105,0.105
3,0.338,0.338,0.106,0.105
4,0.339,0.339,0.104,0.105
5,0.339,0.34,0.105,0.105
6,0.342,0.341,0.106,0.105
7,0.341,0.342,0.105,0.106
8,0.342,0.341,0.106,0.106
9,0.341,0.34,0.106,0.105
10,0.339,0.34,0.105,0.106
11,0.34,0.341,0.106,0.106
12,0.342,0.341,0.108,0.107
13,0.342,0.341,0.107,0.107
14,0.34,0.341,0.106,0.105
15,0.339,0.34,0.103,0.104
16,0.343,0.341,0.102,0.103
17,0.338,0.34,0.104,0.103
18,0.342,0.34,0.103,0.104
19,0.336,0.337,0.106,0.104
20,0.338,0.337,0.104,0.105
21,0.334,0.337,0.104,0.105
22,0.34,0.339,0.105,0.103
23,0.342,0.339,0.099,0.1
24,0.336,0.337,0.095,0.096
25,0.332,0.333,0.091,0.092
26,0.33,0.33,0.082,0.082
27,0.328,0.326,0.073,0.065
28,0.324,0.324,0.041,0.041
29,0.315,0.318,0.018,0.025
30,0.319,0.315,0.015,0.023
31,0.306,0.313,0.039,0.034
32,0.318,0.312,0.057,0.05
33,0.309,0.308,0.06,0.063
34,0.305,0.308,0.067,0.07
35,0.304,0.306,0.08,0.078
36,0.311,0.309,0.086,0.087
37,0.315,0.313,0.095,0.091
38,0.312,0.314,0.091,0.092
39,0.315,0.313,0.086,0.09
40,0.311,0.311,0.093,0.09
41,0.309,0.31,0.089,0.092
42,0.307,0.308,0.096,0.094
43,0.311,0.31,0.094,0.094
44,0.312,0.314,0.095,0.095
45,0.319,0.32,0.097,0.099
46,0.325,0.321,0.105,0.107
47,0.322,0.32,0.117,0.115
48,0.312,0.316,0.121,0.118
49,0.313,0.314,0.118,0.117
50,0.315,0.314,0.108,0.115
51,0.316,0.314,0.116,0.111
52,0.312,0.311,0.114,0.111
53,0.305,0.307,0.107,0.115
54,0.306,0.309,0.12,0.118
55,0.312,0.313,0.124,0.123
56,0.325,0.317,0.126,0.123
57,0.314,0.319,0.121,0.118
58,0.316,0.315,0.107,0.115
59,0.311,0.309,0.114,0.106
60,0.306,0.309,0.12,0.125
61,0.304,0.306,0.116,0.14
62,0.315,0.307,0.193,0.148
63,0.3,0.308,0.128,0.145
64,0.31,0.308,0.129,0.134
65,0.308,0.306,0.116,0.118
66,0.308,0.309,0.122,0.124
67,0.308,0.311,0.132,0.122
68,0.313,0.312,0.119,0.12
69,0.315,0.31,0.11,0.118
70,0.305,0.307,0.119,0.118
71,0.299,0.304,0.124,0.12
72,0.306,0.301,0.12,0.117
73,0.303,0.304,0.109,0.11
74,0.305,0.31,0.101,0.108
75,0.314,0.312,0.108,0.109
76,0.32,0.313,0.121,0.11
77,0.308,0.314,0.108,0.11
78,0.312,0.313,0.101,0.109
79,0.317,0.314,0.11,0.109
80,0.319,0.319,0.117,0.113
81,0.32,0.321,0.115,0.113
82,0.323,0.322,0.105,0.108
83,0.323,0.322,0.101,0.101
84,0.32,0.322,0.1,0.099
85,0.322,0.322,0.095,0.1
86,0.324,0.323,0.102,0.099
87,0.322,0.323,0.098,0.095
88,0.323,0.321,0.087,0.088
89,0.318,0.321,0.073,0.076
90,0.32,0.32,0.065,0.064
91,0.321,0.314,0.053,0.046
92,0.314,0.316,0.036,0.033
93,0.306,0.32,0.02,0.04
94,0.337,0.323,0.055,0.057
95,0.329,0.326,0.101,0.077
96,0.319,0.327,0.086,0.093
97,0.325,0.325,0.087,0.095
98,0.329,0.327,0.097,0.092
99,0.333,0.331,0.096,0.095
100,0.329,0.331,0.095,0.096
101,0.331,0.331,0.093,0.095
102,0.33,0.331,0.097,0.096
103,0.333,0.333,0.096,0.095
104,0.335,0.335,0.096,0.096
105,0.336,0.336,0.092,0.095
106,0.337,0.335,0.098,0.095
107,0.334,0.335,0.096,0.097
108,0.332,0.335,0.099,0.099
109,0.337,0.335,0.101,0.099
110,0.337,0.335,0.097,0.1
111,0.334,0.335,0.101,0.101
112,0.334,0.335,0.103,0.101
113,0.336,0.335,0.101,0.101
114,0.337,0.337,0.098,0.1
115,0.336,0.336,0.101,0.1
116,0.335,0.334,0.1,0.1
117,0.33,0.332,0.1,0.1
118,0.332,0.331,0.099,0.1
119,0.332,0.331,0.102,0.101
120,0.331,0.332,0.102,0.102
121,0.331,0.331,0.104,0.104
122,0.335,0.332,0.104,0.104
123,0.328,0.332,0.105,0.103
124,0.335,0.334,0.101,0.102
125,0.335,0.334,0.1,0.103
126,0.336,0.335,0.104,0.103
127,0.332,0.333,0.107,0.104
128,0.332,0.332,0.102,0.104
129,0.333,0.333,0.102,0.103
130,0.333,0.333,0.102,0.102
131,0.336,0.334,0.104,0.102
132,0.333,0.335,0.099,0.101
133,0.337,0.336,0.102,0.101
134,0.337,0.336,0.1,0.1
135,0.335,0.336,0.1,0.1
136,0.335,0.337,0.099,0.099
137,0.337,0.337,0.098,0.098
138,0.338,0.337,0.097,0.097
