,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.347,0.346,0.106,0.106
1,0.343,0.345,0.107,0.107
2,0.344,0.345,0.107,0.107
3,0.346,0.344,0.107,0.107
4,0.345,0.345,0.107,0.107
5,0.344,0.345,0.108,0.107
6,0.345,0.345,0.107,0.107
7,0.346,0.345,0.107,0.107
8,0.343,0.344,0.107,0.108
9,0.345,0.345,0.109,0.108
10,0.345,0.345,0.109,0.109
11,0.348,0.346,0.108,0.109
12,0.344,0.345,0.109,0.109
13,0.345,0.345,0.109,0.109
14,0.343,0.343,0.109,0.11
15,0.344,0.344,0.11,0.109
16,0.343,0.344,0.109,0.108
17,0.347,0.345,0.106,0.107
18,0.343,0.344,0.106,0.106
19,0.344,0.344,0.106,0.106
20,0.344,0.343,0.107,0.108
21,0.344,0.345,0.108,0.107
22,0.344,0.344,0.108,0.106
23,0.345,0.343,0.102,0.105
24,0.34,0.343,0.103,0.103
25,0.343,0.342,0.102,0.1
26,0.342,0.342,0.096,0.098
27,0.341,0.341,0.087,0.089
28,0.34,0.338,0.083,0.074
29,0.332,0.335,0.048,0.048
30,0.331,0.329,0.024,0.026
31,0.328,0.325,0.001,0.014
32,0.317,0.324,0.025,0.017
33,0.325,0.322,0.03,0.027
34,0.323,0.319,0.036,0.038
35,0.316,0.316,0.046,0.047
36,0.309,0.313,0.056,0.058
37,0.313,0.315,0.072,0.066
38,0.324,0.321,0.07,0.071
39,0.328,0.326,0.069,0.072
40,0.325,0.327,0.073,0.072
41,0.324,0.323,0.075,0.075
42,0.32,0.321,0.079,0.078
43,0.317,0.319,0.079,0.078
44,0.319,0.316,0.079,0.079
45,0.315,0.315,0.078,0.083
46,0.311,0.314,0.09,0.088
47,0.317,0.315,0.093,0.088
48,0.315,0.317,0.086,0.086
49,0.323,0.32,0.077,0.082
50,0.318,0.322,0.079,0.081
51,0.324,0.322,0.087,0.082
52,0.323,0.319,0.085,0.083
53,0.313,0.317,0.078,0.082
54,0.313,0.314,0.081,0.083
55,0.317,0.314,0.086,0.087
56,0.315,0.315,0.093,0.089
57,0.317,0.318,0.087,0.083
58,0.318,0.324,0.074,0.079
59,0.335,0.328,0.069,0.077
60,0.335,0.333,0.088,0.077
61,0.33,0.337,0.081,0.078
62,0.338,0.335,0.075,0.084
63,0.337,0.335,0.081,0.084
64,0.33,0.333,0.101,0.087
65,0.332,0.33,0.083,0.09
66,0.329,0.332,0.084,0.089
67,0.335,0.335,0.093,0.088
68,0.339,0.335,0.089,0.09
69,0.335,0.333,0.092,0.09
70,0.327,0.332,0.086,0.09
71,0.33,0.332,0.092,0.089
72,0.338,0.332,0.091,0.09
73,0.332,0.334,0.089,0.095
74,0.33,0.332,0.101,0.097
75,0.332,0.328,0.101,0.098
76,0.323,0.326,0.094,0.097
77,0.325,0.326,0.092,0.091
78,0.327,0.328,0.087,0.087
79,0.334,0.332,0.085,0.086
80,0.333,0.332,0.083,0.086
81,0.331,0.331,0.091,0.085
82,0.328,0.33,0.083,0.086
83,0.33,0.331,0.081,0.086
84,0.334,0.331,0.09,0.082
85,0.333,0.334,0.077,0.079
86,0.333,0.337,0.071,0.074
87,0.341,0.337,0.066,0.066
88,0.338,0.337,0.06,0.059
89,0.331,0.334,0.048,0.045
90,0.331,0.327,0.033,0.029
91,0.325,0.327,0.013,0.017
92,0.322,0.329,0.017,0.026
93,0.341,0.332,0.045,0.05
94,0.333,0.336,0.092,0.076
95,0.336,0.337,0.097,0.092
96,0.336,0.334,0.088,0.098
97,0.335,0.335,0.094,0.095
98,0.334,0.336,0.101,0.097
99,0.337,0.335,0.1,0.101
100,0.338,0.336,0.1,0.103
101,0.333,0.337,0.106,0.103
102,0.339,0.338,0.105,0.105
103,0.34,0.339,0.103,0.105
104,0.34,0.34,0.106,0.104
105,0.339,0.338,0.104,0.104
106,0.335,0.336,0.102,0.104
107,0.335,0.335,0.105,0.104
108,0.335,0.336,0.104,0.104
109,0.339,0.337,0.105,0.105
110,0.337,0.338,0.103,0.105
111,0.337,0.338,0.109,0.106
112,0.339,0.338,0.106,0.108
113,0.338,0.339,0.109,0.109
114,0.34,0.34,0.108,0.106
115,0.339,0.339,0.105,0.106
116,0.339,0.338,0.102,0.104
117,0.334,0.336,0.105,0.103
118,0.336,0.335,0.103,0.103
119,0.335,0.335,0.101,0.102
120,0.334,0.335,0.103,0.102
121,0.337,0.336,0.101,0.102
122,0.334,0.336,0.105,0.104
123,0.34,0.337,0.104,0.106
124,0.336,0.337,0.108,0.107
125,0.337,0.339,0.107,0.106
126,0.341,0.339,0.104,0.106
127,0.341,0.34,0.105,0.105
128,0.338,0.339,0.107,0.105
129,0.338,0.338,0.105,0.106
130,0.338,0.338,0.107,0.107
131,0.339,0.338,0.107,0.106
132,0.338,0.337,0.107,0.107
133,0.336,0.337,0.106,0.108
134,0.336,0.337,0.11,0.109
135,0.339,0.337,0.111,0.11
136,0.336,0.337,0.11,0.11
137,0.339,0.338,0.11,0.11
138,0.338,0.339,0.109,0.109
