,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.353,0.352,0.1,0.1
1,0.35,0.352,0.1,0.1
2,0.352,0.351,0.101,0.101
3,0.352,0.351,0.101,0.101
4,0.35,0.352,0.102,0.101
5,0.353,0.352,0.101,0.102
6,0.353,0.353,0.102,0.102
7,0.352,0.353,0.103,0.103
8,0.354,0.353,0.103,0.103
9,0.352,0.352,0.104,0.104
10,0.351,0.352,0.103,0.104
11,0.352,0.352,0.104,0.103
12,0.354,0.352,0.103,0.103
13,0.351,0.352,0.102,0.102
14,0.352,0.353,0.103,0.101
15,0.353,0.353,0.099,0.101
16,0.357,0.354,0.101,0.1
17,0.352,0.355,0.101,0.101
18,0.354,0.355,0.101,0.102
19,0.356,0.354,0.103,0.102
20,0.354,0.355,0.102,0.103
21,0.354,0.354,0.103,0.104
22,0.352,0.352,0.104,0.103
23,0.351,0.351,0.103,0.102
24,0.349,0.351,0.097,0.1
25,0.352,0.35,0.097,0.097
26,0.35,0.35,0.095,0.095
27,0.348,0.349,0.09,0.092
28,0.349,0.347,0.084,0.081
29,0.343,0.344,0.067,0.059
30,0.343,0.342,0.031,0.035
31,0.336,0.34,0.009,0.016
32,0.343,0.338,0.01,0.012
33,0.335,0.336,0.025,0.022
34,0.331,0.336,0.039,0.037
35,0.337,0.331,0.048,0.049
36,0.33,0.328,0.058,0.058
37,0.321,0.326,0.063,0.063
38,0.325,0.325,0.068,0.065
39,0.33,0.329,0.066,0.068
40,0.333,0.334,0.068,0.072
41,0.336,0.333,0.081,0.076
42,0.331,0.33,0.079,0.078
43,0.321,0.326,0.077,0.08
44,0.324,0.323,0.078,0.079
45,0.324,0.322,0.084,0.08
46,0.321,0.322,0.078,0.082
47,0.318,0.32,0.086,0.085
48,0.32,0.319,0.086,0.086
49,0.318,0.316,0.089,0.086
50,0.315,0.315,0.082,0.086
51,0.311,0.315,0.083,0.084
52,0.32,0.317,0.09,0.084
53,0.323,0.322,0.079,0.085
54,0.325,0.327,0.088,0.086
55,0.331,0.331,0.086,0.085
56,0.334,0.333,0.085,0.085
57,0.333,0.331,0.081,0.083
58,0.328,0.329,0.081,0.08
59,0.326,0.33,0.083,0.081
60,0.333,0.333,0.077,0.082
61,0.341,0.336,0.089,0.084
62,0.337,0.339,0.082,0.084
63,0.337,0.338,0.086,0.084
64,0.338,0.338,0.081,0.083
65,0.338,0.338,0.086,0.088
66,0.338,0.336,0.093,0.092
67,0.331,0.333,0.098,0.093
68,0.329,0.329,0.091,0.092
69,0.326,0.326,0.085,0.09
70,0.325,0.325,0.092,0.09
71,0.327,0.328,0.093,0.091
72,0.331,0.332,0.094,0.093
73,0.338,0.334,0.087,0.094
74,0.334,0.334,0.1,0.093
75,0.333,0.337,0.096,0.096
76,0.336,0.338,0.091,0.101
77,0.347,0.339,0.107,0.099
78,0.338,0.342,0.101,0.096
79,0.34,0.344,0.086,0.094
80,0.35,0.345,0.088,0.09
81,0.346,0.346,0.093,0.086
82,0.344,0.343,0.085,0.086
83,0.335,0.337,0.076,0.082
84,0.333,0.334,0.082,0.077
85,0.334,0.332,0.075,0.076
86,0.332,0.333,0.073,0.077
87,0.333,0.334,0.078,0.076
88,0.336,0.336,0.076,0.073
89,0.34,0.338,0.067,0.065
90,0.34,0.34,0.05,0.053
91,0.341,0.343,0.039,0.039
92,0.345,0.345,0.033,0.027
93,0.349,0.347,0.024,0.034
94,0.346,0.347,0.041,0.052
95,0.348,0.348,0.09,0.071
96,0.346,0.347,0.09,0.086
97,0.35,0.347,0.082,0.093
98,0.344,0.348,0.09,0.09
99,0.351,0.349,0.098,0.093
100,0.349,0.349,0.096,0.098
101,0.35,0.351,0.099,0.1
102,0.349,0.35,0.101,0.1
103,0.353,0.351,0.1,0.1
104,0.35,0.351,0.099,0.1
105,0.352,0.351,0.1,0.1
106,0.347,0.349,0.1,0.1
107,0.351,0.349,0.101,0.101
108,0.347,0.349,0.102,0.102
109,0.35,0.348,0.103,0.103
110,0.349,0.348,0.103,0.104
111,0.345,0.349,0.104,0.103
112,0.351,0.35,0.104,0.103
113,0.353,0.35,0.1,0.103
114,0.351,0.351,0.103,0.101
115,0.348,0.351,0.102,0.101
116,0.352,0.35,0.099,0.101
117,0.352,0.351,0.102,0.1
118,0.351,0.352,0.1,0.101
119,0.353,0.352,0.102,0.102
120,0.352,0.352,0.102,0.101
121,0.352,0.352,0.101,0.101
122,0.352,0.353,0.1,0.101
123,0.355,0.354,0.102,0.101
124,0.354,0.353,0.101,0.101
125,0.354,0.353,0.099,0.101
126,0.349,0.352,0.102,0.1
127,0.354,0.351,0.1,0.101
128,0.35,0.35,0.103,0.102
129,0.349,0.351,0.103,0.102
130,0.351,0.35,0.102,0.104
131,0.35,0.351,0.104,0.103
132,0.351,0.351,0.104,0.103
133,0.351,0.35,0.101,0.101
134,0.349,0.35,0.1,0.1
135,0.351,0.351,0.098,0.1
136,0.351,0.352,0.103,0.101
137,0.355,0.353,0.103,0.102
138,0.354,0.355,0.102,0.103
