,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.33,0.328,0.099,0.099
1,0.324,0.328,0.098,0.099
2,0.329,0.328,0.099,0.099
3,0.325,0.328,0.099,0.099
4,0.332,0.329,0.1,0.099
5,0.328,0.329,0.098,0.099
6,0.327,0.329,0.1,0.099
7,0.329,0.327,0.099,0.099
8,0.327,0.328,0.099,0.099
9,0.328,0.328,0.098,0.098
10,0.329,0.328,0.099,0.097
11,0.328,0.328,0.094,0.096
12,0.327,0.328,0.095,0.095
13,0.329,0.328,0.096,0.095
14,0.328,0.329,0.095,0.096
15,0.331,0.33,0.097,0.097
16,0.33,0.33,0.098,0.098
17,0.328,0.328,0.097,0.098
18,0.328,0.327,0.099,0.096
19,0.325,0.328,0.093,0.095
20,0.331,0.33,0.094,0.094
21,0.334,0.331,0.095,0.095
22,0.331,0.332,0.096,0.097
23,0.331,0.332,0.097,0.096
24,0.331,0.331,0.096,0.096
25,0.331,0.33,0.089,0.09
26,0.329,0.329,0.085,0.083
27,0.324,0.325,0.066,0.065
28,0.322,0.319,0.053,0.044
29,0.312,0.314,0.013,0.026
30,0.308,0.312,0.019,0.023
31,0.315,0.312,0.032,0.03
32,0.312,0.313,0.053,0.046
33,0.314,0.312,0.055,0.058
34,0.307,0.308,0.066,0.069
35,0.306,0.306,0.079,0.076
36,0.302,0.304,0.086,0.082
37,0.311,0.309,0.08,0.086
38,0.309,0.313,0.088,0.086
39,0.321,0.314,0.089,0.087
40,0.311,0.311,0.087,0.089
41,0.305,0.31,0.089,0.088
42,0.306,0.307,0.089,0.089
43,0.314,0.31,0.092,0.091
44,0.312,0.313,0.094,0.097
45,0.313,0.314,0.101,0.101
46,0.317,0.315,0.109,0.101
47,0.313,0.315,0.096,0.101
48,0.315,0.314,0.095,0.098
49,0.31,0.311,0.099,0.095
50,0.309,0.307,0.095,0.097
51,0.302,0.302,0.096,0.098
52,0.299,0.3,0.1,0.097
53,0.299,0.302,0.099,0.098
54,0.305,0.305,0.09,0.094
55,0.314,0.309,0.097,0.093
56,0.307,0.31,0.087,0.094
57,0.308,0.307,0.102,0.095
58,0.306,0.303,0.093,0.094
59,0.299,0.304,0.092,0.094
60,0.304,0.304,0.092,0.092
61,0.309,0.306,0.096,0.094
62,0.308,0.31,0.095,0.095
63,0.308,0.311,0.095,0.097
64,0.314,0.307,0.099,0.098
65,0.303,0.303,0.101,0.1
66,0.294,0.299,0.099,0.1
67,0.299,0.3,0.099,0.098
68,0.306,0.304,0.098,0.101
69,0.314,0.309,0.102,0.104
70,0.307,0.311,0.113,0.105
71,0.312,0.313,0.102,0.104
72,0.314,0.314,0.1,0.105
73,0.32,0.315,0.105,0.106
74,0.31,0.312,0.113,0.105
75,0.307,0.309,0.102,0.099
76,0.308,0.306,0.084,0.093
77,0.306,0.309,0.088,0.091
78,0.312,0.311,0.101,0.095
79,0.316,0.314,0.103,0.1
80,0.316,0.317,0.097,0.101
81,0.317,0.316,0.097,0.097
82,0.315,0.315,0.099,0.095
83,0.313,0.313,0.09,0.094
84,0.313,0.313,0.094,0.094
85,0.312,0.312,0.094,0.094
86,0.316,0.314,0.096,0.093
87,0.312,0.317,0.088,0.088
88,0.323,0.32,0.08,0.081
89,0.322,0.32,0.073,0.074
90,0.322,0.325,0.066,0.065
91,0.322,0.325,0.057,0.052
92,0.333,0.326,0.041,0.039
93,0.322,0.326,0.032,0.044
94,0.325,0.327,0.049,0.058
95,0.328,0.326,0.096,0.074
96,0.329,0.329,0.086,0.088
97,0.329,0.329,0.081,0.092
98,0.328,0.328,0.095,0.091
99,0.327,0.328,0.097,0.097
100,0.329,0.328,0.101,0.1
101,0.327,0.327,0.1,0.1
102,0.327,0.327,0.097,0.101
103,0.325,0.327,0.103,0.099
104,0.329,0.327,0.099,0.099
105,0.327,0.328,0.094,0.097
106,0.329,0.33,0.097,0.095
107,0.33,0.33,0.094,0.096
108,0.332,0.331,0.098,0.097
109,0.329,0.33,0.099,0.097
110,0.329,0.329,0.095,0.098
111,0.327,0.328,0.098,0.096
112,0.33,0.329,0.096,0.096
113,0.328,0.329,0.095,0.096
114,0.329,0.329,0.097,0.096
115,0.327,0.327,0.095,0.096
116,0.327,0.327,0.099,0.098
117,0.325,0.326,0.097,0.099
118,0.326,0.325,0.101,0.099
119,0.324,0.325,0.1,0.1
120,0.325,0.326,0.098,0.1
121,0.329,0.326,0.101,0.1
122,0.327,0.327,0.1,0.1
123,0.324,0.326,0.1,0.1
124,0.326,0.324,0.099,0.099
125,0.323,0.324,0.097,0.098
126,0.324,0.324,0.097,0.097
127,0.325,0.325,0.097,0.097
128,0.325,0.326,0.097,0.097
129,0.327,0.326,0.097,0.097
130,0.325,0.326,0.097,0.097
131,0.326,0.326,0.097,0.097
132,0.326,0.326,0.097,0.097
133,0.326,0.326,0.096,0.097
134,0.327,0.326,0.098,0.097
135,0.324,0.325,0.098,0.097
136,0.327,0.325,0.097,0.098
137,0.323,0.325,0.097,0.098
138,0.326,0.325,0.098,0.098
