,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.375,0.375,0.102,0.101
1,0.376,0.374,0.101,0.101
2,0.372,0.373,0.1,0.101
3,0.369,0.372,0.101,0.101
4,0.375,0.372,0.1,0.1
5,0.374,0.373,0.1,0.099
6,0.372,0.374,0.097,0.098
7,0.372,0.373,0.096,0.097
8,0.375,0.373,0.097,0.097
9,0.372,0.373,0.098,0.097
10,0.374,0.374,0.098,0.099
11,0.375,0.375,0.099,0.099
12,0.377,0.377,0.101,0.1
13,0.378,0.376,0.099,0.1
14,0.373,0.375,0.101,0.1
15,0.373,0.373,0.101,0.101
16,0.373,0.373,0.1,0.101
17,0.373,0.372,0.101,0.1
18,0.373,0.372,0.098,0.099
19,0.368,0.372,0.098,0.098
20,0.375,0.372,0.098,0.099
21,0.374,0.373,0.101,0.1
22,0.371,0.373,0.102,0.101
23,0.373,0.371,0.101,0.102
24,0.369,0.371,0.101,0.1
25,0.371,0.371,0.099,0.098
26,0.375,0.372,0.093,0.096
27,0.37,0.373,0.09,0.09
28,0.374,0.371,0.082,0.078
29,0.367,0.366,0.062,0.059
30,0.36,0.362,0.036,0.037
31,0.355,0.358,0.016,0.022
32,0.36,0.355,0.017,0.022
33,0.354,0.354,0.034,0.03
34,0.346,0.349,0.049,0.043
35,0.347,0.342,0.048,0.053
36,0.336,0.339,0.063,0.062
37,0.336,0.339,0.07,0.071
38,0.341,0.34,0.082,0.078
39,0.346,0.344,0.081,0.081
40,0.345,0.345,0.08,0.084
41,0.344,0.344,0.087,0.088
42,0.34,0.34,0.095,0.094
43,0.338,0.337,0.101,0.097
44,0.333,0.337,0.095,0.096
45,0.339,0.338,0.092,0.097
46,0.343,0.342,0.098,0.097
47,0.343,0.344,0.106,0.101
48,0.348,0.346,0.099,0.104
49,0.342,0.345,0.105,0.104
50,0.347,0.342,0.103,0.102
51,0.336,0.339,0.102,0.101
52,0.335,0.338,0.097,0.098
53,0.341,0.339,0.094,0.096
54,0.341,0.34,0.097,0.095
55,0.34,0.337,0.094,0.094
56,0.328,0.33,0.094,0.094
57,0.327,0.329,0.093,0.096
58,0.326,0.329,0.098,0.099
59,0.343,0.335,0.103,0.095
60,0.334,0.34,0.093,0.092
61,0.347,0.346,0.08,0.092
62,0.349,0.349,0.097,0.096
63,0.354,0.353,0.111,0.101
64,0.352,0.348,0.103,0.103
65,0.344,0.344,0.091,0.096
66,0.334,0.34,0.09,0.09
67,0.346,0.341,0.088,0.088
68,0.346,0.35,0.093,0.091
69,0.358,0.361,0.093,0.099
70,0.371,0.364,0.109,0.106
71,0.365,0.362,0.116,0.109
72,0.349,0.354,0.103,0.109
73,0.344,0.347,0.106,0.107
74,0.347,0.344,0.108,0.107
75,0.347,0.345,0.11,0.109
76,0.345,0.348,0.107,0.107
77,0.351,0.354,0.104,0.106
78,0.36,0.357,0.101,0.102
79,0.362,0.356,0.102,0.098
80,0.347,0.351,0.089,0.091
81,0.342,0.344,0.089,0.089
82,0.342,0.341,0.084,0.091
83,0.342,0.343,0.098,0.093
84,0.352,0.349,0.097,0.089
85,0.351,0.357,0.077,0.081
86,0.369,0.365,0.067,0.074
87,0.367,0.364,0.067,0.071
88,0.362,0.358,0.078,0.064
89,0.341,0.347,0.055,0.054
90,0.342,0.344,0.03,0.039
91,0.346,0.35,0.032,0.028
92,0.365,0.361,0.031,0.04
93,0.373,0.366,0.056,0.06
94,0.362,0.367,0.092,0.075
95,0.362,0.364,0.084,0.084
96,0.365,0.363,0.076,0.086
97,0.363,0.365,0.086,0.085
98,0.368,0.365,0.094,0.089
99,0.365,0.364,0.093,0.094
100,0.361,0.364,0.091,0.095
101,0.364,0.363,0.099,0.096
102,0.365,0.365,0.099,0.098
103,0.367,0.367,0.097,0.099
104,0.371,0.369,0.099,0.098
105,0.366,0.368,0.098,0.098
106,0.369,0.367,0.096,0.099
107,0.364,0.366,0.101,0.099
108,0.368,0.367,0.101,0.1
109,0.369,0.369,0.098,0.1
110,0.37,0.37,0.099,0.099
111,0.371,0.37,0.099,0.1
112,0.368,0.37,0.101,0.1
113,0.371,0.369,0.101,0.1
114,0.368,0.369,0.098,0.1
115,0.371,0.371,0.102,0.1
116,0.372,0.371,0.099,0.1
117,0.374,0.372,0.101,0.1
118,0.37,0.372,0.1,0.099
119,0.373,0.372,0.098,0.099
120,0.372,0.372,0.098,0.098
121,0.373,0.372,0.099,0.099
122,0.369,0.372,0.099,0.1
123,0.373,0.372,0.101,0.1
124,0.374,0.373,0.099,0.099
125,0.373,0.373,0.098,0.098
126,0.372,0.373,0.096,0.097
127,0.372,0.374,0.098,0.097
128,0.375,0.373,0.099,0.098
129,0.375,0.373,0.098,0.1
130,0.369,0.372,0.102,0.1
131,0.371,0.372,0.1,0.101
132,0.375,0.373,0.101,0.101
133,0.374,0.375,0.1,0.1
134,0.375,0.375,0.1,0.1
135,0.375,0.374,0.099,0.098
136,0.371,0.374,0.097,0.098
137,0.375,0.374,0.096,0.098
138,0.375,0.375,0.101,0.099
