,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.344,0.345,0.1,0.1
1,0.344,0.345,0.1,0.1
2,0.35,0.346,0.101,0.101
3,0.344,0.346,0.102,0.101
4,0.345,0.345,0.101,0.101
5,0.343,0.344,0.101,0.101
6,0.346,0.345,0.102,0.101
7,0.347,0.346,0.102,0.102
8,0.345,0.346,0.102,0.102
9,0.347,0.346,0.103,0.103
10,0.345,0.346,0.103,0.103
11,0.348,0.347,0.104,0.103
12,0.345,0.347,0.103,0.104
13,0.35,0.347,0.103,0.103
14,0.345,0.346,0.103,0.102
15,0.345,0.346,0.099,0.101
16,0.345,0.345,0.102,0.1
17,0.349,0.346,0.099,0.1
18,0.344,0.347,0.102,0.101
19,0.348,0.347,0.101,0.102
20,0.348,0.347,0.103,0.103
21,0.346,0.348,0.102,0.102
22,0.348,0.347,0.101,0.101
23,0.346,0.345,0.098,0.099
24,0.344,0.345,0.097,0.097
25,0.342,0.344,0.09,0.093
26,0.345,0.342,0.085,0.082
27,0.339,0.34,0.067,0.057
28,0.336,0.336,0.031,0.035
29,0.331,0.329,0.006,0.02
30,0.32,0.323,0.027,0.02
31,0.318,0.318,0.036,0.035
32,0.315,0.314,0.051,0.051
33,0.311,0.311,0.063,0.061
34,0.307,0.306,0.068,0.072
35,0.303,0.305,0.081,0.08
36,0.305,0.308,0.089,0.086
37,0.317,0.315,0.087,0.089
38,0.323,0.323,0.089,0.09
39,0.329,0.328,0.089,0.091
40,0.327,0.326,0.095,0.09
41,0.322,0.322,0.087,0.089
42,0.315,0.315,0.085,0.089
43,0.312,0.315,0.089,0.086
44,0.315,0.317,0.089,0.084
45,0.326,0.32,0.076,0.082
46,0.321,0.324,0.079,0.081
47,0.325,0.326,0.083,0.08
48,0.327,0.326,0.085,0.079
49,0.329,0.327,0.071,0.077
50,0.323,0.326,0.074,0.075
51,0.325,0.326,0.079,0.077
52,0.326,0.326,0.08,0.08
53,0.329,0.326,0.082,0.079
54,0.325,0.326,0.076,0.079
55,0.323,0.327,0.077,0.079
56,0.331,0.327,0.084,0.08
57,0.331,0.33,0.081,0.082
58,0.329,0.333,0.081,0.083
59,0.335,0.332,0.083,0.08
60,0.334,0.334,0.082,0.082
61,0.332,0.334,0.08,0.088
62,0.335,0.332,0.098,0.093
63,0.33,0.33,0.105,0.098
64,0.328,0.329,0.092,0.099
65,0.328,0.329,0.097,0.098
66,0.33,0.33,0.097,0.093
67,0.332,0.331,0.096,0.093
68,0.33,0.331,0.083,0.093
69,0.33,0.328,0.097,0.095
70,0.323,0.323,0.103,0.096
71,0.318,0.321,0.094,0.095
72,0.32,0.319,0.086,0.089
73,0.323,0.322,0.085,0.087
74,0.325,0.327,0.09,0.092
75,0.333,0.331,0.1,0.095
76,0.335,0.334,0.097,0.092
77,0.335,0.335,0.085,0.088
78,0.332,0.332,0.078,0.085
79,0.329,0.329,0.091,0.087
80,0.329,0.329,0.092,0.09
81,0.328,0.33,0.093,0.09
82,0.336,0.334,0.083,0.089
83,0.334,0.335,0.09,0.09
84,0.338,0.335,0.094,0.09
85,0.33,0.335,0.09,0.091
86,0.336,0.338,0.087,0.09
87,0.339,0.335,0.088,0.086
88,0.337,0.331,0.087,0.084
89,0.316,0.323,0.075,0.081
90,0.32,0.32,0.08,0.077
91,0.318,0.32,0.069,0.069
92,0.33,0.323,0.057,0.045
93,0.325,0.33,0.033,0.034
94,0.331,0.336,0.004,0.043
95,0.348,0.338,0.088,0.062
96,0.338,0.341,0.098,0.082
97,0.338,0.341,0.086,0.098
98,0.339,0.337,0.085,0.092
99,0.338,0.338,0.1,0.093
100,0.335,0.338,0.098,0.098
101,0.34,0.338,0.099,0.099
102,0.339,0.34,0.098,0.098
103,0.341,0.341,0.096,0.097
104,0.343,0.341,0.099,0.096
105,0.338,0.34,0.093,0.097
106,0.34,0.338,0.098,0.096
107,0.336,0.338,0.096,0.095
108,0.339,0.339,0.093,0.096
109,0.34,0.339,0.097,0.096
110,0.34,0.34,0.097,0.097
111,0.339,0.341,0.099,0.098
112,0.344,0.342,0.098,0.099
113,0.341,0.342,0.1,0.1
114,0.344,0.342,0.1,0.1
115,0.341,0.343,0.1,0.1
116,0.342,0.343,0.098,0.1
117,0.345,0.342,0.1,0.099
118,0.34,0.341,0.1,0.099
119,0.338,0.34,0.097,0.099
120,0.338,0.339,0.1,0.099
121,0.342,0.339,0.099,0.1
122,0.339,0.341,0.102,0.101
123,0.342,0.342,0.102,0.102
124,0.344,0.342,0.101,0.103
125,0.342,0.342,0.103,0.102
126,0.34,0.342,0.103,0.102
127,0.343,0.342,0.099,0.1
128,0.344,0.343,0.098,0.098
129,0.344,0.344,0.096,0.098
130,0.343,0.344,0.099,0.099
131,0.345,0.344,0.101,0.1
132,0.345,0.344,0.1,0.1
133,0.342,0.343,0.098,0.098
134,0.342,0.343,0.096,0.097
135,0.343,0.342,0.097,0.097
136,0.344,0.343,0.098,0.097
137,0.343,0.344,0.097,0.097
138,0.347,0.347,0.096,0.097
