,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.345,0.345,0.096,0.095
1,0.343,0.344,0.093,0.094
2,0.346,0.344,0.093,0.093
3,0.345,0.345,0.093,0.093
4,0.346,0.347,0.094,0.093
5,0.346,0.347,0.093,0.093
6,0.351,0.347,0.093,0.093
7,0.346,0.347,0.093,0.093
8,0.344,0.346,0.094,0.094
9,0.346,0.345,0.095,0.094
10,0.346,0.345,0.094,0.095
11,0.345,0.345,0.095,0.094
12,0.344,0.345,0.095,0.093
13,0.344,0.345,0.09,0.092
14,0.346,0.344,0.092,0.092
15,0.345,0.345,0.093,0.092
16,0.343,0.345,0.094,0.094
17,0.347,0.346,0.094,0.094
18,0.348,0.347,0.094,0.094
19,0.347,0.348,0.095,0.095
20,0.349,0.348,0.095,0.095
21,0.348,0.348,0.097,0.094
22,0.346,0.348,0.091,0.093
23,0.347,0.346,0.091,0.094
24,0.345,0.344,0.093,0.091
25,0.34,0.343,0.088,0.085
26,0.34,0.339,0.07,0.067
27,0.337,0.335,0.047,0.043
28,0.328,0.33,0.016,0.025
29,0.326,0.326,0.017,0.023
30,0.323,0.323,0.039,0.036
31,0.323,0.322,0.06,0.056
32,0.32,0.321,0.075,0.072
33,0.32,0.319,0.077,0.081
34,0.318,0.317,0.086,0.087
35,0.312,0.315,0.093,0.088
36,0.316,0.313,0.09,0.091
37,0.313,0.315,0.086,0.092
38,0.314,0.318,0.097,0.09
39,0.327,0.32,0.09,0.092
40,0.32,0.324,0.089,0.094
41,0.324,0.325,0.098,0.095
42,0.326,0.322,0.096,0.095
43,0.319,0.321,0.095,0.092
44,0.317,0.318,0.085,0.091
45,0.318,0.317,0.092,0.095
46,0.317,0.319,0.105,0.101
47,0.323,0.321,0.109,0.106
48,0.323,0.323,0.103,0.103
49,0.323,0.324,0.096,0.098
50,0.327,0.326,0.092,0.097
51,0.325,0.326,0.099,0.096
52,0.329,0.327,0.1,0.094
53,0.323,0.325,0.088,0.091
54,0.326,0.323,0.084,0.087
55,0.32,0.322,0.089,0.088
56,0.323,0.325,0.091,0.091
57,0.329,0.328,0.094,0.092
58,0.332,0.332,0.09,0.091
59,0.334,0.33,0.09,0.092
60,0.325,0.326,0.094,0.094
61,0.321,0.323,0.1,0.097
62,0.324,0.326,0.099,0.1
63,0.335,0.336,0.099,0.104
64,0.347,0.345,0.109,0.106
65,0.35,0.346,0.113,0.11
66,0.341,0.34,0.107,0.109
67,0.327,0.332,0.109,0.108
68,0.326,0.33,0.102,0.107
69,0.334,0.33,0.112,0.107
70,0.334,0.331,0.107,0.105
71,0.326,0.33,0.1,0.103
72,0.327,0.328,0.098,0.099
73,0.328,0.328,0.099,0.099
74,0.33,0.328,0.098,0.094
75,0.326,0.324,0.092,0.09
76,0.317,0.321,0.08,0.09
77,0.317,0.319,0.091,0.091
78,0.324,0.321,0.102,0.091
79,0.323,0.322,0.086,0.089
80,0.323,0.324,0.08,0.084
81,0.32,0.322,0.079,0.083
82,0.325,0.322,0.092,0.088
83,0.319,0.32,0.094,0.091
84,0.321,0.321,0.089,0.089
85,0.318,0.322,0.084,0.088
86,0.329,0.325,0.086,0.091
87,0.325,0.323,0.103,0.096
88,0.322,0.322,0.097,0.097
89,0.313,0.318,0.091,0.089
90,0.321,0.316,0.074,0.079
91,0.316,0.319,0.063,0.066
92,0.32,0.321,0.063,0.045
93,0.328,0.323,0.029,0.038
94,0.323,0.33,0.021,0.046
95,0.338,0.335,0.078,0.06
96,0.343,0.34,0.093,0.082
97,0.341,0.343,0.086,0.095
98,0.343,0.342,0.091,0.094
99,0.341,0.342,0.099,0.095
100,0.341,0.343,0.099,0.099
101,0.346,0.343,0.098,0.099
102,0.343,0.343,0.098,0.099
103,0.341,0.343,0.1,0.099
104,0.343,0.342,0.1,0.1
105,0.342,0.343,0.099,0.101
106,0.345,0.343,0.103,0.101
107,0.342,0.343,0.102,0.102
108,0.343,0.344,0.101,0.102
109,0.343,0.343,0.102,0.102
110,0.346,0.343,0.102,0.102
111,0.342,0.345,0.103,0.102
112,0.343,0.345,0.1,0.101
113,0.35,0.345,0.1,0.101
114,0.343,0.346,0.101,0.1
115,0.344,0.345,0.099,0.099
116,0.345,0.343,0.097,0.098
117,0.343,0.343,0.095,0.096
118,0.342,0.343,0.098,0.097
119,0.343,0.344,0.096,0.097
120,0.346,0.344,0.1,0.098
121,0.344,0.345,0.098,0.099
122,0.343,0.345,0.1,0.1
123,0.347,0.344,0.101,0.1
124,0.344,0.344,0.1,0.099
125,0.343,0.344,0.098,0.098
126,0.343,0.344,0.095,0.097
127,0.344,0.344,0.099,0.097
128,0.347,0.344,0.098,0.097
129,0.341,0.343,0.097,0.097
130,0.343,0.343,0.096,0.097
131,0.344,0.344,0.099,0.098
132,0.346,0.345,0.1,0.099
133,0.345,0.344,0.099,0.098
134,0.341,0.344,0.097,0.098
135,0.344,0.343,0.096,0.098
136,0.344,0.343,0.1,0.098
137,0.342,0.343,0.101,0.1
138,0.345,0.345,0.1,0.101
