,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.377,0.376,0.098,0.098
1,0.381,0.38,0.1,0.099
2,0.379,0.382,0.1,0.1
3,0.383,0.384,0.101,0.101
4,0.384,0.384,0.1,0.101
5,0.388,0.384,0.101,0.1
6,0.379,0.382,0.1,0.1
7,0.381,0.381,0.1,0.101
8,0.382,0.382,0.102,0.101
9,0.384,0.384,0.101,0.101
10,0.386,0.384,0.1,0.101
11,0.381,0.383,0.101,0.099
12,0.383,0.382,0.096,0.098
13,0.38,0.381,0.097,0.097
14,0.383,0.382,0.098,0.098
15,0.382,0.383,0.1,0.1
16,0.385,0.385,0.101,0.1
17,0.385,0.385,0.1,0.101
18,0.388,0.385,0.1,0.1
19,0.381,0.385,0.099,0.098
20,0.385,0.383,0.096,0.097
21,0.384,0.383,0.095,0.096
22,0.382,0.384,0.096,0.097
23,0.386,0.384,0.098,0.096
24,0.383,0.383,0.096,0.095
25,0.381,0.382,0.09,0.094
26,0.379,0.38,0.092,0.091
27,0.381,0.378,0.088,0.085
28,0.375,0.375,0.075,0.075
29,0.373,0.376,0.057,0.055
30,0.371,0.37,0.036,0.034
31,0.377,0.369,0.012,0.019
32,0.353,0.366,0.013,0.015
33,0.371,0.362,0.02,0.017
34,0.355,0.357,0.031,0.028
35,0.354,0.355,0.032,0.038
36,0.351,0.35,0.05,0.044
37,0.349,0.353,0.05,0.05
38,0.358,0.356,0.053,0.057
39,0.363,0.361,0.064,0.061
40,0.363,0.365,0.067,0.067
41,0.363,0.362,0.069,0.07
42,0.363,0.36,0.074,0.07
43,0.352,0.357,0.068,0.072
44,0.359,0.358,0.072,0.074
45,0.357,0.358,0.08,0.076
46,0.362,0.357,0.079,0.077
47,0.352,0.354,0.076,0.08
48,0.347,0.35,0.076,0.081
49,0.349,0.346,0.093,0.081
50,0.346,0.345,0.078,0.081
51,0.343,0.347,0.075,0.082
52,0.349,0.349,0.082,0.081
53,0.355,0.353,0.089,0.082
54,0.356,0.355,0.083,0.084
55,0.354,0.355,0.077,0.085
56,0.35,0.351,0.092,0.085
57,0.352,0.349,0.09,0.088
58,0.344,0.349,0.085,0.09
59,0.352,0.351,0.091,0.09
60,0.353,0.352,0.093,0.094
61,0.355,0.353,0.096,0.094
62,0.35,0.354,0.094,0.091
63,0.353,0.354,0.083,0.088
64,0.359,0.354,0.089,0.088
65,0.351,0.352,0.089,0.091
66,0.348,0.349,0.101,0.096
67,0.343,0.345,0.095,0.095
68,0.349,0.346,0.097,0.096
69,0.345,0.349,0.089,0.097
70,0.353,0.349,0.104,0.097
71,0.349,0.347,0.099,0.094
72,0.344,0.347,0.087,0.095
73,0.345,0.346,0.093,0.098
74,0.351,0.348,0.108,0.101
75,0.35,0.351,0.108,0.102
76,0.352,0.355,0.091,0.1
77,0.358,0.358,0.093,0.096
78,0.364,0.36,0.099,0.093
79,0.36,0.362,0.093,0.09
80,0.359,0.362,0.082,0.089
81,0.363,0.36,0.082,0.086
82,0.361,0.36,0.097,0.084
83,0.357,0.361,0.079,0.084
84,0.362,0.361,0.075,0.081
85,0.364,0.36,0.079,0.075
86,0.36,0.363,0.074,0.072
87,0.358,0.362,0.064,0.066
88,0.373,0.367,0.056,0.057
89,0.365,0.37,0.052,0.049
90,0.379,0.373,0.039,0.037
91,0.365,0.37,0.031,0.026
92,0.377,0.37,0.02,0.034
93,0.362,0.373,0.044,0.054
94,0.383,0.379,0.098,0.073
95,0.39,0.382,0.089,0.089
96,0.379,0.386,0.08,0.094
97,0.384,0.385,0.095,0.091
98,0.386,0.383,0.098,0.095
99,0.384,0.383,0.097,0.098
100,0.379,0.382,0.094,0.097
101,0.38,0.381,0.098,0.097
102,0.383,0.381,0.099,0.099
103,0.382,0.382,0.1,0.101
104,0.381,0.383,0.103,0.101
105,0.383,0.382,0.101,0.101
106,0.383,0.382,0.098,0.1
107,0.381,0.381,0.101,0.099
108,0.379,0.381,0.096,0.098
109,0.381,0.381,0.099,0.098
110,0.384,0.382,0.096,0.098
111,0.381,0.381,0.101,0.1
112,0.379,0.38,0.099,0.1
113,0.378,0.38,0.102,0.101
114,0.381,0.381,0.099,0.1
115,0.384,0.382,0.1,0.1
116,0.381,0.382,0.101,0.1
117,0.381,0.38,0.098,0.099
118,0.377,0.379,0.099,0.098
119,0.381,0.379,0.095,0.097
120,0.379,0.38,0.098,0.097
121,0.382,0.381,0.097,0.097
122,0.381,0.38,0.096,0.098
123,0.381,0.381,0.1,0.099
124,0.379,0.382,0.099,0.099
125,0.386,0.383,0.1,0.1
126,0.383,0.382,0.098,0.1
127,0.38,0.381,0.103,0.101
128,0.379,0.381,0.101,0.101
129,0.382,0.382,0.1,0.101
130,0.385,0.383,0.1,0.1
131,0.382,0.382,0.101,0.1
132,0.38,0.38,0.1,0.1
133,0.378,0.379,0.099,0.099
134,0.379,0.379,0.098,0.098
135,0.381,0.38,0.098,0.098
136,0.382,0.381,0.099,0.098
137,0.383,0.382,0.098,0.098
138,0.383,0.384,0.098,0.098
