,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.301,0.301,0.093,0.093
1,0.302,0.302,0.092,0.093
2,0.301,0.302,0.093,0.093
3,0.302,0.302,0.094,0.093
4,0.303,0.302,0.093,0.093
5,0.303,0.302,0.093,0.093
6,0.301,0.302,0.093,0.094
7,0.302,0.302,0.095,0.094
8,0.304,0.303,0.094,0.094
9,0.303,0.303,0.094,0.095
10,0.303,0.303,0.095,0.094
11,0.301,0.301,0.094,0.094
12,0.301,0.3,0.094,0.093
13,0.299,0.3,0.092,0.093
14,0.3,0.3,0.093,0.093
15,0.301,0.301,0.094,0.093
16,0.303,0.302,0.094,0.094
17,0.302,0.302,0.095,0.095
18,0.301,0.302,0.095,0.095
19,0.303,0.302,0.096,0.096
20,0.303,0.303,0.096,0.096
21,0.302,0.303,0.095,0.096
22,0.303,0.302,0.096,0.095
23,0.301,0.3,0.093,0.094
24,0.297,0.299,0.092,0.093
25,0.298,0.299,0.092,0.091
26,0.301,0.298,0.085,0.086
27,0.296,0.298,0.074,0.066
28,0.294,0.295,0.048,0.043
29,0.295,0.291,0.014,0.031
30,0.285,0.289,0.031,0.035
31,0.284,0.286,0.064,0.055
32,0.287,0.282,0.081,0.079
33,0.279,0.28,0.094,0.093
34,0.273,0.277,0.098,0.103
35,0.278,0.276,0.109,0.109
36,0.277,0.279,0.12,0.114
37,0.284,0.282,0.113,0.117
38,0.284,0.282,0.117,0.119
39,0.28,0.282,0.121,0.119
40,0.278,0.28,0.122,0.121
41,0.281,0.279,0.121,0.123
42,0.277,0.278,0.124,0.124
43,0.278,0.278,0.128,0.124
44,0.277,0.277,0.123,0.125
45,0.276,0.277,0.125,0.127
46,0.277,0.277,0.129,0.129
47,0.278,0.278,0.131,0.127
48,0.28,0.281,0.127,0.125
49,0.284,0.282,0.115,0.126
50,0.284,0.283,0.132,0.129
51,0.282,0.284,0.138,0.132
52,0.284,0.283,0.131,0.13
53,0.284,0.283,0.126,0.128
54,0.281,0.283,0.12,0.131
55,0.283,0.282,0.144,0.131
56,0.284,0.282,0.136,0.131
57,0.28,0.283,0.118,0.13
58,0.283,0.284,0.128,0.128
59,0.289,0.285,0.136,0.13
60,0.286,0.286,0.136,0.134
61,0.284,0.285,0.13,0.136
62,0.285,0.285,0.135,0.136
63,0.286,0.287,0.141,0.134
64,0.29,0.287,0.132,0.134
65,0.288,0.287,0.128,0.134
66,0.282,0.287,0.136,0.134
67,0.287,0.286,0.142,0.136
68,0.288,0.286,0.132,0.137
69,0.284,0.285,0.133,0.133
70,0.282,0.282,0.131,0.128
71,0.279,0.278,0.124,0.126
72,0.275,0.275,0.122,0.123
73,0.271,0.273,0.123,0.122
74,0.275,0.275,0.122,0.121
75,0.28,0.279,0.12,0.12
76,0.284,0.283,0.118,0.122
77,0.283,0.285,0.124,0.126
78,0.287,0.285,0.131,0.125
79,0.282,0.283,0.125,0.122
80,0.282,0.282,0.108,0.116
81,0.28,0.28,0.114,0.112
82,0.281,0.281,0.113,0.115
83,0.282,0.283,0.12,0.119
84,0.284,0.285,0.124,0.119
85,0.287,0.285,0.115,0.118
86,0.283,0.283,0.113,0.115
87,0.279,0.279,0.11,0.109
88,0.275,0.274,0.107,0.104
89,0.272,0.273,0.094,0.1
90,0.272,0.276,0.094,0.094
91,0.284,0.283,0.087,0.08
92,0.293,0.291,0.069,0.062
93,0.296,0.297,0.043,0.057
94,0.299,0.298,0.048,0.062
95,0.299,0.299,0.098,0.075
96,0.297,0.299,0.086,0.088
97,0.301,0.299,0.088,0.093
98,0.298,0.298,0.087,0.088
99,0.297,0.298,0.092,0.091
100,0.297,0.297,0.092,0.092
101,0.298,0.297,0.092,0.092
102,0.298,0.298,0.09,0.091
103,0.298,0.298,0.09,0.091
104,0.299,0.298,0.091,0.091
105,0.296,0.297,0.092,0.09
106,0.296,0.296,0.09,0.09
107,0.296,0.294,0.087,0.09
108,0.292,0.294,0.093,0.09
109,0.294,0.295,0.091,0.092
110,0.297,0.296,0.092,0.093
111,0.299,0.298,0.093,0.092
112,0.297,0.298,0.091,0.092
113,0.297,0.297,0.091,0.09
114,0.295,0.296,0.089,0.09
115,0.296,0.295,0.09,0.091
116,0.293,0.294,0.093,0.091
117,0.292,0.292,0.093,0.093
118,0.292,0.291,0.091,0.094
119,0.288,0.291,0.096,0.094
120,0.294,0.292,0.095,0.094
121,0.293,0.293,0.093,0.094
122,0.294,0.295,0.093,0.092
123,0.295,0.294,0.091,0.093
124,0.296,0.296,0.096,0.095
125,0.296,0.297,0.097,0.096
126,0.3,0.298,0.096,0.096
127,0.299,0.299,0.095,0.094
128,0.298,0.299,0.092,0.093
129,0.299,0.299,0.092,0.093
130,0.298,0.299,0.095,0.094
131,0.301,0.299,0.096,0.095
132,0.298,0.299,0.095,0.095
133,0.299,0.299,0.094,0.095
134,0.298,0.298,0.095,0.094
135,0.3,0.299,0.094,0.094
136,0.298,0.299,0.094,0.094
137,0.299,0.3,0.094,0.095
138,0.301,0.3,0.096,0.096
