,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.346,0.346,0.103,0.102
1,0.347,0.348,0.099,0.1
2,0.35,0.349,0.099,0.099
3,0.348,0.349,0.099,0.099
4,0.349,0.349,0.1,0.1
5,0.35,0.348,0.099,0.1
6,0.347,0.349,0.101,0.1
7,0.349,0.349,0.1,0.1
8,0.351,0.35,0.1,0.1
9,0.351,0.351,0.1,0.1
10,0.35,0.35,0.101,0.101
11,0.349,0.35,0.101,0.101
12,0.35,0.35,0.101,0.101
13,0.35,0.349,0.102,0.102
14,0.349,0.349,0.102,0.102
15,0.347,0.348,0.102,0.101
16,0.349,0.348,0.1,0.1
17,0.349,0.35,0.097,0.098
18,0.35,0.35,0.097,0.097
19,0.352,0.35,0.098,0.098
20,0.347,0.349,0.098,0.099
21,0.35,0.349,0.1,0.099
22,0.348,0.349,0.099,0.098
23,0.351,0.35,0.095,0.097
24,0.349,0.35,0.095,0.095
25,0.351,0.35,0.094,0.093
26,0.35,0.349,0.089,0.092
27,0.347,0.348,0.087,0.085
28,0.345,0.346,0.077,0.074
29,0.342,0.341,0.052,0.053
30,0.341,0.339,0.036,0.031
31,0.33,0.335,0.006,0.015
32,0.337,0.332,0.011,0.013
33,0.324,0.327,0.02,0.018
34,0.329,0.325,0.037,0.032
35,0.317,0.322,0.038,0.043
36,0.326,0.325,0.056,0.055
37,0.328,0.325,0.063,0.065
38,0.33,0.329,0.076,0.072
39,0.323,0.328,0.075,0.074
40,0.33,0.324,0.071,0.076
41,0.318,0.319,0.08,0.078
42,0.314,0.317,0.08,0.081
43,0.315,0.315,0.089,0.086
44,0.318,0.317,0.085,0.09
45,0.32,0.32,0.095,0.091
46,0.321,0.32,0.093,0.092
47,0.319,0.319,0.088,0.093
48,0.316,0.317,0.094,0.089
49,0.315,0.316,0.084,0.085
50,0.313,0.313,0.081,0.082
51,0.315,0.311,0.08,0.08
52,0.305,0.31,0.082,0.084
53,0.31,0.309,0.088,0.086
54,0.313,0.31,0.091,0.088
55,0.31,0.316,0.086,0.089
56,0.323,0.321,0.09,0.089
57,0.326,0.324,0.09,0.092
58,0.324,0.323,0.098,0.098
59,0.317,0.317,0.102,0.099
60,0.31,0.312,0.101,0.098
61,0.309,0.31,0.091,0.099
62,0.312,0.311,0.1,0.099
63,0.315,0.314,0.106,0.099
64,0.317,0.319,0.096,0.101
65,0.323,0.323,0.095,0.097
66,0.328,0.325,0.099,0.092
67,0.323,0.324,0.088,0.092
68,0.321,0.32,0.089,0.096
69,0.313,0.314,0.105,0.098
70,0.31,0.31,0.106,0.1
71,0.308,0.311,0.094,0.1
72,0.315,0.314,0.096,0.101
73,0.321,0.319,0.107,0.103
74,0.321,0.323,0.11,0.105
75,0.326,0.325,0.101,0.105
76,0.325,0.324,0.099,0.103
77,0.327,0.325,0.104,0.101
78,0.322,0.327,0.103,0.1
79,0.333,0.331,0.096,0.097
80,0.336,0.336,0.09,0.093
81,0.343,0.341,0.093,0.092
82,0.34,0.341,0.092,0.091
83,0.341,0.339,0.09,0.089
84,0.335,0.337,0.081,0.083
85,0.337,0.337,0.079,0.078
86,0.338,0.337,0.07,0.072
87,0.337,0.337,0.069,0.066
88,0.338,0.336,0.054,0.056
89,0.333,0.336,0.044,0.036
90,0.338,0.338,0.024,0.022
91,0.34,0.34,0.006,0.032
92,0.344,0.344,0.057,0.053
93,0.344,0.344,0.099,0.076
94,0.346,0.344,0.088,0.094
95,0.341,0.344,0.084,0.093
96,0.345,0.345,0.096,0.091
97,0.347,0.345,0.096,0.097
98,0.345,0.346,0.1,0.1
99,0.344,0.344,0.1,0.099
100,0.343,0.343,0.098,0.099
101,0.343,0.343,0.097,0.099
102,0.341,0.343,0.102,0.101
103,0.346,0.344,0.102,0.103
104,0.345,0.345,0.105,0.103
105,0.346,0.345,0.103,0.104
106,0.345,0.346,0.102,0.104
107,0.345,0.346,0.106,0.103
108,0.349,0.347,0.102,0.103
109,0.345,0.347,0.1,0.102
110,0.349,0.347,0.102,0.1
111,0.345,0.347,0.099,0.1
112,0.349,0.348,0.1,0.1
113,0.349,0.348,0.099,0.099
114,0.348,0.35,0.101,0.101
115,0.35,0.349,0.101,0.102
116,0.349,0.348,0.104,0.103
117,0.347,0.348,0.103,0.103
118,0.346,0.347,0.102,0.103
119,0.348,0.347,0.102,0.102
120,0.347,0.345,0.101,0.101
121,0.342,0.344,0.1,0.1
122,0.343,0.344,0.098,0.099
123,0.347,0.345,0.101,0.1
124,0.347,0.347,0.101,0.101
125,0.347,0.347,0.103,0.103
126,0.345,0.346,0.103,0.103
127,0.347,0.346,0.104,0.104
128,0.345,0.347,0.104,0.104
129,0.348,0.346,0.103,0.103
130,0.347,0.346,0.102,0.102
131,0.344,0.347,0.1,0.102
132,0.348,0.347,0.103,0.102
133,0.349,0.348,0.102,0.101
134,0.35,0.349,0.1,0.101
135,0.348,0.349,0.099,0.099
136,0.348,0.349,0.099,0.099
137,0.348,0.348,0.098,0.099
138,0.348,0.348,0.101,0.1
