,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.269,0.268,0.087,0.087
1,0.267,0.268,0.086,0.088
2,0.267,0.268,0.09,0.088
3,0.268,0.268,0.089,0.089
4,0.268,0.268,0.088,0.088
5,0.268,0.268,0.087,0.088
6,0.266,0.267,0.088,0.088
7,0.268,0.268,0.09,0.088
8,0.268,0.268,0.086,0.089
9,0.269,0.268,0.09,0.088
10,0.267,0.268,0.087,0.086
11,0.268,0.267,0.084,0.086
12,0.266,0.267,0.086,0.085
13,0.268,0.267,0.088,0.086
14,0.266,0.267,0.086,0.088
15,0.267,0.266,0.089,0.088
16,0.266,0.265,0.089,0.088
17,0.263,0.265,0.088,0.088
18,0.265,0.264,0.087,0.088
19,0.265,0.264,0.088,0.087
20,0.263,0.264,0.087,0.086
21,0.264,0.263,0.082,0.084
22,0.263,0.263,0.084,0.083
23,0.262,0.264,0.082,0.083
24,0.266,0.265,0.083,0.083
25,0.266,0.266,0.081,0.08
26,0.267,0.267,0.074,0.075
27,0.265,0.264,0.064,0.063
28,0.265,0.264,0.051,0.043
29,0.258,0.264,0.027,0.029
30,0.268,0.263,0.014,0.03
31,0.263,0.26,0.048,0.046
32,0.255,0.258,0.077,0.068
33,0.253,0.255,0.091,0.086
34,0.258,0.257,0.088,0.094
35,0.26,0.259,0.098,0.101
36,0.261,0.261,0.113,0.111
37,0.257,0.258,0.121,0.12
38,0.259,0.253,0.128,0.122
39,0.244,0.25,0.115,0.12
40,0.248,0.25,0.117,0.123
41,0.252,0.25,0.126,0.122
42,0.253,0.25,0.133,0.124
43,0.246,0.246,0.109,0.12
44,0.239,0.243,0.118,0.113
45,0.242,0.242,0.109,0.109
46,0.246,0.245,0.11,0.114
47,0.247,0.247,0.116,0.114
48,0.247,0.226,0.121,0.106
49,0.243,0.283,0.115,0.134
50,0.243,0.302,0.115,0.147
51,0.454,0.241,0.237,0.139
52,0.159,0.309,0.122,0.197
53,0.128,0.299,0.161,0.237
54,0.575,0.202,0.378,0.215
55,0.038,0.204,0.177,0.217
56,0.001,0.103,0.084,0.159
57,0.173,-0.001,0.15,0.098
58,0.012,0.169,0.072,0.076
59,0.31,0.332,0.117,0.111
60,0.598,0.467,0.029,0.088
61,0.581,0.593,0.245,0.151
62,0.561,0.643,0.052,0.172
63,0.546,0.48,0.301,0.168
64,0.557,0.422,0.074,0.113
65,0.019,0.325,0.051,0.065
66,0.528,0.345,0.08,0.109
67,0.264,0.351,0.082,0.186
68,0.565,0.436,0.479,0.213
69,0.209,0.309,0.06,0.198
70,0.307,0.215,0.099,0.134
71,0.048,0.124,0.087,0.02
72,0.043,0.121,0.036,0.084
73,0.235,0.036,0.067,0.076
74,0.014,0.097,0.211,0.171
75,0.001,0.189,0.115,0.205
76,0.387,0.162,0.381,0.206
77,0.337,0.247,0.026,0.151
78,0.033,0.382,0.131,0.101
79,0.499,0.318,0.037,0.041
80,0.579,0.367,0.058,0.09
81,0.059,0.394,0.131,0.092
82,0.454,0.283,0.12,0.119
83,0.24,0.244,0.109,0.121
84,0.242,0.289,0.114,0.111
85,0.247,0.222,0.107,0.111
86,0.241,0.248,0.117,0.109
87,0.256,0.257,0.101,0.107
88,0.27,0.264,0.099,0.103
89,0.272,0.27,0.098,0.087
90,0.262,0.268,0.073,0.065
91,0.269,0.265,0.039,0.055
92,0.26,0.264,0.037,0.051
93,0.267,0.267,0.084,0.059
94,0.268,0.267,0.067,0.073
95,0.271,0.269,0.075,0.08
96,0.265,0.269,0.081,0.079
97,0.27,0.268,0.085,0.085
98,0.267,0.266,0.088,0.086
99,0.264,0.266,0.085,0.087
100,0.266,0.266,0.087,0.086
101,0.267,0.266,0.087,0.086
102,0.267,0.265,0.084,0.086
103,0.262,0.266,0.086,0.085
104,0.267,0.267,0.085,0.085
105,0.272,0.269,0.086,0.086
106,0.269,0.269,0.085,0.085
107,0.267,0.268,0.085,0.084
108,0.266,0.268,0.083,0.083
109,0.27,0.268,0.082,0.083
110,0.269,0.267,0.084,0.083
111,0.263,0.265,0.083,0.083
112,0.263,0.263,0.083,0.083
113,0.263,0.264,0.082,0.083
114,0.267,0.265,0.085,0.084
115,0.267,0.265,0.086,0.085
116,0.262,0.266,0.084,0.085
117,0.267,0.265,0.083,0.083
118,0.266,0.266,0.083,0.083
119,0.266,0.267,0.083,0.084
120,0.268,0.266,0.086,0.086
121,0.264,0.265,0.088,0.086
122,0.265,0.266,0.086,0.086
123,0.266,0.266,0.083,0.086
124,0.27,0.267,0.09,0.087
125,0.264,0.266,0.087,0.088
126,0.264,0.264,0.089,0.088
127,0.262,0.263,0.086,0.087
128,0.265,0.265,0.086,0.086
129,0.265,0.266,0.086,0.085
130,0.27,0.267,0.083,0.085
131,0.267,0.267,0.086,0.086
132,0.264,0.265,0.086,0.087
133,0.264,0.263,0.09,0.088
134,0.263,0.264,0.088,0.088
135,0.264,0.264,0.088,0.088
136,0.266,0.265,0.087,0.088
137,0.265,0.266,0.088,0.087
138,0.269,0.268,0.086,0.086
