,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.281,0.282,0.088,0.088
1,0.283,0.281,0.086,0.085
2,0.28,0.281,0.082,0.084
3,0.279,0.281,0.083,0.083
4,0.283,0.281,0.084,0.083
5,0.281,0.282,0.084,0.084
6,0.281,0.282,0.084,0.084
7,0.282,0.281,0.085,0.085
8,0.281,0.281,0.085,0.085
9,0.281,0.281,0.085,0.085
10,0.281,0.281,0.085,0.085
11,0.28,0.281,0.086,0.086
12,0.282,0.281,0.086,0.086
13,0.281,0.281,0.086,0.086
14,0.281,0.282,0.086,0.086
15,0.282,0.282,0.086,0.086
16,0.284,0.282,0.086,0.086
17,0.28,0.282,0.086,0.085
18,0.283,0.282,0.082,0.084
19,0.283,0.282,0.083,0.083
20,0.282,0.283,0.084,0.083
21,0.282,0.282,0.085,0.085
22,0.283,0.282,0.085,0.085
23,0.282,0.283,0.086,0.085
24,0.284,0.284,0.08,0.084
25,0.284,0.285,0.08,0.078
26,0.285,0.283,0.068,0.056
27,0.279,0.277,0.036,0.035
28,0.271,0.272,0.006,0.027
29,0.261,0.265,0.038,0.04
30,0.267,0.262,0.08,0.068
31,0.257,0.26,0.098,0.095
32,0.259,0.258,0.105,0.107
33,0.254,0.253,0.109,0.112
34,0.25,0.25,0.116,0.116
35,0.248,0.249,0.121,0.119
36,0.249,0.251,0.12,0.12
37,0.258,0.254,0.12,0.121
38,0.257,0.257,0.12,0.121
39,0.257,0.259,0.123,0.121
40,0.259,0.258,0.123,0.121
41,0.257,0.258,0.119,0.122
42,0.255,0.255,0.123,0.125
43,0.254,0.252,0.13,0.129
44,0.246,0.25,0.135,0.129
45,0.252,0.251,0.126,0.128
46,0.253,0.253,0.122,0.125
47,0.259,0.259,0.13,0.13
48,0.263,0.262,0.134,0.137
49,0.267,0.266,0.151,0.141
50,0.265,0.268,0.136,0.143
51,0.269,0.269,0.139,0.141
52,0.269,0.266,0.143,0.134
53,0.265,0.265,0.128,0.133
54,0.257,0.264,0.129,0.133
55,0.271,0.267,0.136,0.133
56,0.272,0.27,0.142,0.137
57,0.273,0.274,0.133,0.139
58,0.273,0.275,0.139,0.139
59,0.275,0.275,0.14,0.137
60,0.277,0.273,0.136,0.136
61,0.268,0.27,0.132,0.134
62,0.266,0.268,0.132,0.134
63,0.267,0.266,0.137,0.132
64,0.269,0.269,0.132,0.129
65,0.269,0.271,0.121,0.128
66,0.275,0.272,0.126,0.129
67,0.272,0.271,0.138,0.134
68,0.268,0.272,0.138,0.136
69,0.272,0.272,0.133,0.13
70,0.276,0.273,0.12,0.123
71,0.27,0.295,0.114,0.127
72,0.265,0.248,0.125,0.105
73,0.257,0.164,0.121,0.079
74,0.0,0.098,0.048,0.152
75,0.046,0.087,0.163,0.197
76,0.167,0.144,0.411,0.221
77,0.263,0.212,0.117,0.208
78,0.266,0.235,0.113,0.142
79,0.137,0.232,0.078,0.073
80,0.265,0.229,0.112,0.1
81,0.266,0.246,0.107,0.104
82,0.264,0.276,0.11,0.114
83,0.261,0.266,0.117,0.118
84,0.27,0.267,0.128,0.128
85,0.271,0.267,0.141,0.141
86,0.266,0.268,0.147,0.148
87,0.263,0.268,0.155,0.149
88,0.272,0.271,0.141,0.146
89,0.274,0.272,0.136,0.139
90,0.273,0.269,0.133,0.127
91,0.259,0.262,0.109,0.112
92,0.254,0.255,0.091,0.085
93,0.252,0.249,0.061,0.06
94,0.249,0.254,0.036,0.053
95,0.257,0.261,0.058,0.057
96,0.279,0.269,0.082,0.069
97,0.275,0.276,0.08,0.082
98,0.275,0.278,0.081,0.084
99,0.278,0.277,0.086,0.083
100,0.278,0.279,0.083,0.085
101,0.281,0.279,0.086,0.086
102,0.279,0.279,0.087,0.087
103,0.278,0.28,0.088,0.087
104,0.281,0.279,0.087,0.087
105,0.28,0.28,0.084,0.087
106,0.279,0.28,0.089,0.086
107,0.28,0.28,0.088,0.087
108,0.281,0.281,0.085,0.088
109,0.282,0.281,0.09,0.088
110,0.281,0.282,0.089,0.09
111,0.282,0.282,0.092,0.092
112,0.282,0.282,0.092,0.091
113,0.282,0.282,0.089,0.088
114,0.282,0.282,0.085,0.086
115,0.283,0.282,0.082,0.085
116,0.281,0.281,0.088,0.085
117,0.281,0.28,0.086,0.086
118,0.277,0.279,0.087,0.087
119,0.279,0.279,0.085,0.086
120,0.279,0.278,0.087,0.087
121,0.278,0.278,0.087,0.088
122,0.276,0.277,0.091,0.09
123,0.276,0.276,0.089,0.09
124,0.277,0.277,0.091,0.09
125,0.277,0.278,0.088,0.09
126,0.28,0.278,0.091,0.089
127,0.278,0.278,0.09,0.089
128,0.276,0.278,0.087,0.09
129,0.278,0.278,0.092,0.089
130,0.279,0.279,0.09,0.09
131,0.28,0.28,0.089,0.091
132,0.28,0.28,0.094,0.092
133,0.281,0.281,0.094,0.094
134,0.281,0.281,0.095,0.095
135,0.281,0.281,0.093,0.093
136,0.282,0.281,0.092,0.093
137,0.28,0.281,0.09,0.093
138,0.282,0.281,0.096,0.094
