,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.326,0.328,0.094,0.094
1,0.33,0.327,0.097,0.095
2,0.328,0.327,0.094,0.096
3,0.327,0.327,0.095,0.096
4,0.325,0.327,0.096,0.095
5,0.33,0.328,0.095,0.094
6,0.329,0.329,0.091,0.093
7,0.329,0.328,0.091,0.091
8,0.326,0.327,0.092,0.091
9,0.324,0.326,0.091,0.092
10,0.328,0.326,0.093,0.093
11,0.326,0.326,0.093,0.093
12,0.325,0.327,0.094,0.094
13,0.327,0.326,0.094,0.094
14,0.328,0.327,0.095,0.095
15,0.327,0.328,0.095,0.095
16,0.328,0.327,0.094,0.094
17,0.326,0.326,0.095,0.093
18,0.325,0.327,0.091,0.093
19,0.328,0.327,0.092,0.092
20,0.327,0.326,0.094,0.094
21,0.325,0.326,0.095,0.095
22,0.324,0.325,0.097,0.096
23,0.325,0.324,0.095,0.097
24,0.324,0.325,0.097,0.096
25,0.325,0.324,0.094,0.094
26,0.325,0.325,0.088,0.089
27,0.321,0.323,0.076,0.072
28,0.324,0.321,0.056,0.048
29,0.313,0.316,0.02,0.028
30,0.316,0.31,0.013,0.024
31,0.299,0.306,0.035,0.032
32,0.303,0.303,0.063,0.053
33,0.303,0.297,0.064,0.071
34,0.292,0.295,0.082,0.079
35,0.289,0.293,0.084,0.082
36,0.296,0.294,0.084,0.089
37,0.298,0.297,0.09,0.09
38,0.302,0.302,0.099,0.094
39,0.301,0.304,0.091,0.096
40,0.308,0.303,0.1,0.098
41,0.299,0.3,0.098,0.102
42,0.294,0.298,0.108,0.105
43,0.297,0.297,0.109,0.103
44,0.301,0.3,0.097,0.103
45,0.302,0.301,0.098,0.102
46,0.302,0.302,0.109,0.102
47,0.3,0.302,0.105,0.107
48,0.302,0.301,0.108,0.11
49,0.303,0.301,0.113,0.112
50,0.3,0.303,0.116,0.114
51,0.303,0.304,0.116,0.119
52,0.307,0.304,0.118,0.121
53,0.303,0.304,0.128,0.119
54,0.301,0.303,0.115,0.119
55,0.301,0.301,0.112,0.118
56,0.303,0.301,0.124,0.117
57,0.3,0.301,0.117,0.117
58,0.301,0.303,0.115,0.118
59,0.308,0.307,0.113,0.116
60,0.311,0.311,0.123,0.117
61,0.314,0.313,0.114,0.116
62,0.311,0.311,0.116,0.114
63,0.31,0.309,0.108,0.111
64,0.305,0.307,0.111,0.111
65,0.308,0.307,0.114,0.11
66,0.308,0.307,0.109,0.111
67,0.308,0.308,0.108,0.111
68,0.308,0.308,0.114,0.112
69,0.307,0.307,0.116,0.115
70,0.306,0.305,0.114,0.114
71,0.301,0.303,0.114,0.111
72,0.302,0.301,0.104,0.111
73,0.301,0.301,0.113,0.111
74,0.302,0.304,0.116,0.112
75,0.308,0.306,0.112,0.117
76,0.308,0.308,0.117,0.117
77,0.307,0.308,0.12,0.115
78,0.309,0.308,0.111,0.113
79,0.307,0.309,0.108,0.113
80,0.312,0.309,0.114,0.112
81,0.307,0.308,0.119,0.115
82,0.309,0.309,0.111,0.117
83,0.309,0.31,0.116,0.114
84,0.314,0.312,0.113,0.107
85,0.313,0.313,0.101,0.105
86,0.312,0.312,0.095,0.103
87,0.31,0.31,0.109,0.101
88,0.307,0.308,0.102,0.098
89,0.309,0.307,0.084,0.091
90,0.302,0.304,0.08,0.079
91,0.308,0.307,0.068,0.062
92,0.305,0.311,0.05,0.041
93,0.325,0.319,0.021,0.039
94,0.321,0.322,0.033,0.048
95,0.326,0.324,0.095,0.065
96,0.319,0.321,0.08,0.085
97,0.32,0.322,0.083,0.092
98,0.324,0.322,0.093,0.088
99,0.324,0.324,0.093,0.092
100,0.324,0.324,0.093,0.094
101,0.325,0.323,0.091,0.093
102,0.321,0.323,0.096,0.094
103,0.322,0.322,0.095,0.096
104,0.322,0.322,0.098,0.098
105,0.321,0.322,0.099,0.098
106,0.323,0.322,0.097,0.099
107,0.321,0.322,0.099,0.099
108,0.323,0.323,0.101,0.098
109,0.324,0.322,0.098,0.098
110,0.322,0.323,0.094,0.097
111,0.32,0.322,0.099,0.096
112,0.323,0.321,0.096,0.097
113,0.319,0.32,0.099,0.1
114,0.32,0.32,0.101,0.1
115,0.32,0.321,0.103,0.102
116,0.323,0.321,0.101,0.103
117,0.323,0.322,0.104,0.104
118,0.318,0.321,0.104,0.102
119,0.323,0.321,0.101,0.101
120,0.321,0.322,0.097,0.099
121,0.325,0.323,0.097,0.097
122,0.323,0.323,0.097,0.095
123,0.322,0.324,0.093,0.095
124,0.325,0.323,0.092,0.094
125,0.322,0.323,0.098,0.095
126,0.323,0.323,0.094,0.096
127,0.323,0.322,0.099,0.097
128,0.322,0.322,0.096,0.098
129,0.321,0.322,0.101,0.1
130,0.322,0.323,0.102,0.101
131,0.325,0.324,0.1,0.102
132,0.325,0.325,0.101,0.101
133,0.324,0.325,0.101,0.1
134,0.324,0.324,0.098,0.099
135,0.324,0.324,0.098,0.098
136,0.324,0.324,0.098,0.097
137,0.324,0.324,0.097,0.097
138,0.325,0.325,0.096,0.096
