,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.396,0.395,0.1,0.099
1,0.394,0.395,0.099,0.1
2,0.394,0.396,0.1,0.1
3,0.395,0.396,0.099,0.1
4,0.398,0.396,0.101,0.1
5,0.397,0.396,0.1,0.1
6,0.393,0.396,0.099,0.099
7,0.398,0.396,0.098,0.098
8,0.396,0.395,0.097,0.097
9,0.394,0.396,0.095,0.096
10,0.395,0.395,0.096,0.096
11,0.397,0.395,0.096,0.096
12,0.396,0.396,0.097,0.097
13,0.396,0.397,0.097,0.097
14,0.399,0.399,0.097,0.097
15,0.402,0.401,0.097,0.098
16,0.402,0.402,0.098,0.098
17,0.402,0.402,0.098,0.097
18,0.401,0.402,0.096,0.096
19,0.402,0.401,0.093,0.095
20,0.401,0.4,0.095,0.095
21,0.397,0.402,0.096,0.095
22,0.404,0.401,0.096,0.096
23,0.404,0.4,0.097,0.097
24,0.395,0.399,0.097,0.097
25,0.396,0.397,0.097,0.096
26,0.398,0.398,0.092,0.095
27,0.401,0.4,0.092,0.093
28,0.399,0.398,0.089,0.087
29,0.394,0.394,0.078,0.075
30,0.389,0.389,0.057,0.056
31,0.382,0.383,0.034,0.038
32,0.379,0.377,0.023,0.027
33,0.369,0.369,0.028,0.023
34,0.364,0.366,0.029,0.029
35,0.36,0.361,0.031,0.036
36,0.366,0.361,0.05,0.042
37,0.354,0.363,0.045,0.05
38,0.369,0.363,0.057,0.056
39,0.365,0.361,0.062,0.061
40,0.356,0.363,0.067,0.067
41,0.36,0.361,0.072,0.073
42,0.368,0.363,0.078,0.08
43,0.364,0.367,0.086,0.084
44,0.369,0.368,0.09,0.086
45,0.366,0.364,0.085,0.088
46,0.362,0.359,0.087,0.09
47,0.349,0.354,0.096,0.093
48,0.35,0.354,0.097,0.095
49,0.36,0.355,0.094,0.095
50,0.363,0.359,0.093,0.094
51,0.356,0.363,0.094,0.096
52,0.364,0.363,0.099,0.099
53,0.369,0.363,0.105,0.1
54,0.36,0.364,0.097,0.1
55,0.362,0.363,0.096,0.098
56,0.366,0.365,0.101,0.098
57,0.367,0.368,0.098,0.103
58,0.369,0.368,0.106,0.104
59,0.365,0.364,0.107,0.101
60,0.359,0.36,0.095,0.1
61,0.354,0.357,0.093,0.099
62,0.359,0.358,0.104,0.099
63,0.361,0.359,0.103,0.099
64,0.361,0.361,0.094,0.097
65,0.359,0.362,0.091,0.093
66,0.365,0.364,0.093,0.093
67,0.366,0.366,0.099,0.096
68,0.37,0.368,0.098,0.1
69,0.365,0.368,0.1,0.1
70,0.368,0.366,0.104,0.099
71,0.364,0.364,0.093,0.101
72,0.361,0.364,0.104,0.103
73,0.366,0.364,0.107,0.101
74,0.365,0.366,0.101,0.101
75,0.366,0.364,0.094,0.1
76,0.364,0.364,0.102,0.102
77,0.359,0.363,0.108,0.102
78,0.368,0.361,0.103,0.103
79,0.356,0.361,0.096,0.102
80,0.361,0.361,0.101,0.101
81,0.364,0.363,0.105,0.1
82,0.366,0.368,0.098,0.096
83,0.373,0.371,0.087,0.092
84,0.373,0.373,0.085,0.087
85,0.373,0.372,0.09,0.084
86,0.368,0.367,0.079,0.08
87,0.36,0.363,0.073,0.075
88,0.361,0.359,0.069,0.069
89,0.36,0.36,0.067,0.066
90,0.36,0.365,0.059,0.061
91,0.376,0.374,0.056,0.048
92,0.383,0.381,0.038,0.036
93,0.388,0.387,0.024,0.042
94,0.384,0.388,0.054,0.058
95,0.39,0.388,0.099,0.077
96,0.389,0.389,0.09,0.093
97,0.389,0.389,0.087,0.096
98,0.389,0.39,0.098,0.093
99,0.39,0.391,0.096,0.096
100,0.395,0.393,0.096,0.098
101,0.393,0.394,0.098,0.097
102,0.394,0.393,0.098,0.098
103,0.392,0.392,0.098,0.098
104,0.39,0.391,0.097,0.098
105,0.392,0.393,0.099,0.099
106,0.395,0.396,0.099,0.099
107,0.4,0.398,0.1,0.1
108,0.399,0.398,0.099,0.099
109,0.395,0.396,0.099,0.099
110,0.392,0.394,0.098,0.1
111,0.395,0.394,0.102,0.101
112,0.396,0.394,0.101,0.1
113,0.393,0.396,0.1,0.1
114,0.397,0.396,0.097,0.098
115,0.4,0.397,0.1,0.098
116,0.395,0.397,0.096,0.098
117,0.397,0.395,0.1,0.099
118,0.392,0.392,0.099,0.098
119,0.391,0.392,0.099,0.099
120,0.39,0.392,0.097,0.098
121,0.395,0.392,0.1,0.099
122,0.392,0.392,0.099,0.099
123,0.389,0.391,0.1,0.101
124,0.39,0.389,0.102,0.101
125,0.39,0.391,0.102,0.102
126,0.391,0.391,0.102,0.102
127,0.393,0.39,0.101,0.101
128,0.388,0.391,0.1,0.1
129,0.391,0.391,0.099,0.101
130,0.395,0.392,0.103,0.101
131,0.389,0.392,0.102,0.102
132,0.395,0.393,0.101,0.102
133,0.389,0.392,0.102,0.101
134,0.395,0.391,0.101,0.101
135,0.389,0.391,0.101,0.101
136,0.39,0.392,0.1,0.1
137,0.397,0.393,0.099,0.099
138,0.394,0.396,0.097,0.097
