,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.033,0.096,0.062,0.071
1,0.298,0.203,0.1,0.086
2,0.299,0.279,0.097,0.096
3,0.298,0.323,0.098,0.101
4,0.297,0.298,0.098,0.098
5,0.298,0.298,0.098,0.098
6,0.299,0.299,0.098,0.098
7,0.3,0.299,0.099,0.099
8,0.299,0.3,0.099,0.099
9,0.299,0.298,0.1,0.099
10,0.298,0.297,0.099,0.1
11,0.295,0.297,0.101,0.101
12,0.298,0.297,0.102,0.102
13,0.298,0.297,0.102,0.102
14,0.297,0.298,0.102,0.102
15,0.297,0.298,0.101,0.102
16,0.299,0.297,0.102,0.102
17,0.296,0.297,0.103,0.101
18,0.295,0.296,0.097,0.1
19,0.297,0.295,0.099,0.099
20,0.294,0.295,0.099,0.099
21,0.294,0.295,0.101,0.101
22,0.296,0.294,0.101,0.101
23,0.294,0.296,0.1,0.1
24,0.297,0.297,0.095,0.096
25,0.298,0.297,0.09,0.09
26,0.297,0.296,0.075,0.069
27,0.292,0.291,0.056,0.046
28,0.286,0.286,0.012,0.034
29,0.277,0.282,0.037,0.04
30,0.284,0.28,0.071,0.063
31,0.281,0.282,0.096,0.094
32,0.284,0.284,0.113,0.109
33,0.287,0.284,0.113,0.115
34,0.282,0.284,0.114,0.118
35,0.283,0.282,0.122,0.122
36,0.282,0.28,0.129,0.126
37,0.278,0.281,0.13,0.129
38,0.282,0.282,0.128,0.133
39,0.286,0.283,0.134,0.134
40,0.283,0.284,0.139,0.133
41,0.282,0.283,0.128,0.129
42,0.284,0.282,0.122,0.124
43,0.283,0.284,0.121,0.123
44,0.285,0.287,0.126,0.127
45,0.29,0.289,0.134,0.129
46,0.292,0.29,0.13,0.129
47,0.29,0.29,0.122,0.126
48,0.287,0.288,0.126,0.124
49,0.287,0.287,0.125,0.128
50,0.288,0.287,0.134,0.132
51,0.289,0.29,0.138,0.134
52,0.292,0.293,0.132,0.136
53,0.298,0.295,0.135,0.138
54,0.295,0.297,0.14,0.136
55,0.297,0.296,0.138,0.134
56,0.293,0.294,0.124,0.13
57,0.292,0.293,0.125,0.126
58,0.292,0.29,0.131,0.127
59,0.29,0.288,0.127,0.133
60,0.284,0.287,0.138,0.134
61,0.287,0.288,0.138,0.133
62,0.29,0.288,0.126,0.132
63,0.29,0.289,0.128,0.129
64,0.285,0.288,0.13,0.127
65,0.287,0.286,0.128,0.125
66,0.285,0.284,0.121,0.124
67,0.284,0.285,0.118,0.124
68,0.287,0.289,0.133,0.126
69,0.293,0.292,0.127,0.127
70,0.299,0.294,0.124,0.125
71,0.289,0.293,0.12,0.122
72,0.29,0.289,0.122,0.122
73,0.287,0.287,0.127,0.125
74,0.287,0.288,0.127,0.13
75,0.29,0.289,0.133,0.131
76,0.289,0.289,0.134,0.129
77,0.29,0.289,0.124,0.128
78,0.287,0.288,0.124,0.13
79,0.288,0.286,0.133,0.128
80,0.284,0.285,0.138,0.126
81,0.284,0.286,0.11,0.125
82,0.289,0.288,0.122,0.125
83,0.29,0.29,0.134,0.126
84,0.293,0.29,0.131,0.128
85,0.286,0.289,0.122,0.125
86,0.288,0.29,0.115,0.12
87,0.291,0.29,0.127,0.121
88,0.295,0.292,0.119,0.125
89,0.291,0.292,0.129,0.123
90,0.291,0.292,0.12,0.118
91,0.292,0.292,0.104,0.112
92,0.295,0.295,0.108,0.106
93,0.297,0.297,0.098,0.098
94,0.299,0.299,0.092,0.079
95,0.296,0.292,0.058,0.059
96,0.291,0.29,0.032,0.055
97,0.278,0.291,0.065,0.06
98,0.303,0.294,0.093,0.075
99,0.301,0.299,0.08,0.089
100,0.301,0.304,0.087,0.091
101,0.303,0.303,0.096,0.091
102,0.304,0.304,0.095,0.095
103,0.305,0.302,0.093,0.096
104,0.299,0.302,0.097,0.094
105,0.3,0.301,0.094,0.095
106,0.304,0.3,0.093,0.094
107,0.297,0.3,0.096,0.095
108,0.299,0.299,0.095,0.097
109,0.299,0.297,0.099,0.097
110,0.296,0.297,0.098,0.097
111,0.297,0.297,0.094,0.097
112,0.298,0.298,0.098,0.096
113,0.299,0.299,0.096,0.095
114,0.3,0.299,0.092,0.095
115,0.298,0.299,0.096,0.093
116,0.299,0.298,0.092,0.093
117,0.297,0.299,0.094,0.095
118,0.301,0.299,0.096,0.095
119,0.3,0.299,0.098,0.097
120,0.296,0.298,0.096,0.098
121,0.296,0.296,0.099,0.098
122,0.297,0.297,0.098,0.098
123,0.298,0.286,0.096,0.082
124,0.302,0.318,0.099,0.122
125,0.297,0.338,0.098,0.146
126,0.434,0.344,0.266,0.153
127,0.299,0.336,0.097,0.145
128,0.296,0.316,0.096,0.124
129,0.297,0.283,0.101,0.081
130,0.293,0.296,0.103,0.094
131,0.298,0.296,0.079,0.094
132,0.296,0.296,0.099,0.095
133,0.294,0.296,0.104,0.099
134,0.297,0.296,0.103,0.104
135,0.297,0.296,0.101,0.101
136,0.296,0.296,0.1,0.101
137,0.296,0.297,0.099,0.101
138,0.297,0.297,0.103,0.101
