,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.369,0.369,0.092,0.092
1,0.368,0.369,0.092,0.093
2,0.371,0.37,0.093,0.093
3,0.37,0.37,0.094,0.094
4,0.37,0.37,0.095,0.094
5,0.37,0.37,0.094,0.095
6,0.371,0.371,0.095,0.095
7,0.371,0.37,0.095,0.095
8,0.37,0.37,0.096,0.095
9,0.367,0.37,0.095,0.096
10,0.371,0.37,0.096,0.096
11,0.371,0.37,0.097,0.097
12,0.369,0.37,0.096,0.096
13,0.37,0.37,0.097,0.095
14,0.369,0.37,0.092,0.094
15,0.371,0.37,0.093,0.093
16,0.37,0.371,0.094,0.093
17,0.372,0.372,0.095,0.095
18,0.374,0.372,0.096,0.096
19,0.371,0.372,0.098,0.097
20,0.37,0.371,0.097,0.098
21,0.372,0.37,0.098,0.098
22,0.368,0.37,0.098,0.097
23,0.369,0.37,0.097,0.097
24,0.37,0.369,0.092,0.094
25,0.369,0.369,0.091,0.09
26,0.367,0.367,0.082,0.082
27,0.367,0.366,0.069,0.065
28,0.361,0.363,0.046,0.044
29,0.363,0.361,0.021,0.028
30,0.355,0.357,0.017,0.021
31,0.357,0.354,0.031,0.024
32,0.346,0.349,0.034,0.036
33,0.35,0.346,0.044,0.045
34,0.339,0.341,0.058,0.054
35,0.342,0.341,0.059,0.064
36,0.337,0.343,0.074,0.071
37,0.352,0.348,0.075,0.074
38,0.352,0.348,0.077,0.078
39,0.346,0.348,0.076,0.077
40,0.34,0.343,0.081,0.078
41,0.342,0.34,0.076,0.079
42,0.34,0.341,0.081,0.08
43,0.34,0.342,0.085,0.082
44,0.345,0.342,0.083,0.087
45,0.342,0.344,0.092,0.091
46,0.345,0.344,0.096,0.094
47,0.343,0.342,0.095,0.095
48,0.34,0.339,0.096,0.095
49,0.335,0.338,0.092,0.098
50,0.337,0.34,0.106,0.102
51,0.345,0.342,0.107,0.104
52,0.346,0.343,0.104,0.106
53,0.34,0.342,0.099,0.103
54,0.338,0.34,0.108,0.103
55,0.342,0.34,0.101,0.105
56,0.34,0.339,0.108,0.107
57,0.338,0.339,0.11,0.108
58,0.337,0.341,0.109,0.111
59,0.345,0.343,0.109,0.11
60,0.349,0.344,0.111,0.106
61,0.341,0.344,0.101,0.101
62,0.341,0.343,0.091,0.099
63,0.343,0.342,0.1,0.099
64,0.347,0.344,0.105,0.1
65,0.342,0.344,0.102,0.1
66,0.344,0.343,0.092,0.099
67,0.34,0.341,0.1,0.1
68,0.343,0.34,0.105,0.1
69,0.338,0.34,0.102,0.1
70,0.339,0.341,0.091,0.098
71,0.346,0.343,0.098,0.098
72,0.345,0.346,0.104,0.101
73,0.346,0.347,0.106,0.104
74,0.348,0.345,0.102,0.104
75,0.341,0.344,0.101,0.102
76,0.343,0.343,0.103,0.098
77,0.343,0.343,0.094,0.098
78,0.346,0.344,0.093,0.098
79,0.344,0.348,0.105,0.098
80,0.35,0.35,0.099,0.097
81,0.359,0.353,0.092,0.095
82,0.347,0.354,0.087,0.09
83,0.356,0.353,0.092,0.088
84,0.35,0.35,0.087,0.087
85,0.348,0.346,0.084,0.085
86,0.34,0.339,0.08,0.079
87,0.332,0.338,0.076,0.074
88,0.34,0.342,0.065,0.072
89,0.353,0.348,0.07,0.069
90,0.355,0.354,0.072,0.065
91,0.353,0.354,0.056,0.058
92,0.352,0.351,0.046,0.045
93,0.35,0.352,0.042,0.042
94,0.354,0.356,0.04,0.055
95,0.363,0.36,0.079,0.069
96,0.366,0.364,0.095,0.081
97,0.363,0.366,0.076,0.089
98,0.366,0.365,0.086,0.089
99,0.365,0.365,0.099,0.092
100,0.365,0.365,0.098,0.099
101,0.364,0.365,0.099,0.101
102,0.367,0.365,0.101,0.101
103,0.364,0.366,0.103,0.102
104,0.367,0.367,0.102,0.102
105,0.368,0.366,0.1,0.1
106,0.367,0.367,0.098,0.098
107,0.364,0.367,0.094,0.096
108,0.368,0.367,0.099,0.097
109,0.369,0.368,0.095,0.096
110,0.367,0.369,0.099,0.097
111,0.369,0.368,0.095,0.098
112,0.369,0.368,0.101,0.101
113,0.367,0.368,0.103,0.102
114,0.367,0.367,0.103,0.102
115,0.367,0.367,0.1,0.101
116,0.368,0.367,0.097,0.099
117,0.366,0.366,0.1,0.098
118,0.365,0.366,0.098,0.099
119,0.366,0.366,0.1,0.1
120,0.369,0.367,0.101,0.1
121,0.365,0.367,0.1,0.1
122,0.367,0.367,0.099,0.1
123,0.367,0.367,0.1,0.101
124,0.368,0.368,0.103,0.101
125,0.368,0.368,0.102,0.101
126,0.368,0.368,0.098,0.1
127,0.367,0.368,0.099,0.099
128,0.368,0.368,0.098,0.098
129,0.367,0.367,0.097,0.096
130,0.366,0.366,0.095,0.095
131,0.364,0.365,0.093,0.095
132,0.366,0.365,0.098,0.095
133,0.366,0.366,0.096,0.096
134,0.367,0.367,0.095,0.097
135,0.367,0.366,0.098,0.097
136,0.365,0.366,0.098,0.097
137,0.366,0.366,0.097,0.097
138,0.366,0.366,0.097,0.097
