,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.318,0.318,0.092,0.092
1,0.317,0.317,0.094,0.093
2,0.316,0.317,0.093,0.094
3,0.318,0.317,0.094,0.094
4,0.315,0.317,0.094,0.094
5,0.32,0.318,0.094,0.094
6,0.318,0.319,0.094,0.095
7,0.32,0.321,0.096,0.094
8,0.322,0.32,0.093,0.094
9,0.319,0.319,0.092,0.093
10,0.318,0.319,0.094,0.094
11,0.317,0.318,0.094,0.094
12,0.32,0.319,0.095,0.093
13,0.319,0.32,0.091,0.092
14,0.322,0.322,0.091,0.092
15,0.323,0.322,0.092,0.093
16,0.322,0.322,0.096,0.094
17,0.32,0.322,0.095,0.095
18,0.323,0.321,0.093,0.096
19,0.321,0.322,0.097,0.095
20,0.319,0.321,0.097,0.097
21,0.325,0.322,0.096,0.098
22,0.319,0.322,0.098,0.096
23,0.324,0.322,0.095,0.096
24,0.319,0.32,0.092,0.094
25,0.318,0.318,0.092,0.089
26,0.316,0.316,0.082,0.084
27,0.312,0.314,0.071,0.07
28,0.316,0.312,0.058,0.048
29,0.304,0.308,0.024,0.034
30,0.306,0.303,0.019,0.027
31,0.297,0.299,0.043,0.035
32,0.297,0.298,0.05,0.054
33,0.296,0.295,0.073,0.067
34,0.295,0.294,0.076,0.073
35,0.291,0.291,0.073,0.079
36,0.291,0.291,0.081,0.08
37,0.289,0.293,0.086,0.082
38,0.3,0.294,0.083,0.084
39,0.295,0.298,0.081,0.084
40,0.296,0.299,0.087,0.085
41,0.304,0.298,0.087,0.088
42,0.295,0.297,0.091,0.091
43,0.293,0.295,0.094,0.092
44,0.293,0.293,0.092,0.095
45,0.295,0.294,0.097,0.095
46,0.295,0.305,0.096,0.086
47,0.297,0.282,0.092,0.107
48,0.297,0.277,0.09,0.11
49,0.197,0.229,0.181,0.134
50,0.299,0.295,0.084,0.124
51,0.204,0.268,0.156,0.11
52,0.527,0.308,0.026,0.052
53,0.086,0.38,0.082,0.086
54,0.508,0.393,0.023,0.055
55,0.496,0.311,0.234,0.139
56,0.168,0.391,0.034,0.202
57,0.236,0.281,0.384,0.23
58,0.459,0.209,0.205,0.205
59,0.043,0.147,0.109,0.193
60,0.06,0.175,0.139,0.088
61,0.099,0.153,0.066,0.06
62,0.499,0.173,0.029,0.067
63,0.0,0.17,0.056,0.068
64,0.018,0.17,0.147,0.092
65,0.305,0.162,0.085,0.107
66,0.31,0.293,0.094,0.1
67,0.303,0.332,0.088,0.084
68,0.302,0.305,0.087,0.089
69,0.308,0.307,0.09,0.087
70,0.314,0.311,0.086,0.087
71,0.314,0.315,0.087,0.088
72,0.315,0.316,0.088,0.09
73,0.318,0.316,0.094,0.092
74,0.313,0.313,0.094,0.092
75,0.308,0.307,0.088,0.091
76,0.3,0.302,0.09,0.09
77,0.299,0.299,0.091,0.092
78,0.302,0.302,0.096,0.095
79,0.304,0.307,0.099,0.099
80,0.314,0.31,0.102,0.102
81,0.313,0.311,0.104,0.102
82,0.307,0.311,0.102,0.101
83,0.308,0.309,0.096,0.1
84,0.313,0.311,0.1,0.098
85,0.312,0.312,0.099,0.099
86,0.312,0.313,0.098,0.098
87,0.31,0.31,0.097,0.097
88,0.309,0.306,0.093,0.094
89,0.3,0.302,0.092,0.09
90,0.298,0.299,0.083,0.084
91,0.299,0.301,0.075,0.074
92,0.304,0.3,0.062,0.06
93,0.306,0.303,0.047,0.044
94,0.294,0.305,0.037,0.044
95,0.316,0.309,0.042,0.055
96,0.313,0.313,0.089,0.071
97,0.315,0.316,0.087,0.084
98,0.314,0.314,0.083,0.091
99,0.313,0.315,0.088,0.088
100,0.317,0.317,0.093,0.091
101,0.32,0.318,0.094,0.093
102,0.319,0.318,0.093,0.094
103,0.313,0.315,0.092,0.092
104,0.314,0.313,0.093,0.092
105,0.311,0.311,0.092,0.094
106,0.313,0.312,0.096,0.096
107,0.31,0.312,0.099,0.098
108,0.315,0.314,0.099,0.1
109,0.315,0.316,0.102,0.1
110,0.318,0.316,0.098,0.098
111,0.317,0.316,0.095,0.096
112,0.312,0.315,0.094,0.093
113,0.318,0.316,0.092,0.094
114,0.316,0.318,0.096,0.096
115,0.323,0.319,0.1,0.097
116,0.316,0.316,0.096,0.097
117,0.312,0.316,0.094,0.096
118,0.314,0.312,0.097,0.095
119,0.315,0.311,0.096,0.095
120,0.306,0.311,0.093,0.094
121,0.309,0.311,0.094,0.095
122,0.316,0.312,0.097,0.097
123,0.314,0.314,0.101,0.099
124,0.313,0.315,0.101,0.101
125,0.316,0.315,0.098,0.101
126,0.316,0.316,0.102,0.1
127,0.317,0.316,0.099,0.098
128,0.316,0.316,0.096,0.096
129,0.315,0.316,0.093,0.094
130,0.316,0.316,0.093,0.093
131,0.318,0.316,0.094,0.093
132,0.315,0.316,0.093,0.094
133,0.314,0.317,0.094,0.093
134,0.32,0.317,0.094,0.094
135,0.319,0.319,0.094,0.096
136,0.317,0.319,0.098,0.097
137,0.321,0.32,0.099,0.098
138,0.319,0.319,0.098,0.099
