,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.306,0.306,0.092,0.092
1,0.307,0.307,0.091,0.091
2,0.306,0.307,0.091,0.09
3,0.308,0.308,0.091,0.09
4,0.309,0.308,0.088,0.089
5,0.309,0.309,0.089,0.089
6,0.309,0.309,0.09,0.09
7,0.309,0.309,0.091,0.091
8,0.308,0.309,0.09,0.091
9,0.31,0.309,0.091,0.09
10,0.309,0.309,0.09,0.09
11,0.308,0.309,0.09,0.09
12,0.309,0.309,0.09,0.09
13,0.309,0.309,0.091,0.09
14,0.308,0.308,0.089,0.089
15,0.308,0.308,0.086,0.087
16,0.307,0.308,0.087,0.087
17,0.308,0.307,0.087,0.088
18,0.307,0.307,0.09,0.089
19,0.307,0.308,0.09,0.09
20,0.308,0.308,0.091,0.091
21,0.309,0.308,0.091,0.091
22,0.307,0.308,0.091,0.09
23,0.308,0.308,0.086,0.088
24,0.308,0.308,0.087,0.087
25,0.307,0.307,0.085,0.085
26,0.307,0.308,0.08,0.08
27,0.305,0.304,0.068,0.063
28,0.306,0.303,0.047,0.042
29,0.292,0.299,0.017,0.027
30,0.302,0.295,0.019,0.027
31,0.289,0.294,0.046,0.04
32,0.294,0.294,0.064,0.06
33,0.294,0.291,0.072,0.073
34,0.29,0.29,0.079,0.079
35,0.283,0.286,0.082,0.083
36,0.285,0.283,0.086,0.087
37,0.282,0.283,0.093,0.091
38,0.284,0.285,0.092,0.096
39,0.288,0.287,0.101,0.099
40,0.29,0.292,0.101,0.097
41,0.294,0.292,0.093,0.093
42,0.292,0.29,0.083,0.09
43,0.282,0.287,0.091,0.091
44,0.285,0.283,0.102,0.096
45,0.284,0.282,0.099,0.101
46,0.281,0.283,0.102,0.102
47,0.285,0.301,0.102,0.084
48,0.285,0.253,0.102,0.126
49,0.287,0.215,0.107,0.158
50,0.111,0.266,0.297,0.187
51,0.362,0.397,0.16,0.216
52,0.62,0.496,0.199,0.203
53,0.612,0.507,0.224,0.198
54,0.351,0.494,0.17,0.243
55,0.292,0.374,0.315,0.233
56,0.606,0.395,0.223,0.2
57,0.234,0.442,0.129,0.213
58,0.619,0.517,0.164,0.175
59,0.39,0.376,0.292,0.182
60,0.521,0.437,0.118,0.219
61,0.012,0.27,0.201,0.177
62,0.604,0.335,0.228,0.147
63,0.039,0.304,0.053,0.199
64,0.604,0.313,0.239,0.178
65,0.048,0.149,0.264,0.182
66,0.142,0.236,0.077,0.168
67,0.196,0.284,0.179,0.149
68,0.593,0.435,0.079,0.143
69,0.508,0.389,0.258,0.148
70,0.144,0.21,0.07,0.101
71,0.001,0.146,0.041,0.084
72,0.06,0.135,0.049,0.043
73,0.611,0.321,0.097,0.077
74,0.165,0.38,0.077,0.056
75,0.588,0.442,0.097,0.079
76,0.187,0.374,0.046,0.213
77,0.555,0.301,0.369,0.298
78,0.157,0.269,0.534,0.345
79,0.03,0.278,0.147,0.284
80,0.575,0.164,0.195,0.199
81,0.039,0.205,0.055,0.136
82,0.082,0.217,0.306,0.164
83,0.297,0.17,0.094,0.14
84,0.292,0.288,0.098,0.129
85,0.291,0.313,0.092,0.073
86,0.294,0.29,0.092,0.094
87,0.288,0.289,0.089,0.091
88,0.287,0.29,0.09,0.085
89,0.295,0.296,0.071,0.069
90,0.305,0.303,0.053,0.046
91,0.312,0.31,0.026,0.039
92,0.31,0.311,0.029,0.047
93,0.31,0.31,0.088,0.06
94,0.307,0.309,0.076,0.075
95,0.309,0.308,0.068,0.082
96,0.309,0.307,0.083,0.078
97,0.305,0.307,0.087,0.084
98,0.306,0.306,0.086,0.088
99,0.307,0.306,0.089,0.088
100,0.305,0.306,0.089,0.089
101,0.306,0.306,0.09,0.09
102,0.306,0.305,0.09,0.089
103,0.305,0.306,0.088,0.09
104,0.306,0.307,0.09,0.089
105,0.308,0.306,0.091,0.09
106,0.306,0.306,0.088,0.091
107,0.303,0.306,0.094,0.091
108,0.309,0.306,0.091,0.092
109,0.306,0.306,0.091,0.092
110,0.305,0.307,0.093,0.092
111,0.308,0.307,0.093,0.093
112,0.309,0.308,0.092,0.091
113,0.307,0.308,0.09,0.09
114,0.308,0.309,0.088,0.09
115,0.31,0.309,0.091,0.09
116,0.311,0.31,0.091,0.091
117,0.308,0.31,0.091,0.09
118,0.31,0.309,0.089,0.089
119,0.31,0.309,0.087,0.089
120,0.308,0.31,0.091,0.089
121,0.311,0.309,0.09,0.091
122,0.309,0.309,0.092,0.091
123,0.309,0.31,0.091,0.091
124,0.309,0.31,0.09,0.09
125,0.311,0.31,0.089,0.09
126,0.31,0.309,0.091,0.091
127,0.307,0.309,0.092,0.091
128,0.307,0.308,0.092,0.091
129,0.31,0.308,0.089,0.089
130,0.307,0.308,0.088,0.088
131,0.309,0.308,0.087,0.089
132,0.308,0.308,0.092,0.091
133,0.308,0.309,0.093,0.092
134,0.309,0.308,0.091,0.092
135,0.307,0.307,0.091,0.091
136,0.306,0.307,0.09,0.091
137,0.306,0.306,0.091,0.09
138,0.304,0.304,0.089,0.089
