,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.313,0.313,0.09,0.09
1,0.312,0.313,0.091,0.091
2,0.313,0.312,0.091,0.091
3,0.312,0.312,0.091,0.091
4,0.311,0.311,0.092,0.091
5,0.31,0.311,0.091,0.092
6,0.311,0.31,0.092,0.092
7,0.311,0.31,0.092,0.092
8,0.309,0.31,0.092,0.092
9,0.311,0.311,0.091,0.092
10,0.312,0.311,0.092,0.091
11,0.313,0.312,0.091,0.09
12,0.311,0.312,0.087,0.089
13,0.313,0.312,0.087,0.087
14,0.311,0.311,0.088,0.087
15,0.311,0.311,0.088,0.088
16,0.311,0.31,0.088,0.089
17,0.31,0.31,0.09,0.09
18,0.31,0.31,0.09,0.09
19,0.31,0.31,0.09,0.088
20,0.309,0.31,0.085,0.087
21,0.311,0.31,0.086,0.087
22,0.311,0.311,0.087,0.087
23,0.31,0.312,0.088,0.086
24,0.313,0.312,0.085,0.085
25,0.314,0.313,0.08,0.084
26,0.312,0.313,0.08,0.077
27,0.312,0.311,0.069,0.064
28,0.307,0.308,0.044,0.042
29,0.306,0.304,0.023,0.025
30,0.3,0.299,0.01,0.024
31,0.294,0.297,0.043,0.038
32,0.294,0.294,0.066,0.057
33,0.295,0.291,0.072,0.076
34,0.287,0.288,0.083,0.082
35,0.283,0.284,0.089,0.09
36,0.281,0.281,0.094,0.097
37,0.281,0.282,0.107,0.1
38,0.285,0.283,0.103,0.105
39,0.284,0.286,0.102,0.107
40,0.288,0.288,0.114,0.107
41,0.291,0.289,0.108,0.112
42,0.288,0.29,0.113,0.115
43,0.291,0.289,0.118,0.112
44,0.286,0.289,0.111,0.112
45,0.291,0.291,0.104,0.111
46,0.294,0.291,0.116,0.113
47,0.29,0.291,0.119,0.117
48,0.29,0.291,0.119,0.118
49,0.29,0.29,0.115,0.113
50,0.292,0.292,0.108,0.113
51,0.291,0.291,0.114,0.119
52,0.291,0.287,0.129,0.12
53,0.282,0.286,0.127,0.119
54,0.285,0.288,0.105,0.118
55,0.296,0.294,0.114,0.116
56,0.302,0.301,0.126,0.115
57,0.305,0.304,0.118,0.118
58,0.303,0.303,0.11,0.119
59,0.301,0.301,0.122,0.121
60,0.296,0.296,0.128,0.122
61,0.293,0.291,0.125,0.121
62,0.288,0.292,0.108,0.119
63,0.293,0.296,0.118,0.118
64,0.306,0.3,0.126,0.117
65,0.303,0.304,0.118,0.118
66,0.302,0.305,0.111,0.118
67,0.304,0.303,0.119,0.122
68,0.303,0.301,0.135,0.126
69,0.298,0.297,0.129,0.127
70,0.289,0.29,0.12,0.127
71,0.285,0.286,0.124,0.126
72,0.285,0.286,0.135,0.128
73,0.291,0.289,0.129,0.131
74,0.296,0.295,0.127,0.128
75,0.297,0.3,0.129,0.127
76,0.306,0.305,0.122,0.127
77,0.309,0.311,0.132,0.123
78,0.314,0.311,0.117,0.118
79,0.311,0.306,0.109,0.115
80,0.294,0.302,0.114,0.114
81,0.298,0.298,0.119,0.118
82,0.301,0.296,0.123,0.118
83,0.295,0.298,0.112,0.113
84,0.297,0.297,0.102,0.106
85,0.297,0.297,0.1,0.099
86,0.3,0.301,0.096,0.096
87,0.305,0.305,0.091,0.093
88,0.309,0.305,0.09,0.086
89,0.305,0.304,0.076,0.08
90,0.294,0.301,0.066,0.062
91,0.306,0.302,0.054,0.04
92,0.303,0.305,0.014,0.039
93,0.313,0.31,0.04,0.049
94,0.31,0.311,0.088,0.061
95,0.313,0.312,0.078,0.079
96,0.311,0.311,0.068,0.082
97,0.31,0.31,0.086,0.08
98,0.309,0.308,0.088,0.086
99,0.307,0.308,0.09,0.09
100,0.307,0.308,0.089,0.089
101,0.31,0.308,0.089,0.09
102,0.309,0.309,0.091,0.091
103,0.309,0.309,0.092,0.091
104,0.309,0.309,0.092,0.092
105,0.308,0.309,0.091,0.092
106,0.31,0.309,0.092,0.092
107,0.308,0.309,0.093,0.091
108,0.311,0.31,0.091,0.091
109,0.309,0.309,0.089,0.091
110,0.308,0.309,0.092,0.091
111,0.308,0.308,0.092,0.091
112,0.309,0.308,0.091,0.093
113,0.308,0.309,0.094,0.093
114,0.309,0.309,0.095,0.093
115,0.309,0.309,0.093,0.094
116,0.31,0.31,0.091,0.093
117,0.311,0.311,0.095,0.093
118,0.311,0.312,0.094,0.094
119,0.314,0.312,0.093,0.093
120,0.31,0.311,0.093,0.092
121,0.31,0.311,0.09,0.092
122,0.312,0.311,0.094,0.093
123,0.311,0.311,0.093,0.093
124,0.311,0.312,0.093,0.092
125,0.312,0.312,0.09,0.091
126,0.313,0.313,0.091,0.091
127,0.312,0.312,0.091,0.091
128,0.312,0.311,0.091,0.091
129,0.309,0.31,0.091,0.091
130,0.31,0.309,0.089,0.089
131,0.308,0.31,0.089,0.089
132,0.313,0.311,0.087,0.089
133,0.313,0.312,0.091,0.09
134,0.311,0.314,0.092,0.091
135,0.316,0.313,0.09,0.091
136,0.313,0.313,0.09,0.091
137,0.312,0.314,0.09,0.09
138,0.315,0.314,0.089,0.089
