,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.333,0.332,0.104,0.104
1,0.332,0.333,0.106,0.105
2,0.333,0.333,0.103,0.105
3,0.332,0.333,0.106,0.105
4,0.332,0.333,0.104,0.105
5,0.336,0.332,0.106,0.105
6,0.328,0.332,0.104,0.105
7,0.331,0.331,0.106,0.106
8,0.333,0.331,0.106,0.106
9,0.329,0.332,0.105,0.105
10,0.334,0.331,0.105,0.104
11,0.329,0.33,0.101,0.102
12,0.33,0.331,0.101,0.101
13,0.331,0.33,0.102,0.101
14,0.332,0.332,0.102,0.102
15,0.332,0.332,0.103,0.103
16,0.333,0.332,0.104,0.104
17,0.331,0.331,0.104,0.104
18,0.331,0.332,0.104,0.103
19,0.332,0.332,0.101,0.102
20,0.334,0.333,0.1,0.101
21,0.331,0.334,0.101,0.101
22,0.335,0.334,0.101,0.101
23,0.334,0.332,0.1,0.101
24,0.331,0.332,0.098,0.098
25,0.329,0.331,0.095,0.094
26,0.332,0.329,0.085,0.086
27,0.328,0.326,0.072,0.068
28,0.319,0.322,0.049,0.042
29,0.318,0.316,0.013,0.024
30,0.313,0.313,0.008,0.017
31,0.31,0.315,0.034,0.024
32,0.318,0.313,0.042,0.041
33,0.316,0.313,0.053,0.056
34,0.305,0.312,0.066,0.065
35,0.312,0.307,0.074,0.072
36,0.305,0.305,0.077,0.079
37,0.304,0.307,0.079,0.083
38,0.308,0.309,0.092,0.084
39,0.314,0.311,0.084,0.085
40,0.313,0.309,0.081,0.09
41,0.304,0.308,0.096,0.095
42,0.302,0.307,0.108,0.099
43,0.311,0.306,0.1,0.1
44,0.309,0.305,0.092,0.1
45,0.298,0.305,0.098,0.098
46,0.303,0.304,0.109,0.1
47,0.312,0.308,0.096,0.101
48,0.31,0.313,0.102,0.102
49,0.314,0.311,0.1,0.101
50,0.31,0.308,0.109,0.104
51,0.301,0.308,0.102,0.106
52,0.309,0.307,0.107,0.108
53,0.311,0.307,0.112,0.109
54,0.307,0.307,0.11,0.109
55,0.303,0.305,0.106,0.108
56,0.304,0.307,0.105,0.108
57,0.314,0.312,0.113,0.109
58,0.317,0.315,0.11,0.107
59,0.316,0.313,0.105,0.107
60,0.305,0.308,0.101,0.109
61,0.3,0.305,0.115,0.111
62,0.307,0.303,0.119,0.11
63,0.304,0.302,0.1,0.106
64,0.3,0.3,0.095,0.1
65,0.296,0.299,0.099,0.095
66,0.3,0.302,0.096,0.092
67,0.31,0.308,0.089,0.089
68,0.312,0.312,0.082,0.09
69,0.315,0.312,0.096,0.094
70,0.306,0.31,0.104,0.097
71,0.308,0.308,0.097,0.098
72,0.308,0.308,0.093,0.097
73,0.308,0.31,0.097,0.099
74,0.313,0.31,0.11,0.108
75,0.309,0.31,0.114,0.112
76,0.309,0.311,0.118,0.116
77,0.312,0.31,0.107,0.113
78,0.312,0.31,0.117,0.111
79,0.31,0.314,0.104,0.11
80,0.314,0.316,0.112,0.11
81,0.326,0.32,0.111,0.106
82,0.319,0.324,0.101,0.107
83,0.326,0.326,0.104,0.107
84,0.326,0.323,0.112,0.108
85,0.321,0.321,0.112,0.107
86,0.312,0.313,0.098,0.101
87,0.308,0.307,0.09,0.094
88,0.302,0.304,0.089,0.089
89,0.306,0.307,0.088,0.087
90,0.316,0.315,0.082,0.082
91,0.323,0.326,0.071,0.07
92,0.337,0.334,0.055,0.047
93,0.34,0.337,0.031,0.032
94,0.333,0.335,0.016,0.039
95,0.331,0.329,0.059,0.057
96,0.322,0.325,0.103,0.077
97,0.324,0.325,0.085,0.093
98,0.324,0.323,0.08,0.093
99,0.327,0.323,0.102,0.092
100,0.318,0.322,0.097,0.099
101,0.321,0.32,0.103,0.103
102,0.32,0.32,0.1,0.101
103,0.322,0.322,0.102,0.102
104,0.324,0.322,0.1,0.1
105,0.322,0.324,0.101,0.101
106,0.325,0.326,0.1,0.101
107,0.33,0.327,0.104,0.101
108,0.326,0.327,0.101,0.102
109,0.324,0.326,0.099,0.101
110,0.324,0.323,0.103,0.1
111,0.324,0.323,0.099,0.099
112,0.32,0.321,0.099,0.099
113,0.323,0.321,0.097,0.099
114,0.318,0.321,0.101,0.099
115,0.325,0.324,0.099,0.099
116,0.324,0.325,0.098,0.099
117,0.328,0.325,0.098,0.099
118,0.322,0.324,0.101,0.1
119,0.322,0.324,0.101,0.1
120,0.326,0.324,0.097,0.099
121,0.325,0.326,0.099,0.098
122,0.326,0.326,0.098,0.098
123,0.328,0.324,0.1,0.1
124,0.321,0.324,0.1,0.101
125,0.321,0.324,0.103,0.102
126,0.328,0.325,0.103,0.102
127,0.328,0.329,0.099,0.102
128,0.33,0.331,0.103,0.101
129,0.332,0.331,0.1,0.1
130,0.331,0.331,0.1,0.102
131,0.328,0.328,0.103,0.102
132,0.326,0.326,0.104,0.103
133,0.323,0.325,0.103,0.103
134,0.328,0.326,0.1,0.102
135,0.327,0.327,0.102,0.101
136,0.329,0.327,0.1,0.101
137,0.325,0.327,0.102,0.102
138,0.326,0.326,0.103,0.103
