,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.403,0.404,0.098,0.097
1,0.404,0.403,0.097,0.098
2,0.404,0.402,0.098,0.098
3,0.399,0.402,0.099,0.098
4,0.401,0.4,0.098,0.097
5,0.401,0.4,0.094,0.095
6,0.4,0.401,0.094,0.094
7,0.402,0.401,0.094,0.094
8,0.402,0.402,0.094,0.094
9,0.401,0.401,0.095,0.095
10,0.4,0.4,0.095,0.095
11,0.398,0.399,0.095,0.095
12,0.401,0.399,0.096,0.096
13,0.399,0.4,0.096,0.096
14,0.401,0.402,0.096,0.096
15,0.405,0.402,0.096,0.096
16,0.402,0.403,0.097,0.097
17,0.401,0.403,0.097,0.097
18,0.403,0.403,0.098,0.096
19,0.405,0.404,0.093,0.095
20,0.406,0.405,0.094,0.095
21,0.403,0.405,0.096,0.094
22,0.404,0.404,0.095,0.096
23,0.407,0.405,0.095,0.095
24,0.4,0.404,0.096,0.094
25,0.407,0.402,0.089,0.093
26,0.395,0.399,0.09,0.087
27,0.398,0.397,0.078,0.076
28,0.392,0.393,0.06,0.058
29,0.392,0.389,0.039,0.039
30,0.383,0.384,0.019,0.027
31,0.374,0.378,0.024,0.023
32,0.379,0.373,0.031,0.027
33,0.365,0.369,0.034,0.036
34,0.369,0.368,0.044,0.046
35,0.365,0.367,0.056,0.056
36,0.373,0.371,0.069,0.063
37,0.374,0.374,0.067,0.069
38,0.375,0.375,0.067,0.07
39,0.374,0.372,0.077,0.072
40,0.369,0.371,0.072,0.078
41,0.368,0.369,0.085,0.082
42,0.371,0.367,0.087,0.083
43,0.364,0.367,0.082,0.086
44,0.366,0.368,0.085,0.086
45,0.371,0.367,0.089,0.088
46,0.367,0.367,0.093,0.092
47,0.36,0.361,0.095,0.097
48,0.357,0.355,0.099,0.099
49,0.349,0.352,0.103,0.099
50,0.352,0.354,0.097,0.1
51,0.359,0.356,0.097,0.1
52,0.362,0.36,0.104,0.1
53,0.357,0.361,0.101,0.1
54,0.365,0.363,0.097,0.1
55,0.364,0.365,0.098,0.1
56,0.369,0.369,0.104,0.1
57,0.37,0.37,0.101,0.103
58,0.372,0.371,0.1,0.102
59,0.37,0.37,0.105,0.099
60,0.366,0.368,0.095,0.099
61,0.368,0.367,0.096,0.101
62,0.367,0.367,0.108,0.1
63,0.366,0.367,0.103,0.105
64,0.368,0.366,0.101,0.105
65,0.364,0.363,0.109,0.102
66,0.36,0.36,0.099,0.103
67,0.355,0.361,0.103,0.104
68,0.366,0.366,0.107,0.104
69,0.375,0.368,0.106,0.105
70,0.369,0.367,0.103,0.104
71,0.357,0.365,0.101,0.104
72,0.36,0.363,0.107,0.105
73,0.373,0.364,0.107,0.104
74,0.364,0.368,0.104,0.106
75,0.368,0.37,0.101,0.106
76,0.372,0.372,0.111,0.103
77,0.377,0.376,0.101,0.102
78,0.376,0.373,0.095,0.1
79,0.368,0.368,0.101,0.101
80,0.357,0.363,0.104,0.102
81,0.363,0.359,0.105,0.1
82,0.36,0.361,0.09,0.096
83,0.363,0.365,0.089,0.092
84,0.372,0.369,0.091,0.085
85,0.372,0.375,0.085,0.083
86,0.381,0.38,0.068,0.078
87,0.385,0.383,0.078,0.073
88,0.382,0.382,0.067,0.067
89,0.38,0.378,0.059,0.055
90,0.371,0.375,0.037,0.032
91,0.377,0.377,0.017,0.023
92,0.382,0.383,0.016,0.034
93,0.392,0.391,0.064,0.057
94,0.399,0.395,0.098,0.079
95,0.395,0.398,0.086,0.093
96,0.398,0.399,0.084,0.092
97,0.401,0.399,0.096,0.092
98,0.4,0.4,0.098,0.097
99,0.398,0.399,0.099,0.1
100,0.401,0.399,0.099,0.099
101,0.396,0.399,0.098,0.099
102,0.4,0.399,0.099,0.099
103,0.4,0.398,0.099,0.098
104,0.396,0.398,0.098,0.098
105,0.399,0.398,0.095,0.097
106,0.397,0.397,0.098,0.097
107,0.4,0.399,0.097,0.098
108,0.396,0.399,0.1,0.099
109,0.403,0.399,0.098,0.098
110,0.397,0.399,0.098,0.098
111,0.398,0.398,0.096,0.098
112,0.4,0.398,0.101,0.099
113,0.396,0.399,0.099,0.098
114,0.403,0.4,0.097,0.098
115,0.397,0.4,0.096,0.096
116,0.403,0.399,0.098,0.096
117,0.395,0.397,0.094,0.097
118,0.397,0.397,0.098,0.097
119,0.396,0.396,0.098,0.097
120,0.4,0.398,0.095,0.097
121,0.397,0.399,0.098,0.097
122,0.4,0.399,0.098,0.097
123,0.399,0.398,0.097,0.097
124,0.396,0.399,0.096,0.096
125,0.4,0.399,0.094,0.097
126,0.401,0.4,0.1,0.098
127,0.402,0.401,0.099,0.099
128,0.399,0.4,0.099,0.099
129,0.4,0.399,0.097,0.098
130,0.399,0.399,0.097,0.097
131,0.398,0.399,0.097,0.097
132,0.4,0.399,0.097,0.097
133,0.4,0.4,0.096,0.097
134,0.401,0.401,0.098,0.097
135,0.401,0.4,0.098,0.098
136,0.399,0.4,0.099,0.099
137,0.399,0.401,0.099,0.099
138,0.403,0.402,0.099,0.099
