,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.31,0.311,0.079,0.079
1,0.312,0.311,0.081,0.08
2,0.312,0.311,0.081,0.082
3,0.312,0.311,0.083,0.082
4,0.307,0.31,0.083,0.083
5,0.311,0.311,0.084,0.084
6,0.312,0.311,0.085,0.085
7,0.312,0.311,0.086,0.086
8,0.308,0.31,0.086,0.086
9,0.309,0.309,0.087,0.086
10,0.31,0.309,0.085,0.086
11,0.309,0.308,0.087,0.087
12,0.307,0.308,0.087,0.087
13,0.307,0.309,0.087,0.087
14,0.31,0.309,0.087,0.087
15,0.311,0.309,0.088,0.088
16,0.306,0.308,0.088,0.088
17,0.306,0.307,0.088,0.086
18,0.309,0.307,0.082,0.084
19,0.308,0.307,0.083,0.083
20,0.306,0.307,0.083,0.083
21,0.305,0.306,0.084,0.084
22,0.306,0.306,0.083,0.083
23,0.307,0.306,0.083,0.083
24,0.305,0.305,0.076,0.079
25,0.304,0.305,0.074,0.07
26,0.303,0.302,0.055,0.049
27,0.304,0.301,0.033,0.031
28,0.291,0.297,0.005,0.023
29,0.297,0.292,0.039,0.034
30,0.284,0.286,0.059,0.057
31,0.283,0.284,0.086,0.081
32,0.28,0.28,0.092,0.093
33,0.281,0.278,0.099,0.1
34,0.275,0.275,0.102,0.103
35,0.271,0.274,0.106,0.106
36,0.276,0.275,0.108,0.108
37,0.279,0.279,0.109,0.109
38,0.284,0.283,0.111,0.109
39,0.286,0.287,0.106,0.107
40,0.289,0.29,0.107,0.108
41,0.293,0.29,0.108,0.11
42,0.289,0.288,0.117,0.111
43,0.284,0.285,0.112,0.115
44,0.282,0.285,0.112,0.117
45,0.286,0.286,0.126,0.117
46,0.292,0.288,0.117,0.119
47,0.287,0.291,0.117,0.124
48,0.291,0.29,0.127,0.124
49,0.29,0.286,0.135,0.126
50,0.282,0.285,0.118,0.126
51,0.283,0.286,0.12,0.123
52,0.291,0.29,0.126,0.119
53,0.297,0.296,0.117,0.12
54,0.299,0.298,0.116,0.12
55,0.296,0.297,0.123,0.119
56,0.293,0.294,0.123,0.122
57,0.291,0.289,0.118,0.122
58,0.286,0.286,0.123,0.12
59,0.282,0.285,0.119,0.116
60,0.289,0.288,0.114,0.118
61,0.293,0.293,0.115,0.12
62,0.299,0.299,0.131,0.124
63,0.303,0.301,0.128,0.128
64,0.301,0.3,0.127,0.128
65,0.295,0.297,0.125,0.123
66,0.292,0.292,0.119,0.121
67,0.291,0.29,0.119,0.119
68,0.288,0.291,0.12,0.119
69,0.294,0.292,0.119,0.118
70,0.292,0.292,0.118,0.119
71,0.293,0.291,0.119,0.122
72,0.287,0.291,0.127,0.123
73,0.29,0.292,0.124,0.122
74,0.297,0.292,0.116,0.119
75,0.291,0.292,0.115,0.117
76,0.288,0.29,0.117,0.117
77,0.287,0.286,0.122,0.117
78,0.287,0.287,0.113,0.116
79,0.287,0.289,0.111,0.114
80,0.292,0.293,0.116,0.111
81,0.297,0.295,0.111,0.111
82,0.298,0.296,0.108,0.114
83,0.293,0.295,0.115,0.116
84,0.293,0.294,0.126,0.119
85,0.294,0.294,0.116,0.12
86,0.296,0.295,0.115,0.116
87,0.294,0.295,0.112,0.11
88,0.295,0.293,0.105,0.105
89,0.293,0.293,0.097,0.097
90,0.289,0.292,0.087,0.087
91,0.297,0.293,0.078,0.079
92,0.29,0.294,0.065,0.057
93,0.3,0.298,0.054,0.051
94,0.297,0.301,0.02,0.054
95,0.309,0.303,0.09,0.06
96,0.304,0.304,0.074,0.07
97,0.299,0.305,0.062,0.079
98,0.309,0.305,0.081,0.074
99,0.308,0.307,0.082,0.081
100,0.307,0.307,0.087,0.086
101,0.304,0.305,0.086,0.086
102,0.305,0.305,0.085,0.088
103,0.307,0.306,0.09,0.088
104,0.306,0.307,0.09,0.089
105,0.308,0.307,0.086,0.09
106,0.307,0.308,0.091,0.089
107,0.308,0.309,0.09,0.089
108,0.311,0.31,0.087,0.088
109,0.309,0.31,0.085,0.086
110,0.311,0.31,0.086,0.085
111,0.308,0.309,0.085,0.085
112,0.309,0.309,0.082,0.084
113,0.308,0.307,0.086,0.083
114,0.306,0.306,0.083,0.084
115,0.306,0.307,0.083,0.085
116,0.307,0.308,0.087,0.085
117,0.311,0.308,0.086,0.086
118,0.307,0.309,0.086,0.086
119,0.308,0.309,0.084,0.086
120,0.309,0.308,0.088,0.086
121,0.309,0.309,0.087,0.086
122,0.309,0.31,0.084,0.085
123,0.31,0.31,0.084,0.083
124,0.311,0.31,0.082,0.083
125,0.31,0.31,0.082,0.083
126,0.308,0.309,0.085,0.084
127,0.308,0.308,0.085,0.084
128,0.308,0.307,0.083,0.084
129,0.304,0.306,0.083,0.082
130,0.306,0.305,0.081,0.081
131,0.306,0.306,0.081,0.081
132,0.307,0.308,0.081,0.081
133,0.308,0.308,0.081,0.081
134,0.309,0.308,0.081,0.081
135,0.306,0.308,0.08,0.082
136,0.309,0.308,0.084,0.083
137,0.308,0.307,0.084,0.084
138,0.306,0.306,0.085,0.085
