,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.307,0.305,0.092,0.091
1,0.302,0.304,0.091,0.091
2,0.303,0.304,0.09,0.091
3,0.304,0.303,0.092,0.092
4,0.304,0.304,0.093,0.093
5,0.304,0.304,0.095,0.094
6,0.303,0.304,0.094,0.094
7,0.303,0.302,0.094,0.095
8,0.302,0.301,0.095,0.094
9,0.296,0.299,0.094,0.093
10,0.304,0.3,0.093,0.093
11,0.297,0.301,0.09,0.092
12,0.309,0.305,0.094,0.092
13,0.302,0.304,0.091,0.092
14,0.308,0.304,0.093,0.093
15,0.297,0.3,0.093,0.092
16,0.299,0.3,0.093,0.093
17,0.298,0.298,0.093,0.094
18,0.304,0.301,0.095,0.095
19,0.297,0.3,0.095,0.095
20,0.303,0.301,0.096,0.095
21,0.297,0.298,0.093,0.095
22,0.302,0.298,0.096,0.094
23,0.292,0.297,0.091,0.093
24,0.3,0.299,0.091,0.091
25,0.302,0.3,0.09,0.088
26,0.3,0.302,0.083,0.086
27,0.302,0.302,0.082,0.083
28,0.3,0.302,0.074,0.074
29,0.303,0.299,0.064,0.052
30,0.295,0.295,0.03,0.031
31,0.286,0.29,0.001,0.02
32,0.284,0.283,0.027,0.023
33,0.281,0.278,0.047,0.04
34,0.274,0.275,0.059,0.06
35,0.269,0.274,0.069,0.072
36,0.279,0.277,0.082,0.081
37,0.284,0.28,0.091,0.088
38,0.282,0.284,0.092,0.093
39,0.278,0.281,0.094,0.095
40,0.284,0.276,0.098,0.099
41,0.267,0.273,0.104,0.103
42,0.27,0.271,0.109,0.109
43,0.272,0.269,0.11,0.112
44,0.27,0.271,0.118,0.114
45,0.271,0.271,0.111,0.116
46,0.272,0.273,0.119,0.114
47,0.276,0.277,0.112,0.112
48,0.283,0.279,0.107,0.113
49,0.28,0.279,0.117,0.113
50,0.274,0.276,0.118,0.117
51,0.272,0.272,0.118,0.122
52,0.272,0.272,0.125,0.122
53,0.272,0.273,0.126,0.125
54,0.276,0.272,0.123,0.126
55,0.269,0.269,0.128,0.125
56,0.266,0.268,0.124,0.124
57,0.267,0.269,0.123,0.123
58,0.275,0.272,0.12,0.122
59,0.275,0.275,0.125,0.128
60,0.275,0.277,0.131,0.13
61,0.278,0.277,0.142,0.132
62,0.275,0.275,0.123,0.134
63,0.274,0.273,0.136,0.137
64,0.268,0.269,0.141,0.135
65,0.267,0.265,0.138,0.135
66,0.26,0.263,0.122,0.129
67,0.263,0.263,0.125,0.123
68,0.268,0.268,0.124,0.124
69,0.272,0.274,0.124,0.127
70,0.282,0.276,0.133,0.127
71,0.276,0.276,0.126,0.127
72,0.27,0.275,0.122,0.127
73,0.276,0.275,0.127,0.126
74,0.277,0.275,0.128,0.123
75,0.276,0.274,0.122,0.122
76,0.268,0.272,0.111,0.121
77,0.271,0.271,0.124,0.116
78,0.274,0.272,0.118,0.112
79,0.273,0.274,0.102,0.111
80,0.276,0.277,0.106,0.108
81,0.279,0.281,0.114,0.109
82,0.287,0.285,0.11,0.109
83,0.286,0.285,0.106,0.108
84,0.284,0.282,0.101,0.105
85,0.274,0.278,0.106,0.103
86,0.276,0.276,0.099,0.097
87,0.28,0.282,0.085,0.088
88,0.287,0.288,0.071,0.07
89,0.301,0.294,0.058,0.046
90,0.291,0.297,0.025,0.033
91,0.301,0.298,0.018,0.039
92,0.296,0.297,0.065,0.052
93,0.298,0.3,0.087,0.073
94,0.302,0.302,0.073,0.085
95,0.306,0.303,0.085,0.083
96,0.304,0.302,0.084,0.084
97,0.296,0.3,0.086,0.089
98,0.299,0.299,0.096,0.09
99,0.301,0.302,0.089,0.092
100,0.307,0.304,0.094,0.094
101,0.305,0.303,0.094,0.094
102,0.298,0.301,0.098,0.096
103,0.299,0.298,0.094,0.095
104,0.298,0.298,0.094,0.094
105,0.298,0.298,0.092,0.093
106,0.3,0.298,0.095,0.094
107,0.296,0.299,0.095,0.094
108,0.299,0.299,0.093,0.095
109,0.302,0.299,0.097,0.095
110,0.297,0.3,0.095,0.097
111,0.298,0.298,0.099,0.097
112,0.298,0.295,0.097,0.097
113,0.294,0.295,0.096,0.097
114,0.289,0.292,0.096,0.097
115,0.298,0.294,0.098,0.097
116,0.293,0.299,0.098,0.097
117,0.306,0.303,0.094,0.097
118,0.309,0.303,0.097,0.096
119,0.298,0.303,0.098,0.096
120,0.299,0.299,0.094,0.097
121,0.3,0.299,0.098,0.097
122,0.298,0.301,0.1,0.097
123,0.308,0.303,0.096,0.098
124,0.302,0.306,0.096,0.097
125,0.309,0.307,0.099,0.098
126,0.308,0.305,0.098,0.098
127,0.301,0.307,0.098,0.097
128,0.308,0.305,0.095,0.095
129,0.308,0.304,0.093,0.094
130,0.299,0.303,0.093,0.093
131,0.3,0.3,0.094,0.095
132,0.301,0.299,0.097,0.096
133,0.298,0.299,0.099,0.097
134,0.298,0.298,0.096,0.097
135,0.299,0.297,0.096,0.097
136,0.297,0.298,0.098,0.097
137,0.298,0.299,0.098,0.098
138,0.302,0.301,0.099,0.099
