,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.364,0.365,0.094,0.094
1,0.367,0.365,0.095,0.095
2,0.367,0.366,0.095,0.095
3,0.365,0.366,0.095,0.095
4,0.367,0.367,0.095,0.095
5,0.367,0.368,0.095,0.095
6,0.37,0.368,0.095,0.095
7,0.367,0.367,0.094,0.095
8,0.366,0.367,0.097,0.096
9,0.367,0.368,0.096,0.097
10,0.371,0.369,0.097,0.097
11,0.37,0.369,0.097,0.097
12,0.367,0.369,0.096,0.097
13,0.367,0.368,0.098,0.097
14,0.37,0.369,0.096,0.095
15,0.369,0.369,0.093,0.094
16,0.37,0.369,0.093,0.094
17,0.368,0.369,0.095,0.094
18,0.369,0.37,0.095,0.095
19,0.372,0.369,0.094,0.095
20,0.369,0.37,0.095,0.095
21,0.368,0.37,0.096,0.096
22,0.371,0.369,0.097,0.097
23,0.368,0.368,0.098,0.097
24,0.366,0.366,0.097,0.096
25,0.364,0.365,0.092,0.093
26,0.365,0.365,0.089,0.089
27,0.365,0.364,0.083,0.082
28,0.363,0.364,0.073,0.076
29,0.361,0.359,0.064,0.061
30,0.357,0.356,0.051,0.045
31,0.348,0.353,0.019,0.028
32,0.354,0.35,0.017,0.013
33,0.346,0.347,0.005,0.005
34,0.343,0.342,0.003,0.009
35,0.338,0.336,0.017,0.013
36,0.327,0.332,0.027,0.024
37,0.333,0.332,0.029,0.036
38,0.334,0.334,0.05,0.045
39,0.338,0.337,0.053,0.05
40,0.338,0.337,0.053,0.055
41,0.332,0.332,0.054,0.057
42,0.332,0.33,0.065,0.063
43,0.317,0.328,0.068,0.067
44,0.338,0.325,0.071,0.07
45,0.32,0.323,0.066,0.067
46,0.317,0.322,0.065,0.062
47,0.322,0.317,0.057,0.061
48,0.318,0.323,0.061,0.064
49,0.325,0.325,0.071,0.065
50,0.331,0.323,0.07,0.069
51,0.318,0.322,0.063,0.069
52,0.316,0.32,0.069,0.061
53,0.324,0.321,0.058,0.058
54,0.326,0.328,0.049,0.061
55,0.335,0.335,0.068,0.066
56,0.34,0.338,0.078,0.067
57,0.338,0.336,0.068,0.067
58,0.333,0.332,0.048,0.061
59,0.325,0.334,0.065,0.061
60,0.34,0.339,0.067,0.064
61,0.351,0.341,0.071,0.07
62,0.344,0.346,0.063,0.066
63,0.337,0.348,0.067,0.062
64,0.357,0.349,0.056,0.061
65,0.354,0.352,0.062,0.064
66,0.349,0.351,0.068,0.064
67,0.343,0.345,0.067,0.063
68,0.342,0.342,0.055,0.058
69,0.342,0.342,0.054,0.06
70,0.343,0.344,0.065,0.065
71,0.348,0.349,0.079,0.072
72,0.351,0.352,0.074,0.076
73,0.356,0.35,0.072,0.076
74,0.343,0.343,0.076,0.076
75,0.333,0.34,0.075,0.068
76,0.336,0.34,0.069,0.068
77,0.352,0.344,0.046,0.068
78,0.346,0.345,0.088,0.067
79,0.34,0.341,0.067,0.066
80,0.334,0.335,0.056,0.066
81,0.333,0.336,0.06,0.059
82,0.34,0.339,0.067,0.064
83,0.346,0.345,0.066,0.07
84,0.347,0.346,0.07,0.068
85,0.344,0.341,0.066,0.06
86,0.333,0.334,0.044,0.048
87,0.329,0.332,0.031,0.031
88,0.334,0.337,0.024,0.02
89,0.35,0.349,0.016,0.028
90,0.361,0.357,0.045,0.048
91,0.363,0.361,0.081,0.07
92,0.355,0.358,0.092,0.087
93,0.354,0.354,0.085,0.092
94,0.352,0.353,0.09,0.089
95,0.355,0.354,0.09,0.089
96,0.355,0.354,0.088,0.091
97,0.354,0.354,0.093,0.091
98,0.353,0.354,0.093,0.092
99,0.353,0.354,0.093,0.093
100,0.357,0.355,0.093,0.093
101,0.356,0.358,0.095,0.095
102,0.36,0.359,0.096,0.097
103,0.36,0.359,0.099,0.098
104,0.357,0.359,0.1,0.099
105,0.36,0.361,0.097,0.1
106,0.363,0.362,0.1,0.099
107,0.366,0.363,0.101,0.099
108,0.36,0.362,0.096,0.098
109,0.361,0.361,0.097,0.097
110,0.361,0.361,0.096,0.097
111,0.363,0.363,0.098,0.098
112,0.366,0.364,0.099,0.098
113,0.364,0.364,0.098,0.099
114,0.363,0.363,0.099,0.099
115,0.36,0.362,0.1,0.099
116,0.363,0.362,0.1,0.1
117,0.363,0.363,0.1,0.101
118,0.362,0.363,0.102,0.101
119,0.365,0.363,0.1,0.101
120,0.36,0.362,0.101,0.1
121,0.363,0.362,0.099,0.099
122,0.362,0.362,0.098,0.098
123,0.362,0.363,0.097,0.096
124,0.362,0.363,0.096,0.096
125,0.364,0.363,0.093,0.096
126,0.363,0.363,0.098,0.096
127,0.363,0.362,0.097,0.096
128,0.361,0.362,0.096,0.097
129,0.361,0.362,0.096,0.097
130,0.364,0.362,0.098,0.097
131,0.361,0.362,0.096,0.097
132,0.361,0.361,0.096,0.096
133,0.362,0.361,0.095,0.095
134,0.36,0.362,0.095,0.094
135,0.363,0.362,0.092,0.094
136,0.363,0.363,0.096,0.095
137,0.364,0.364,0.099,0.097
138,0.365,0.365,0.098,0.099
