,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.304,0.304,0.096,0.095
1,0.304,0.304,0.093,0.094
2,0.304,0.305,0.092,0.093
3,0.307,0.305,0.093,0.093
4,0.304,0.306,0.094,0.093
5,0.307,0.306,0.094,0.094
6,0.306,0.306,0.094,0.094
7,0.306,0.307,0.095,0.094
8,0.308,0.308,0.094,0.094
9,0.31,0.308,0.093,0.094
10,0.306,0.307,0.094,0.094
11,0.305,0.306,0.094,0.094
12,0.306,0.305,0.094,0.093
13,0.306,0.306,0.09,0.092
14,0.306,0.307,0.091,0.091
15,0.309,0.307,0.092,0.092
16,0.305,0.307,0.093,0.093
17,0.306,0.307,0.093,0.093
18,0.308,0.307,0.093,0.093
19,0.309,0.308,0.093,0.093
20,0.306,0.308,0.093,0.093
21,0.311,0.308,0.092,0.091
22,0.305,0.308,0.089,0.09
23,0.308,0.307,0.088,0.089
24,0.307,0.306,0.088,0.087
25,0.306,0.307,0.081,0.081
26,0.306,0.307,0.069,0.064
27,0.306,0.304,0.047,0.045
28,0.3,0.299,0.022,0.032
29,0.291,0.292,0.033,0.035
30,0.289,0.289,0.052,0.052
31,0.284,0.288,0.078,0.074
32,0.294,0.289,0.092,0.087
33,0.288,0.287,0.091,0.093
34,0.284,0.283,0.094,0.098
35,0.274,0.279,0.099,0.103
36,0.279,0.278,0.116,0.107
37,0.283,0.28,0.108,0.11
38,0.283,0.285,0.106,0.113
39,0.287,0.289,0.114,0.109
40,0.294,0.29,0.115,0.11
41,0.29,0.287,0.102,0.11
42,0.281,0.284,0.112,0.11
43,0.275,0.279,0.115,0.113
44,0.283,0.277,0.117,0.118
45,0.277,0.279,0.119,0.118
46,0.281,0.284,0.119,0.119
47,0.289,0.288,0.119,0.124
48,0.298,0.295,0.128,0.128
49,0.297,0.298,0.138,0.132
50,0.298,0.297,0.128,0.131
51,0.293,0.292,0.128,0.126
52,0.289,0.292,0.12,0.125
53,0.29,0.293,0.128,0.13
54,0.298,0.293,0.141,0.135
55,0.296,0.294,0.14,0.142
56,0.288,0.293,0.142,0.143
57,0.292,0.288,0.142,0.139
58,0.287,0.288,0.136,0.133
59,0.288,0.292,0.124,0.129
60,0.299,0.297,0.122,0.127
61,0.304,0.304,0.133,0.124
62,0.308,0.306,0.123,0.118
63,0.306,0.306,0.108,0.119
64,0.298,0.3,0.115,0.122
65,0.298,0.292,0.143,0.128
66,0.281,0.288,0.136,0.136
67,0.287,0.289,0.131,0.14
68,0.295,0.289,0.14,0.139
69,0.294,0.292,0.146,0.137
70,0.288,0.293,0.133,0.134
71,0.293,0.291,0.117,0.127
72,0.296,0.293,0.127,0.121
73,0.292,0.298,0.122,0.12
74,0.305,0.302,0.118,0.119
75,0.306,0.302,0.117,0.117
76,0.302,0.304,0.116,0.12
77,0.296,0.3,0.126,0.122
78,0.303,0.298,0.123,0.121
79,0.294,0.296,0.118,0.122
80,0.293,0.293,0.114,0.117
81,0.292,0.29,0.122,0.113
82,0.289,0.293,0.104,0.108
83,0.299,0.299,0.105,0.108
84,0.306,0.305,0.11,0.113
85,0.311,0.308,0.128,0.124
86,0.308,0.308,0.134,0.133
87,0.3,0.303,0.134,0.134
88,0.302,0.297,0.129,0.125
89,0.287,0.29,0.11,0.114
90,0.287,0.285,0.096,0.097
91,0.279,0.282,0.086,0.077
92,0.287,0.287,0.064,0.072
93,0.291,0.294,0.059,0.074
94,0.306,0.3,0.098,0.08
95,0.305,0.302,0.089,0.088
96,0.296,0.302,0.086,0.092
97,0.3,0.3,0.089,0.088
98,0.303,0.301,0.093,0.092
99,0.304,0.304,0.094,0.095
100,0.305,0.305,0.097,0.097
101,0.306,0.305,0.099,0.098
102,0.304,0.306,0.099,0.099
103,0.306,0.305,0.099,0.098
104,0.305,0.304,0.098,0.098
105,0.303,0.305,0.096,0.098
106,0.305,0.305,0.099,0.097
107,0.307,0.305,0.098,0.097
108,0.304,0.306,0.095,0.098
109,0.306,0.305,0.098,0.096
110,0.306,0.305,0.097,0.096
111,0.305,0.306,0.092,0.095
112,0.307,0.306,0.098,0.095
113,0.306,0.307,0.094,0.096
114,0.308,0.308,0.098,0.096
115,0.309,0.309,0.094,0.095
116,0.309,0.309,0.093,0.094
117,0.309,0.308,0.096,0.095
118,0.307,0.307,0.095,0.096
119,0.304,0.305,0.099,0.098
120,0.305,0.305,0.097,0.098
121,0.305,0.305,0.1,0.098
122,0.306,0.305,0.095,0.096
123,0.305,0.306,0.095,0.097
124,0.305,0.305,0.098,0.096
125,0.306,0.305,0.098,0.097
126,0.304,0.305,0.094,0.097
127,0.306,0.306,0.098,0.097
128,0.306,0.305,0.098,0.097
129,0.305,0.306,0.097,0.097
130,0.304,0.304,0.095,0.095
131,0.306,0.305,0.094,0.093
132,0.303,0.305,0.091,0.094
133,0.308,0.305,0.096,0.095
134,0.304,0.306,0.098,0.097
135,0.306,0.306,0.097,0.097
136,0.308,0.307,0.096,0.097
137,0.306,0.307,0.095,0.096
138,0.307,0.307,0.095,0.094
