,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed 
0,0.401,0.404,0.105,0.105
1,0.41,0.404,0.104,0.105
2,0.401,0.404,0.105,0.105
3,0.403,0.404,0.105,0.104
4,0.402,0.403,0.104,0.104
5,0.406,0.403,0.103,0.104
6,0.403,0.404,0.104,0.103
7,0.403,0.405,0.103,0.103
8,0.408,0.404,0.103,0.104
9,0.404,0.405,0.104,0.104
10,0.403,0.404,0.105,0.105
11,0.405,0.405,0.105,0.105
12,0.407,0.407,0.104,0.104
13,0.412,0.409,0.104,0.102
14,0.407,0.409,0.099,0.101
15,0.409,0.408,0.101,0.1
16,0.406,0.407,0.101,0.1
17,0.408,0.407,0.101,0.102
18,0.406,0.407,0.102,0.102
19,0.407,0.408,0.104,0.103
20,0.409,0.407,0.102,0.104
21,0.408,0.407,0.104,0.103
22,0.404,0.407,0.104,0.103
23,0.407,0.407,0.101,0.102
24,0.41,0.409,0.101,0.1
25,0.412,0.41,0.098,0.099
26,0.411,0.411,0.098,0.098
27,0.407,0.41,0.097,0.097
28,0.412,0.41,0.094,0.095
29,0.409,0.408,0.089,0.088
30,0.408,0.409,0.078,0.075
31,0.404,0.407,0.057,0.058
32,0.408,0.405,0.037,0.037
33,0.4,0.4,0.02,0.017
34,0.395,0.393,0.002,0.009
35,0.381,0.384,0.008,0.009
36,0.377,0.378,0.026,0.02
37,0.375,0.372,0.031,0.035
38,0.369,0.369,0.052,0.047
39,0.364,0.369,0.056,0.057
40,0.372,0.371,0.065,0.069
41,0.376,0.373,0.078,0.075
42,0.376,0.373,0.085,0.081
43,0.364,0.369,0.081,0.087
44,0.365,0.364,0.088,0.09
45,0.364,0.361,0.098,0.092
46,0.357,0.36,0.093,0.094
47,0.361,0.362,0.092,0.095
48,0.365,0.366,0.095,0.096
49,0.373,0.369,0.101,0.098
50,0.37,0.368,0.102,0.103
51,0.365,0.369,0.102,0.108
52,0.364,0.37,0.113,0.106
53,0.381,0.372,0.109,0.104
54,0.372,0.374,0.093,0.104
55,0.37,0.374,0.105,0.104
56,0.373,0.368,0.113,0.106
57,0.367,0.366,0.109,0.11
58,0.358,0.365,0.104,0.108
59,0.368,0.365,0.11,0.106
60,0.369,0.368,0.104,0.105
61,0.372,0.373,0.104,0.107
62,0.374,0.374,0.107,0.108
63,0.379,0.377,0.116,0.111
64,0.375,0.379,0.109,0.11
65,0.382,0.379,0.107,0.109
66,0.38,0.377,0.104,0.106
67,0.37,0.372,0.109,0.105
68,0.367,0.365,0.104,0.104
69,0.358,0.361,0.098,0.103
70,0.36,0.36,0.104,0.101
71,0.364,0.363,0.101,0.101
72,0.364,0.367,0.099,0.1
73,0.371,0.366,0.099,0.097
74,0.364,0.363,0.095,0.097
75,0.357,0.361,0.096,0.099
76,0.359,0.359,0.102,0.097
77,0.363,0.362,0.098,0.096
78,0.364,0.366,0.088,0.095
79,0.371,0.369,0.093,0.092
80,0.371,0.372,0.096,0.092
81,0.374,0.375,0.088,0.093
82,0.375,0.371,0.091,0.089
83,0.369,0.37,0.088,0.085
84,0.36,0.366,0.081,0.086
85,0.373,0.365,0.082,0.085
86,0.361,0.368,0.091,0.081
87,0.376,0.372,0.073,0.076
88,0.375,0.375,0.065,0.07
89,0.375,0.379,0.063,0.061
90,0.383,0.375,0.058,0.056
91,0.372,0.375,0.044,0.045
92,0.371,0.378,0.035,0.027
93,0.387,0.384,0.017,0.024
94,0.396,0.395,0.02,0.04
95,0.405,0.404,0.077,0.062
96,0.408,0.407,0.099,0.085
97,0.407,0.408,0.086,0.097
98,0.407,0.408,0.092,0.094
99,0.407,0.407,0.095,0.092
100,0.409,0.407,0.095,0.095
101,0.404,0.406,0.096,0.097
102,0.405,0.405,0.098,0.099
103,0.404,0.403,0.103,0.101
104,0.401,0.402,0.101,0.101
105,0.4,0.401,0.1,0.1
106,0.401,0.401,0.098,0.099
107,0.404,0.402,0.097,0.099
108,0.4,0.403,0.102,0.099
109,0.406,0.403,0.1,0.1
110,0.404,0.405,0.1,0.101
111,0.404,0.406,0.102,0.101
112,0.409,0.407,0.103,0.102
113,0.406,0.407,0.101,0.103
114,0.407,0.406,0.105,0.104
115,0.402,0.404,0.105,0.104
116,0.405,0.405,0.103,0.104
117,0.406,0.404,0.105,0.105
118,0.406,0.406,0.104,0.105
119,0.404,0.407,0.107,0.106
120,0.409,0.408,0.104,0.105
121,0.41,0.408,0.106,0.105
122,0.407,0.409,0.102,0.104
123,0.407,0.408,0.106,0.104
124,0.408,0.407,0.104,0.105
125,0.407,0.406,0.105,0.105
126,0.405,0.405,0.107,0.104
127,0.401,0.405,0.1,0.103
128,0.409,0.405,0.105,0.103
129,0.406,0.407,0.102,0.104
130,0.407,0.408,0.106,0.105
131,0.408,0.406,0.104,0.103
132,0.406,0.406,0.102,0.104
133,0.404,0.406,0.102,0.103
134,0.408,0.406,0.106,0.104
135,0.407,0.407,0.104,0.105
136,0.405,0.407,0.105,0.105
137,0.408,0.406,0.103,0.105
138,0.405,0.406,0.105,0.104
