,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed ,d_arc,d_arc_smoothed,apex,apex_smoothed
0,0.325,0.325,0.105,0.104,0.0,0.0,0.0,-0.001
1,0.326,0.325,0.103,0.104,0.0,0.0,-0.003928571428571473,-0.002
2,0.324,0.325,0.105,0.104,0.0,0.0,0.00019642857142852677,-0.002
3,0.323,0.325,0.103,0.104,0.0,0.0,-0.004321428571428527,-0.002
4,0.326,0.323,0.103,0.103,0.0,0.0,0.00019642857142852677,-0.001
5,0.323,0.324,0.103,0.102,0.0,0.0,0.00019642857142852677,-0.001
6,0.321,0.323,0.1,0.102,0.0,0.0,0.00019642857142852677,0.003
7,0.326,0.323,0.105,0.103,0.0,0.0,0.004517857142857054,0.005
8,0.322,0.324,0.103,0.104,0.0,0.0,0.011392857142857132,0.007
9,0.325,0.324,0.105,0.104,0.0,0.0,0.00589285714285721,0.008
10,0.323,0.323,0.104,0.104,0.0,0.0,0.00589285714285721,0.008
11,0.323,0.324,0.103,0.104,0.0,0.0,0.008642857142857055,0.008
12,0.325,0.324,0.104,0.104,0.0,0.0,0.011392857142857132,0.011
13,0.325,0.324,0.105,0.105,0.0,0.0,0.012767857142857055,0.012
14,0.323,0.324,0.105,0.106,0.0,0.0,0.012767857142857055,0.013
15,0.322,0.324,0.107,0.106,0.0,0.0,0.011392857142857132,0.013
16,0.325,0.324,0.106,0.106,0.0,0.0,0.017089285714285817,0.015
17,0.326,0.323,0.105,0.106,0.0,0.0,0.016892857142857053,0.018
18,0.322,0.323,0.106,0.105,0.0,0.0,0.02141071428571411,0.02
19,0.318,0.321,0.105,0.105,0.0,0.0,0.02141071428571411,0.021
20,0.324,0.319,0.105,0.104,0.0,0.0,0.021017857142857053,0.022
21,0.316,0.317,0.103,0.103,0.0,0.0,0.02141071428571411,0.022
22,0.314,0.317,0.101,0.103,0.0,0.0,0.02475,0.023
23,0.316,0.315,0.103,0.102,0.0,0.0,0.02475,0.025
24,0.319,0.316,0.1,0.099,0.0,0.0,0.02475,0.026
25,0.315,0.318,0.092,0.094,0.0,0.0,0.028875,0.028
26,0.316,0.319,0.085,0.083,0.0,0.0,0.02907142857142853,0.029
27,0.324,0.317,0.073,0.068,0.0,0.0,0.02907142857142853,0.029
28,0.312,0.314,0.048,0.052,0.0,-0.14,0.028875,0.029
29,0.306,0.307,0.037,0.039,0.0,0.085,0.02907142857142853,0.029
30,0.3,0.298,0.036,0.037,0.0,0.437,0.03358928571428558,0.033
31,0.291,0.295,0.043,0.046,1.4664,0.906,0.038892857142857215,0.041
32,0.294,0.293,0.062,0.059,1.3103999999999998,1.561,0.05814285714285706,0.056
33,0.294,0.294,0.074,0.071,1.7784,1.866,0.07425000000000001,0.078
34,0.295,0.293,0.078,0.079,2.2152000000000003,1.542,0.10744642857142853,0.107
35,0.29,0.289,0.085,0.086,1.248,1.769,0.14064285714285707,0.141
36,0.283,0.286,0.093,0.095,1.2792,1.79,0.17364285714285707,0.173
37,0.285,0.285,0.105,0.103,3.0576,2.245,0.20664285714285707,0.203
38,0.288,0.286,0.11,0.107,2.2152000000000003,2.697,0.2231428571428573,0.229
39,0.288,0.288,0.11,0.113,3.4632,2.997,0.25614285714285706,0.252
40,0.288,0.289,0.112,0.116,2.4648,2.885,0.2726428571428571,0.271
41,0.29,0.29,0.126,0.12,3.3696,3.175,0.2891428571428571,0.29
42,0.292,0.291,0.119,0.119,3.0576,3.263,0.3054464285714288,0.309
43,0.292,0.293,0.119,0.117,3.6816,3.474,0.32607142857142857,0.33
44,0.292,0.292,0.109,0.117,3.5256,3.422,0.35533928571428586,0.345
45,0.293,0.291,0.121,0.121,3.12,3.384,0.3563214285714287,0.355
46,0.288,0.29,0.129,0.121,3.432,3.321,0.3563214285714287,0.365
47,0.289,0.29,0.121,0.119,3.1824,3.261,0.37164285714285733,0.372
48,0.291,0.292,0.11,0.118,3.4944,3.221,0.392071428571429,0.382
49,0.296,0.294,0.114,0.119,2.9016,3.173,0.392071428571429,0.397
50,0.295,0.296,0.134,0.124,3.1824,3.258,0.40444642857142876,0.413
