,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed ,d_arc,d_arc_smoothed,apex,apex_smoothed
0,0.262,0.265,0.093,0.092,0.0,0.0,0.0,-0.001
1,0.269,0.264,0.091,0.092,0.0,0.0,-0.004125,-0.001
2,0.262,0.264,0.091,0.092,0.0,0.0,0.00019642857142864402,-0.001
3,0.266,0.264,0.093,0.092,0.0,0.0,0.0,-0.0
4,0.262,0.264,0.093,0.093,0.0,0.0,0.00019642857142864402,0.0
5,0.263,0.265,0.093,0.092,0.0,0.0,-0.00019642857142852677,-0.0
6,0.268,0.263,0.09,0.091,0.0,0.0,-0.00019642857142852677,-0.0
7,0.262,0.265,0.087,0.089,0.0,0.0,-0.00019642857142852677,-0.0
8,0.263,0.265,0.092,0.089,0.0,0.0,-0.00019642857142852677,-0.0
9,0.269,0.267,0.087,0.089,0.0,0.0,-0.00019642857142852677,-0.0
10,0.268,0.268,0.09,0.089,0.0,0.0,-0.00019642857142852677,-0.0
11,0.27,0.268,0.089,0.089,0.0,0.0,-0.00039285714285705353,-0.0
12,0.262,0.266,0.09,0.09,0.0,0.0,-0.00039285714285705353,-0.0
13,0.267,0.266,0.091,0.091,0.0,0.0,0.0009821428571428683,-0.0
14,0.267,0.267,0.091,0.091,0.0,0.0,0.0009821428571428683,0.002
15,0.27,0.268,0.092,0.092,0.0,0.0,0.003732142857142947,0.006
16,0.266,0.267,0.091,0.093,0.0,0.0,0.012375,0.01
17,0.265,0.267,0.093,0.092,0.0,0.0,0.014732142857143025,0.014
18,0.267,0.267,0.093,0.091,0.0,0.0,0.01610714285714295,0.015
19,0.27,0.268,0.087,0.09,0.0,0.0,0.01650000000000012,0.017
20,0.268,0.27,0.089,0.09,0.0,0.0,0.01748214285714287,0.021
21,0.269,0.27,0.092,0.09,0.0,0.0,0.028875,0.025
22,0.273,0.27,0.091,0.092,0.0,0.0,0.028875,0.03
23,0.269,0.27,0.091,0.092,0.0,0.0,0.033196428571428765,0.032
24,0.268,0.269,0.093,0.091,0.0,0.0,0.032410714285714425,0.031
25,0.266,0.268,0.085,0.089,0.0,0.0,0.032607142857142946,0.034
26,0.268,0.266,0.085,0.081,0.0,0.0,0.03398214285714299,0.037
27,0.266,0.263,0.068,0.06,0.0,0.0,0.04812500000000008,0.04
28,0.256,0.258,0.04,0.039,0.0,-0.143,0.049303571428571474,0.051
29,0.253,0.254,0.012,0.029,0.0,0.116,0.06580357142857148,0.075
30,0.251,0.252,0.034,0.035,0.0,0.444,0.11137500000000013,0.11
31,0.256,0.254,0.067,0.057,1.4975999999999998,0.79,0.16617857142857165,0.162
32,0.252,0.252,0.081,0.082,1.0295999999999998,1.227,0.21567857142857164,0.221
33,0.252,0.249,0.098,0.098,1.3727999999999998,1.731,0.27637500000000026,0.274
34,0.24,0.245,0.107,0.107,2.0904000000000003,1.839,0.3300000000000001,0.319
35,0.246,0.243,0.113,0.114,2.4648,2.175,0.35416071428571455,0.362
36,0.242,0.243,0.117,0.117,1.9344,2.362,0.3958035714285717,0.402
37,0.245,0.246,0.119,0.118,2.4648,2.402,0.4451071428571432,0.44
38,0.247,0.247,0.118,0.118,2.5896,2.364,0.47810714285714323,0.475
39,0.252,0.25,0.118,0.12,2.4024,2.419,0.4987321428571432,0.498
40,0.25,0.251,0.12,0.12,2.184,2.45,0.5115000000000003,0.513
41,0.249,0.248,0.126,0.123,2.5584000000000002,2.5,0.5276071428571432,0.529
42,0.248,0.245,0.122,0.126,2.9328,2.71,0.5458750000000004,0.547
43,0.236,0.243,0.129,0.125,2.6208,2.863,0.5729821428571432,0.572
44,0.246,0.241,0.124,0.123,2.9952,2.796,0.5949821428571433,0.601
45,0.242,0.242,0.122,0.126,2.7144,2.716,0.6350535714285718,0.629
46,0.242,0.244,0.125,0.128,2.6208,2.781,0.658428571428572,0.656
47,0.247,0.244,0.136,0.129,2.9016,2.925,0.6759107142857147,0.682
48,0.244,0.245,0.131,0.131,3.1824,3.102,0.7057678571428575,0.705
49,0.247,0.247,0.125,0.13,3.4632,3.221,0.7273750000000004,0.725
50,0.246,0.247,0.131,0.13,3.12,3.454,0.7464285714285718,0.743
51,0.251,0.249,0.132,0.131,3.5568,3.754,0.7503571428571432,0.756
52,0.248,0.249,0.136,0.134,4.2744,3.839,0.7713750000000003,0.769
53,0.25,0.249,0.134,0.139,3.9936,3.808,0.7796250000000002,0.778
54,0.249,0.251,0.14,0.141,3.2136,3.655,0.7918035714285717,0.79
55,0.251,0.251,0.151,0.14,3.3384,3.383,0.7959285714285718,0.805
56,0.257,0.252,0.133,0.138,3.6816,3.38,0.8248035714285717,0.825
57,0.247,0.253,0.132,0.139,3.2448,3.41,0.849946428571429,0.84
58,0.254,0.255,0.142,0.142,3.432,3.334,0.8534821428571432,0.85
59,0.257,0.254,0.156,0.146,3.12,3.178,0.8454285714285718,0.856
60,0.257,0.254,0.145,0.147,3.3696,3.401,0.8578035714285718,0.86
61,0.247,0.252,0.138,0.146,3.3384,3.572,0.878428571428572,0.869
62,0.25,0.252,0.147,0.143,4.1496,3.704,0.8743035714285717,0.878
63,0.254,0.252,0.148,0.144,3.588,3.71,0.888446428571429,0.889
