,thick_data,thick_data_smoothed,curvatures,curvatures_smoothed ,d_arc,d_arc_smoothed,apex,apex_smoothed
0,0.305,0.305,0.088,0.088,0.0,0.0,0.0,-0.002
1,0.304,0.304,0.09,0.089,0.0,0.0,-0.006678571428571435,-0.003
2,0.305,0.304,0.089,0.09,0.0,0.0,-0.0027499999999999612,-0.003
3,0.305,0.304,0.09,0.09,0.0,0.0,-0.0027499999999999612,-0.003
4,0.301,0.304,0.09,0.09,0.0,0.0,0.00019642857142864402,-0.001
5,0.305,0.304,0.09,0.09,0.0,0.0,0.00019642857142864402,0.0
6,0.306,0.304,0.09,0.09,0.0,0.0,0.00019642857142864402,0.001
7,0.304,0.305,0.089,0.09,0.0,0.0,0.0015714285714285659,0.001
8,0.304,0.304,0.091,0.09,0.0,0.0,0.0015714285714285659,0.002
9,0.304,0.304,0.091,0.09,0.0,0.0,0.002946428571428605,0.002
10,0.304,0.305,0.09,0.091,0.0,0.0,0.002946428571428605,0.003
11,0.306,0.306,0.091,0.092,0.0,0.0,0.002946428571428605,0.005
12,0.309,0.306,0.094,0.092,0.0,0.0,0.00589285714285721,0.005
13,0.303,0.307,0.092,0.093,0.0,0.0,0.009821428571428566,0.007
14,0.307,0.306,0.093,0.093,0.0,0.0,0.00589285714285721,0.01
15,0.307,0.305,0.094,0.092,0.0,0.0,0.014142857142857092,0.012
16,0.305,0.307,0.089,0.091,0.0,0.0,0.014142857142857092,0.013
17,0.306,0.306,0.09,0.09,0.0,0.0,0.014142857142857092,0.013
18,0.308,0.307,0.09,0.089,0.0,0.0,0.009821428571428566,0.013
19,0.306,0.307,0.088,0.089,0.0,0.0,0.01375000000000004,0.014
20,0.309,0.307,0.089,0.089,0.0,0.0,0.018071428571428568,0.016
21,0.305,0.307,0.091,0.09,0.0,0.0,0.018071428571428568,0.018
22,0.308,0.308,0.089,0.09,0.0,0.0,0.018071428571428568,0.018
23,0.309,0.308,0.089,0.089,0.0,0.0,0.018071428571428568,0.018
24,0.307,0.308,0.087,0.087,0.0,0.0,0.01826785714285721,0.019
25,0.307,0.307,0.085,0.084,0.0,0.0,0.019642857142857132,0.018
26,0.305,0.306,0.08,0.084,0.0,0.0,0.01924999999999996,0.021
27,0.305,0.305,0.077,0.078,0.0,-0.08,0.01924999999999996,0.023
28,0.303,0.304,0.072,0.058,0.0,0.013,0.03025000000000004,0.022
29,0.301,0.3,0.036,0.036,0.0,0.401,0.02160714285714287,0.025
30,0.299,0.297,0.003,0.022,0.8423999999999998,0.477,0.02160714285714287,0.026
31,0.29,0.294,0.025,0.024,1.1232,0.669,0.034571428571428565,0.029
32,0.295,0.292,0.051,0.044,0.0,0.796,0.03457142857142868,0.037
33,0.288,0.291,0.072,0.071,1.3103999999999998,0.992,0.05067857142857152,0.052
34,0.293,0.288,0.086,0.086,1.404,1.55,0.06757142857142857,0.071
35,0.284,0.283,0.101,0.098,2.3088,2.242,0.10057142857142869,0.095
36,0.274,0.281,0.099,0.106,2.6832000000000003,2.37,0.11707142857142858,0.113
37,0.281,0.28,0.117,0.111,2.4024,2.676,0.13357142857142856,0.138
38,0.286,0.283,0.112,0.112,2.3712,2.512,0.15007142857142858,0.159
39,0.285,0.285,0.112,0.115,2.9952,2.459,0.19839285714285718,0.181
40,0.283,0.284,0.113,0.112,2.028,2.651,0.19937500000000005,0.208
41,0.279,0.281,0.118,0.115,2.8704,2.729,0.22825000000000004,0.237
42,0.283,0.278,0.111,0.117,3.0888,2.729,0.2667500000000002,0.255
43,0.275,0.278,0.122,0.118,2.652,2.977,0.2806964285714287,0.275
44,0.276,0.279,0.119,0.119,2.8392,2.826,0.2779464285714288,0.286
45,0.285,0.28,0.118,0.119,3.0264,2.805,0.2985714285714287,0.3
